TIMESTAMP,MIGMIG34983_OPEN_PRICE_USD,MIGMIG34983_HIGH_PRICE_USD,MIGMIG34983_LOW_PRICE_USD,MIGMIG34983_CLOSE_PRICE_USD,MIGMIG34983_VOLUME_USD,MIGMIG34983_DIVIDENDS_USD,MIGMIG34983_STOCK_SPLITS_USD
2025-02-25 00:00:00+00:00,6.600000051548705e-05,6.800000119255856e-05,5.700000110664405e-05,6.800000119255856e-05,4921,0.0,0.0
2025-02-26 00:00:00+00:00,6.800000119255856e-05,6.800000119255856e-05,5.6000000768108293e-05,5.900000178371556e-05,5032,0.0,0.0
2025-02-27 00:00:00+00:00,5.900000178371556e-05,6.399999983841553e-05,5.900000178371556e-05,5.900000178371556e-05,1416,0.0,0.0
2025-02-28 00:00:00+00:00,5.900000178371556e-05,7.000000186963007e-05,5.500000042957254e-05,7.000000186963007e-05,2686,0.0,0.0
2025-03-01 00:00:00+00:00,7.000000186963007e-05,9.699999645818025e-05,6.399999983841553e-05,9.40000027185306e-05,14239,0.0,0.0
2025-03-02 00:00:00+00:00,9.40000027185306e-05,0.0001340000017080456,8.900000102585182e-05,0.0001340000017080456,9944,0.0,0.0
2025-03-03 00:00:00+00:00,0.0001340000017080456,0.00014200000441633165,0.00010800000018207356,0.0001340000017080456,28408,0.0,0.0
2025-03-04 00:00:00+00:00,0.0001340000017080456,0.0001340000017080456,9.300000237999484e-05,9.899999713525176e-05,560,0.0,0.0
2025-03-05 00:00:00+00:00,9.899999713525176e-05,0.00012099999730708078,7.000000186963007e-05,7.699999696342275e-05,35230,0.0,0.0
2025-03-06 00:00:00+00:00,7.699999696342275e-05,0.00011500000255182385,7.500000356230885e-05,9.300000237999484e-05,56455,0.0,0.0
2025-03-07 00:00:00+00:00,9.300000237999484e-05,0.00011000000085914508,5.199999941396527e-05,7.200000254670158e-05,24232,0.0,0.0
2025-03-08 00:00:00+00:00,7.200000254670158e-05,0.00010699999984353781,6.299999949987978e-05,6.70000008540228e-05,53695,0.0,0.0
2025-03-09 00:00:00+00:00,6.70000008540228e-05,9.200000204145908e-05,6.600000051548705e-05,7.599999662488699e-05,42972,0.0,0.0
2025-03-10 00:00:00+00:00,7.599999662488699e-05,9.200000204145908e-05,5.8000001445179805e-05,5.8000001445179805e-05,22116,0.0,0.0
2025-03-11 00:00:00+00:00,5.8000001445179805e-05,7.200000254670158e-05,5.8000001445179805e-05,7.000000186963007e-05,3178,0.0,0.0
2025-03-12 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.399999983841553e-05,6.900000153109431e-05,851,0.0,0.0
2025-03-13 00:00:00+00:00,6.900000153109431e-05,7.500000356230885e-05,6.600000051548705e-05,7.200000254670158e-05,2823,0.0,0.0
2025-03-14 00:00:00+00:00,7.200000254670158e-05,7.699999696342275e-05,7.000000186963007e-05,7.200000254670158e-05,145,0.0,0.0
2025-03-15 00:00:00+00:00,7.200000254670158e-05,8.800000068731606e-05,7.100000220816582e-05,8.800000068731606e-05,536,0.0,0.0
2025-03-16 00:00:00+00:00,8.800000068731606e-05,8.900000102585182e-05,7.300000288523734e-05,7.300000288523734e-05,155,0.0,0.0
2025-03-17 00:00:00+00:00,7.300000288523734e-05,7.899999764049426e-05,7.300000288523734e-05,7.699999696342275e-05,90,0.0,0.0
2025-03-18 00:00:00+00:00,7.699999696342275e-05,7.699999696342275e-05,7.200000254670158e-05,7.500000356230885e-05,1438,0.0,0.0
2025-03-19 00:00:00+00:00,7.500000356230885e-05,8.299999899463728e-05,7.300000288523734e-05,7.699999696342275e-05,2414,0.0,0.0
2025-03-20 00:00:00+00:00,7.699999696342275e-05,7.699999696342275e-05,7.100000220816582e-05,7.400000322377309e-05,965,0.0,0.0
2025-03-21 00:00:00+00:00,7.400000322377309e-05,8.600000001024455e-05,7.400000322377309e-05,8.199999865610152e-05,6239,0.0,0.0
2025-03-22 00:00:00+00:00,8.199999865610152e-05,8.399999933317304e-05,7.599999662488699e-05,7.599999662488699e-05,262,0.0,0.0
2025-03-23 00:00:00+00:00,7.599999662488699e-05,7.999999797903001e-05,7.500000356230885e-05,7.999999797903001e-05,1195,0.0,0.0
2025-03-24 00:00:00+00:00,7.999999797903001e-05,9.100000170292333e-05,6.800000119255856e-05,7.000000186963007e-05,19224,0.0,0.0
2025-03-25 00:00:00+00:00,7.000000186963007e-05,7.500000356230885e-05,6.900000153109431e-05,7.500000356230885e-05,7622,0.0,0.0
2025-03-26 00:00:00+00:00,7.400000322377309e-05,7.500000356230885e-05,6.500000017695129e-05,6.600000051548705e-05,10712,0.0,0.0
