TIMESTAMP,ETH30_OPEN_PRICE_USD,ETH30_HIGH_PRICE_USD,ETH30_LOW_PRICE_USD,ETH30_CLOSE_PRICE_USD,ETH30_VOLUME_USD,ETH30_DIVIDENDS_USD,ETH30_STOCK_SPLITS_USD
2024-03-21 00:00:00+00:00,,,,0.0,183801,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,330672,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,52326,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,47064,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,18461,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,15453,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,1830,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,8611,0.0,0.0
2024-03-29 00:00:00+00:00,,,,0.0,2395,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,1459,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,15157,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,3302,0.0,0.0
2024-04-02 00:00:00+00:00,,,,0.0,9013,0.0,0.0
2024-04-03 00:00:00+00:00,,,,0.0,1468,0.0,0.0
2024-04-04 00:00:00+00:00,,,,0.0,1343,0.0,0.0
2024-04-05 00:00:00+00:00,,,,0.0,3371,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,5168,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,10971,0.0,0.0
2024-04-08 00:00:00+00:00,,,,0.0,737,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,787,0.0,0.0
2024-04-10 00:00:00+00:00,,,,0.0,3239,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,2870,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,1359,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,972,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,133,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,229,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,1160,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,650,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,1302,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,1992,0.0,0.0
