TIMESTAMP,BABU_OPEN_PRICE_USD,BABU_HIGH_PRICE_USD,BABU_LOW_PRICE_USD,BABU_CLOSE_PRICE_USD,BABU_VOLUME_USD,BABU_DIVIDENDS_USD,BABU_STOCK_SPLITS_USD
2025-02-20 00:00:00+00:00,,,,0.0,3739,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,2110,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,4041,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,6094,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,9273,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,3010,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,1419,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,780,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,619,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,980,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,816,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,1369,0.0,0.0
2025-03-04 00:00:00+00:00,,,,0.0,871,0.0,0.0
2025-03-05 00:00:00+00:00,,,,0.0,394,0.0,0.0
2025-03-06 00:00:00+00:00,,,,0.0,4915,0.0,0.0
2025-03-07 00:00:00+00:00,,,,0.0,460,0.0,0.0
2025-03-08 00:00:00+00:00,,,,0.0,2175,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,42,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,102,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,1052,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,218,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,220,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,283,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-06-01 00:00:00+00:00,2.8740567217799828e-11,2.8740567217799828e-11,2.8740567217799828e-11,2.8740567217799828e-11,4,0.0,0.0
