,MSE,MAE,RMSE,MAPE,R2
0,0.0004222185953051667,0.015272455101675431,0.020547958421829497,0.06704420781080707,0.8399609936398439
1,9.438980895860648e-05,0.007120693268891201,0.0097154417788696,0.0377754730821825,0.7758019144375394
2,0.0007637496622371998,0.0211929467387737,0.0276360210999574,0.0604731398133212,0.8652250064925111
3,0.0006550230238880333,0.017180353774229665,0.0255934175890591,0.048928467080740425,0.7354673446422861
4,0.00022193543517846668,0.0102772201591281,0.014897497614649967,0.0288175992324764,-0.16145851093050684
5,0.00027180797565783333,0.012685723065535165,0.0164865998816565,0.03459184661706153,0.7770777080472188
6,0.0002290476392905,0.011822863125608799,0.015134319915031202,0.04330224854063789,0.5661408508685153
7,9.439172282827563e-05,0.0070924880823139995,0.009715540274643499,0.03313722491132223,0.905136372069267
8,0.00033598587503553336,0.014127663245371368,0.018329917485781666,0.05929966250962717,0.6051759902055933
9,8.7814073305341e-05,0.0070882913825973,0.0093709163535558,0.0291001062197869,0.6938648128017036
10,0.0001254372013902,0.008743798910114434,0.011199875061366167,0.03982805218971887,0.7882160269286835
11,0.0001388801462131,0.0080080734550952,0.0117847420936194,0.0658581000659624,0.8653726652993918
Mean,0.00028672342994068794,0.01171771419244453,0.01586768729750165,0.04567967733947038,0.6879984312085039
