TIMESTAMP,BAKENEKO_OPEN_PRICE_USD,BAKENEKO_HIGH_PRICE_USD,BAKENEKO_LOW_PRICE_USD,BAKENEKO_CLOSE_PRICE_USD,BAKENEKO_VOLUME_USD,BAKENEKO_DIVIDENDS_USD,BAKENEKO_STOCK_SPLITS_USD
2025-02-25 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,21,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,88,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,48,0.0,0.0
2025-06-01 00:00:00+00:00,1.8731515893932738e-08,1.874427191239647e-08,1.855388731542007e-08,1.8702493775890616e-08,34,0.0,0.0
