,Observation Count,Mean,Median,Standard Deviation,Min,1%,5%,10%,25%,50%,75%,90%,95%,99%,Max
XMR Opening Price ($),7043.0,145.8572298736334,117.87,88.75140615664633,30.21,44.1618,52.422000000000004,56.062000000000005,67.745,117.87,217.75,266.332,287.414,411.5808,515.99
XMR High Price ($),7043.0,148.2827019735908,119.42,90.55271062317466,32.59,45.1226,52.980999999999995,56.95,68.32,119.42,221.28500000000003,270.1,292.145,418.1044,519.13
XMR Low Price ($),7043.0,143.28893511287805,116.17,86.76171838806727,25.08,43.4426,51.991,55.402,66.985,116.17,213.23,262.11400000000003,282.27199999999993,404.4414,485.11
XMR Close Price ($),7043.0,145.87804628709355,117.89,88.74658008100673,30.21,44.1618,52.440999999999995,56.07,67.75,117.89,217.75,266.332,287.414,411.5808,515.99
