Lag,BTC,DOGE,ETH,LTC,MIOTA,USDT,XEM,XLM,XRP
1,0.6746344688921181,0.2099846421523382,0.7041441097431808,0.7160595601424522,0.13916543615216956,0.3361390381990572,0.05303969995918069,0.5865537480587011,0.11030568180958132
2,0.5054901588907204,0.31971668712465934,0.9033321693946624,0.4423029006921535,0.07379688232392437,0.0335723900383175,0.0648153413164776,0.8412067861679478,0.21954669218510858
3,0.5675716872331569,0.496943822166214,0.5339501771156259,0.6618539770491225,0.09591541553521367,0.0161433118366734,0.014554425293001563,0.861637378694041,0.12873065705888592
4,0.629785129635387,0.3331993335634827,0.6452341387606243,0.1909700206600376,0.14089760646810204,0.04416016041984956,0.00365080674885681,0.25114613482605563,0.1614961033307411
5,0.6436830914416792,0.35639276583535057,0.7112025230676793,0.26497720553641774,0.21768027426439202,0.06657398339658015,0.003989538709913892,0.3645291947957732,0.06885384179675022
6,0.8195793613974728,0.4645370580004291,0.7769142203683289,0.34817354580892673,0.14917997836967575,0.12289469113770524,0.014471238277159572,0.48510904347334716,0.004131148246825828
7,0.8730788885674541,0.5997961620896768,0.8709863688428934,0.4716087801512029,0.017430080145553663,0.14922180888191025,0.01970356576749314,0.5784309770827889,0.017128180663350635
8,0.7478596833080662,0.5644097913030899,0.8446383821330719,0.39475390920584913,0.00519726175731676,0.1982254941488453,0.039829797667584245,0.6334765163051306,0.011289476017076196
9,0.5773785253025603,0.661295852333386,0.9101020983987272,0.3229181927133134,0.002213371127605989,0.24672579171757592,0.022435001433304985,0.6380600664207794,0.001031857500315716
10,0.4650106400229713,0.7394752075051749,0.746090305956993,0.38588712890964116,0.0021142614777823767,0.09612164453208556,0.013969686214065474,0.6292071065275704,0.0009343922091638292
11,0.4826155966972082,0.7358570833241185,0.8112564466713661,0.45233126469280804,0.003936000856501226,0.00048261428443044683,0.015267471336442762,0.5692102964198785,0.00034064581715083386
12,0.6001077028938142,0.7888082860927778,0.8411285856075027,0.48306338354574596,0.003537620708585228,0.001214272470842971,8.867456954086838e-05,0.6101475167667407,0.00021489117506256477
13,0.5207286804251673,0.6197233991767792,0.817463346964576,0.08590603447600036,0.005946967402544914,0.0016421141167488847,2.2431087486165027e-05,0.1922592423148498,0.0004148248370196435
14,0.5717696421991869,0.6399271119157015,0.7926703492259064,0.11917637251927632,0.005192994219235694,0.0012041883409599071,1.723303648754789e-07,0.20098820539227485,0.0007755955504010881
15,0.4876803663752669,0.6600791035451965,0.7402941234565621,0.26219383393768075,0.0034931252007419224,0.0005706288869657055,4.4816224222694955e-07,0.37117333934123703,0.0003567668989383971
16,0.5633879984333956,0.4043860173744677,0.814434227298571,0.2788924415671651,0.002424747629314701,0.0010189307759201538,7.968458816007579e-07,0.2189521404435105,0.0006917893028703705
17,0.39914870941693564,0.4774851577691891,0.8180035153814785,0.2442813076040314,0.0020618882975996303,0.0011315733200618356,1.1195224188582363e-06,0.25367417217716226,0.001435547339705723
18,0.44224658102268977,0.22485297954758426,0.7333902263810044,0.15041504857673388,0.0023805262557168435,0.0007448018880498731,2.214454395163515e-06,0.2920497806851115,0.0006380320527329964
19,0.3863093049592466,0.25462153874229515,0.7127831639391236,0.06182946938818139,0.0026476344322262082,0.00028548841660835033,2.1885109742841633e-08,0.3094970609425496,0.000993209896357159
20,0.3318824877003284,0.006005875538174246,0.7041766482591676,0.058072146963812875,0.002559469508264991,0.00021060524249394937,5.438755521378561e-08,0.3512373227829304,0.0012626394936877154
21,0.23897041976117225,0.00950042027172905,0.6446417152217092,0.04837529096479239,0.002428491695496187,0.0003676837410319987,8.138642347319955e-08,0.15904386754316555,0.001821247919640194
22,0.3033642030391224,0.005859068572497164,0.5549044311129503,0.055140192060259906,0.0036648895832089214,0.0002970995770788076,1.644188780347827e-08,0.15004103625721205,0.0024018477072889704
23,0.397842332491358,0.004000384691094758,0.6208313587523733,0.048817500396841705,0.0033008693947645185,0.0006090171058151193,3.361488171336216e-08,0.14702311126589374,0.002534496105933138
24,0.417585153393584,0.003800032523684981,0.6177170534829863,0.04552378558598055,0.006101565383750123,0.0014566081666951664,6.80407576413026e-08,0.09469363753393509,0.004493467008266601
25,0.4556901758721744,0.0007969735862062822,0.5907622387340504,0.018082635540092637,0.006199941062725159,0.002976788420985427,1.0335494059507743e-07,0.06442425916214461,0.006363157828094636
26,0.5093662469233015,0.0008785454424350598,0.63030118981105,0.01582333531854377,0.008104518610079698,0.004477712995437345,9.101245824463155e-08,0.08761158262787283,0.0018000690114117787
27,0.5802196807731824,0.000981178199549871,0.3770157220952132,0.008225597733725973,0.011926034727980424,0.004515432619140387,1.8074854680915e-07,0.11036025345423167,0.0027160864549695906
28,0.6231914680533746,0.0012939113552742838,0.12785001320442974,0.011828177305208644,0.014050520461779509,0.006082418743016063,8.94017321293609e-08,0.07829702949053743,0.003225220750112496
29,0.6027850790833931,0.002246726878412356,0.12123248954634755,0.010429669130118734,0.005349777471275343,0.00026346011912984935,4.8355058477547015e-08,0.09537609135953003,0.003865318898398473
30,0.6237188432408104,0.003239444747192043,0.1260102211748187,0.007426672680199498,0.004455710711113385,0.00029352126231633997,8.480377111223468e-08,0.11661829931332766,0.004858939384401933
