TIMESTAMP,DOGL_OPEN_PRICE_USD,DOGL_HIGH_PRICE_USD,DOGL_LOW_PRICE_USD,DOGL_CLOSE_PRICE_USD,DOGL_VOLUME_USD,DOGL_DIVIDENDS_USD,DOGL_STOCK_SPLITS_USD
2024-12-12 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,231036,0.0,0.0
2024-12-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,417531,0.0,0.0
2024-12-14 00:00:00+00:00,,,,0.0,273054,0.0,0.0
2024-12-15 00:00:00+00:00,,,,0.0,219658,0.0,0.0
2024-12-16 00:00:00+00:00,,,,0.0,190359,0.0,0.0
2024-12-17 00:00:00+00:00,,,,0.0,169403,0.0,0.0
2024-12-18 00:00:00+00:00,,,,0.0,180059,0.0,0.0
2024-12-19 00:00:00+00:00,,,,0.0,149533,0.0,0.0
2024-12-20 00:00:00+00:00,,,,0.0,119894,0.0,0.0
2024-12-21 00:00:00+00:00,,,,0.0,129322,0.0,0.0
2024-12-22 00:00:00+00:00,,,,0.0,141806,0.0,0.0
2024-12-23 00:00:00+00:00,,,,0.0,152728,0.0,0.0
2024-12-24 00:00:00+00:00,,,,0.0,139674,0.0,0.0
2024-12-25 00:00:00+00:00,,,,0.0,131266,0.0,0.0
2024-12-26 00:00:00+00:00,,,,0.0,117406,0.0,0.0
2024-12-27 00:00:00+00:00,,,,0.0,121153,0.0,0.0
2024-12-28 00:00:00+00:00,,,,0.0,128024,0.0,0.0
2024-12-29 00:00:00+00:00,,,,0.0,95080,0.0,0.0
2024-12-30 00:00:00+00:00,,,,0.0,109806,0.0,0.0
2024-12-31 00:00:00+00:00,,,,0.0,105437,0.0,0.0
2025-01-01 00:00:00+00:00,,,,0.0,45219,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,62827,0.0,0.0
2025-01-03 00:00:00+00:00,,,,0.0,117692,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,89228,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,169703,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,254400,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,148291,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,103346,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,89121,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,83511,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,115115,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,80908,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,115013,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,154998,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,101826,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,85791,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,79872,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,51464,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,37818,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,34638,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,52565,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,18827,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,15951,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,14223,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,11380,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,11422,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,12457,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,134291,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,105420,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,78919,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,65608,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,58366,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,37010,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,40477,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,39823,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,43996,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,54699,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,81363,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,45867,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,43770,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,465536,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,1144857,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,292163,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,77735,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,50674,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,28776,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,33706,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,50490,0.0,0.0
