TIMESTAMP,CULT_OPEN_PRICE_USD,CULT_HIGH_PRICE_USD,CULT_LOW_PRICE_USD,CULT_CLOSE_PRICE_USD,CULT_VOLUME_USD,CULT_DIVIDENDS_USD,CULT_STOCK_SPLITS_USD
2022-02-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,540169,0.0,0.0
2022-02-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,995605,0.0,0.0
2022-02-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,285587,0.0,0.0
2022-02-06 00:00:00+00:00,,,,0.0,347111,0.0,0.0
2022-02-07 00:00:00+00:00,,,,0.0,261150,0.0,0.0
2022-02-08 00:00:00+00:00,,,,0.0,72046,0.0,0.0
2022-02-09 00:00:00+00:00,,,,0.0,92392,0.0,0.0
2022-02-10 00:00:00+00:00,,,,0.0,30564,0.0,0.0
2022-02-11 00:00:00+00:00,,,,0.0,94138,0.0,0.0
2022-02-12 00:00:00+00:00,,,,0.0,172471,0.0,0.0
2022-02-13 00:00:00+00:00,,,,0.0,16803,0.0,0.0
2022-02-14 00:00:00+00:00,,,,0.0,34751,0.0,0.0
2022-02-15 00:00:00+00:00,,,,0.0,84485,0.0,0.0
2022-02-16 00:00:00+00:00,,,,0.0,27327,0.0,0.0
2022-02-17 00:00:00+00:00,,,,0.0,50092,0.0,0.0
2022-02-18 00:00:00+00:00,,,,0.0,119868,0.0,0.0
2022-02-19 00:00:00+00:00,,,,0.0,35402,0.0,0.0
2022-02-20 00:00:00+00:00,,,,0.0,115140,0.0,0.0
2022-02-21 00:00:00+00:00,,,,0.0,52222,0.0,0.0
2022-02-22 00:00:00+00:00,,,,0.0,30827,0.0,0.0
2022-02-23 00:00:00+00:00,,,,0.0,20158,0.0,0.0
2022-02-24 00:00:00+00:00,,,,0.0,28427,0.0,0.0
2022-02-25 00:00:00+00:00,,,,0.0,58842,0.0,0.0
2022-02-26 00:00:00+00:00,,,,0.0,3181,0.0,0.0
2022-02-27 00:00:00+00:00,,,,0.0,16995,0.0,0.0
2022-02-28 00:00:00+00:00,,,,0.0,803,0.0,0.0
2022-03-01 00:00:00+00:00,,,,0.0,28106,0.0,0.0
2022-03-02 00:00:00+00:00,,,,0.0,34936,0.0,0.0
2022-03-03 00:00:00+00:00,,,,0.0,15022,0.0,0.0
2022-03-04 00:00:00+00:00,,,,0.0,756,0.0,0.0
2022-03-05 00:00:00+00:00,,,,0.0,1772,0.0,0.0
2022-03-06 00:00:00+00:00,,,,0.0,35,0.0,0.0
2022-03-07 00:00:00+00:00,,,,0.0,3579,0.0,0.0
2022-03-08 00:00:00+00:00,,,,0.0,2868,0.0,0.0
2022-03-09 00:00:00+00:00,,,,0.0,15593,0.0,0.0
2022-03-10 00:00:00+00:00,,,,0.0,6176,0.0,0.0
2022-03-11 00:00:00+00:00,,,,0.0,1393,0.0,0.0
2022-03-12 00:00:00+00:00,,,,0.0,4555,0.0,0.0
2022-03-13 00:00:00+00:00,,,,0.0,991,0.0,0.0
2022-03-14 00:00:00+00:00,,,,0.0,12817,0.0,0.0
2022-03-15 00:00:00+00:00,,,,0.0,1283,0.0,0.0
2022-03-16 00:00:00+00:00,,,,0.0,8306,0.0,0.0
2022-03-17 00:00:00+00:00,,,,0.0,2317,0.0,0.0
2022-03-18 00:00:00+00:00,,,,0.0,1333,0.0,0.0
2022-03-19 00:00:00+00:00,,,,0.0,611,0.0,0.0
2022-03-20 00:00:00+00:00,,,,0.0,743,0.0,0.0
2022-03-21 00:00:00+00:00,,,,0.0,2301,0.0,0.0
2022-03-22 00:00:00+00:00,,,,0.0,54948,0.0,0.0
2022-03-23 00:00:00+00:00,,,,0.0,467,0.0,0.0
2022-03-24 00:00:00+00:00,,,,0.0,9883,0.0,0.0
2022-03-25 00:00:00+00:00,0.0,1.9999999949504854e-06,0.0,9.999999974752427e-07,5809286,0.0,0.0
2022-03-26 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,2744279,0.0,0.0
2022-03-27 00:00:00+00:00,9.999999974752427e-07,7.999999979801942e-06,9.999999974752427e-07,6.000000212225132e-06,24970623,0.0,0.0
2022-03-28 00:00:00+00:00,6.000000212225132e-06,1.4999999621068127e-05,4.999999873689376e-06,1.1000000085914508e-05,23552664,0.0,0.0
2022-03-29 00:00:00+00:00,1.1000000085914508e-05,2.099999983329326e-05,9.999999747378752e-06,1.4999999621068127e-05,30603182,0.0,0.0
2022-03-30 00:00:00+00:00,1.4999999621068127e-05,1.700000029813964e-05,1.1000000085914508e-05,1.4999999621068127e-05,21630908,0.0,0.0
2022-03-31 00:00:00+00:00,1.4999999621068127e-05,2.2000000171829015e-05,1.2999999853491317e-05,1.9999999494757503e-05,28383295,0.0,0.0
