TIMESTAMP,MAD32846_OPEN_PRICE_USD,MAD32846_HIGH_PRICE_USD,MAD32846_LOW_PRICE_USD,MAD32846_CLOSE_PRICE_USD,MAD32846_VOLUME_USD,MAD32846_DIVIDENDS_USD,MAD32846_STOCK_SPLITS_USD
2024-08-27 00:00:00+00:00,2.8000000384054147e-05,3.199999991920777e-05,9.999999747378752e-06,9.999999747378752e-06,2230502,0.0,0.0
2024-08-28 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,4.999999873689376e-06,4.999999873689376e-06,457021,0.0,0.0
2024-08-29 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,1.9999999949504854e-06,4.999999873689376e-06,285849,0.0,0.0
2024-08-30 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,293161,0.0,0.0
2024-08-31 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,109396,0.0,0.0
2024-09-01 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,4.999999873689376e-06,255023,0.0,0.0
2024-09-02 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.999999989900971e-06,3.999999989900971e-06,390298,0.0,0.0
2024-09-03 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,179198,0.0,0.0
2024-09-04 00:00:00+00:00,3.000000106112566e-06,7.000000096013537e-06,3.000000106112566e-06,3.999999989900971e-06,292787,0.0,0.0
2024-09-05 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,216313,0.0,0.0
2024-09-06 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,270713,0.0,0.0
2024-09-07 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,199020,0.0,0.0
2024-09-08 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,186630,0.0,0.0
2024-09-09 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,267122,0.0,0.0
2024-09-10 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,213644,0.0,0.0
2024-09-11 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,285376,0.0,0.0
2024-09-12 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,199378,0.0,0.0
