TIMESTAMP,BNBETF_OPEN_PRICE_USD,BNBETF_HIGH_PRICE_USD,BNBETF_LOW_PRICE_USD,BNBETF_CLOSE_PRICE_USD,BNBETF_VOLUME_USD,BNBETF_DIVIDENDS_USD,BNBETF_STOCK_SPLITS_USD
2025-04-02 00:00:00+00:00,,,,0.0,93630,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,23629,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,6667,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,764,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,451,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,319,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,2766,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,4023,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,108,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,16323,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,3504,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,100,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,5706,0.0,0.0
2025-06-01 00:00:00+00:00,1.0143699980457929e-13,1.0143699980457929e-13,9.957493678344406e-14,9.957493678344406e-14,0,0.0,0.0
