TIMESTAMP,PEPEAI_OPEN_PRICE_USD,PEPEAI_HIGH_PRICE_USD,PEPEAI_LOW_PRICE_USD,PEPEAI_CLOSE_PRICE_USD,PEPEAI_VOLUME_USD,PEPEAI_DIVIDENDS_USD,PEPEAI_STOCK_SPLITS_USD
2023-05-05 00:00:00+00:00,,,,0.0,1830237,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,4425926,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,2697599,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,2005009,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,2676129,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,3935458,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,2430742,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,1701536,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,1290244,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,1460707,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,1706120,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,1767477,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,1643116,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,1309328,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,1182009,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,1428992,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,1298952,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,1271784,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,1262996,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,1277636,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,1058856,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,1251039,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,874932,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,1044370,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,1094901,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,1406934,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,1322352,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,1202081,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,1160375,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,1069952,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,1067842,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,1317451,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,771271,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,1761629,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,794895,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,1173431,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,724604,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,375770,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,136177,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,381577,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,772493,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,797809,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,721389,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,455365,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,389998,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,410672,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,292175,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,492773,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,411402,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,353991,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,315290,0.0,0.0
