TIMESTAMP,JIM_OPEN_PRICE_USD,JIM_HIGH_PRICE_USD,JIM_LOW_PRICE_USD,JIM_CLOSE_PRICE_USD,JIM_VOLUME_USD,JIM_DIVIDENDS_USD,JIM_STOCK_SPLITS_USD
2023-06-04 00:00:00+00:00,7.000000096013537e-06,1.700000029813964e-05,4.999999873689376e-06,1.4000000192027073e-05,2290044,0.0,0.0
2023-06-05 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,7.000000096013537e-06,7.999999979801942e-06,1010355,0.0,0.0
2023-06-06 00:00:00+00:00,7.999999979801942e-06,1.5999999959603883e-05,7.000000096013537e-06,1.4000000192027073e-05,944376,0.0,0.0
2023-06-07 00:00:00+00:00,1.4000000192027073e-05,2.4000000848900527e-05,1.2000000424450263e-05,1.8000000636675395e-05,1824908,0.0,0.0
2023-06-08 00:00:00+00:00,1.8000000636675395e-05,2.2000000171829015e-05,1.4999999621068127e-05,1.8000000636675395e-05,786460,0.0,0.0
2023-06-09 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.4000000192027073e-05,1.4999999621068127e-05,532402,0.0,0.0
2023-06-10 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.2999999853491317e-05,642555,0.0,0.0
2023-06-11 00:00:00+00:00,1.2999999853491317e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4000000192027073e-05,250010,0.0,0.0
2023-06-12 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.1000000085914508e-05,236746,0.0,0.0
2023-06-13 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.1000000085914508e-05,263814,0.0,0.0
2023-06-14 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.000000318337698e-06,9.999999747378752e-06,296187,0.0,0.0
2023-06-15 00:00:00+00:00,9.999999747378752e-06,1.4999999621068127e-05,9.999999747378752e-06,1.2999999853491317e-05,462788,0.0,0.0
2023-06-16 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2999999853491317e-05,198062,0.0,0.0
2023-06-17 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4999999621068127e-05,97674,0.0,0.0
2023-06-18 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,7.999999979801942e-06,9.000000318337698e-06,758145,0.0,0.0
2023-06-19 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,9.000000318337698e-06,9.999999747378752e-06,237256,0.0,0.0
2023-06-20 00:00:00+00:00,9.999999747378752e-06,1.700000029813964e-05,9.000000318337698e-06,1.4999999621068127e-05,642215,0.0,0.0
2023-06-21 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4999999621068127e-05,197367,0.0,0.0
2023-06-22 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.2999999853491317e-05,249882,0.0,0.0
2023-06-23 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2999999853491317e-05,189451,0.0,0.0
2023-06-24 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4999999621068127e-05,185017,0.0,0.0
2023-06-25 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,116051,0.0,0.0
2023-06-26 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2999999853491317e-05,176330,0.0,0.0
