TIMESTAMP,PIAI_OPEN_PRICE_USD,PIAI_HIGH_PRICE_USD,PIAI_LOW_PRICE_USD,PIAI_CLOSE_PRICE_USD,PIAI_VOLUME_USD,PIAI_DIVIDENDS_USD,PIAI_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,,,,0.0,175060,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,178434,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,177739,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,168276,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,173325,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,162625,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,173955,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,181427,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,199252,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,160256,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,245524,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,340666,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,238599,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,222743,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,213673,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,210429,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,216835,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,188233,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,212818,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,186113,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,175378,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,180110,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,181397,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,169686,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,159685,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,171602,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,171533,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,161568,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,167401,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,158983,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,143139,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,163535,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,168411,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,166098,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,180901,0.0,0.0
2025-05-06 00:00:00+00:00,,,,0.0,160613,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,172259,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,170126,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,178901,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,166369,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,169724,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,185460,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,173636,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,187918,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,166834,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,164307,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,160495,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,163033,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,164073,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,167733,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,205258,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,171702,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,175744,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,108240,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,144132,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,163325,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,186293,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,161399,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,164020,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,161235,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,160842,0.0,0.0
2025-06-01 00:00:00+00:00,6.111903084332626e-12,6.315717913929486e-12,5.871894984132986e-12,5.985904046740265e-12,162858,0.0,0.0
