TIMESTAMP,FLRBRG_OPEN_PRICE_USD,FLRBRG_HIGH_PRICE_USD,FLRBRG_LOW_PRICE_USD,FLRBRG_CLOSE_PRICE_USD,FLRBRG_VOLUME_USD,FLRBRG_DIVIDENDS_USD,FLRBRG_STOCK_SPLITS_USD
2023-09-21 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,2.300000051036477e-05,2.499999936844688e-05,61578,0.0,0.0
2023-09-22 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,1.4000000192027073e-05,2.099999983329326e-05,122054,0.0,0.0
2023-09-23 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,2.099999983329326e-05,2.300000051036477e-05,20016,0.0,0.0
2023-09-24 00:00:00+00:00,2.300000051036477e-05,3.7000001611886546e-05,2.300000051036477e-05,3.5000000934815034e-05,107490,0.0,0.0
2023-09-25 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.9000000722589903e-05,2.9999999242136255e-05,52771,0.0,0.0
2023-09-26 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.700000004551839e-05,21963,0.0,0.0
2023-09-27 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.499999936844688e-05,2.499999936844688e-05,14504,0.0,0.0
2023-09-28 00:00:00+00:00,2.499999936844688e-05,2.8000000384054147e-05,2.499999936844688e-05,2.8000000384054147e-05,11686,0.0,0.0
2023-09-29 00:00:00+00:00,2.8000000384054147e-05,4.199999966658652e-05,2.8000000384054147e-05,3.099999958067201e-05,151234,0.0,0.0
2023-09-30 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05,20366,0.0,0.0
2023-10-01 00:00:00+00:00,2.9999999242136255e-05,3.400000059627928e-05,2.8000000384054147e-05,3.400000059627928e-05,62286,0.0,0.0
2023-10-02 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,3.099999958067201e-05,3.300000025774352e-05,22391,0.0,0.0
2023-10-03 00:00:00+00:00,3.300000025774352e-05,3.5000000934815034e-05,3.199999991920777e-05,3.5000000934815034e-05,20558,0.0,0.0
2023-10-04 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.099999958067201e-05,3.099999958067201e-05,14446,0.0,0.0
2023-10-05 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9000000722589903e-05,8898,0.0,0.0
2023-10-06 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9000000722589903e-05,12761,0.0,0.0
2023-10-07 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.5999999706982635e-05,12416,0.0,0.0
2023-10-08 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.499999936844688e-05,2.499999936844688e-05,6049,0.0,0.0
