TIMESTAMP,KITTY14382_OPEN_PRICE_USD,KITTY14382_HIGH_PRICE_USD,KITTY14382_LOW_PRICE_USD,KITTY14382_CLOSE_PRICE_USD,KITTY14382_VOLUME_USD,KITTY14382_DIVIDENDS_USD,KITTY14382_STOCK_SPLITS_USD
2021-11-15 00:00:00+00:00,0.00025499999173916876,0.00025499999173916876,8.299999899463728e-05,0.00013800000306218863,16539,0.0,0.0
2021-11-16 00:00:00+00:00,0.00013800000306218863,0.00021699999342672527,8.399999933317304e-05,0.00010599999950500205,5192,0.0,0.0
2021-11-17 00:00:00+00:00,0.00010599999950500205,0.00010800000018207356,7.599999662488699e-05,9.300000237999484e-05,6370,0.0,0.0
2021-11-18 00:00:00+00:00,9.300000237999484e-05,9.7999996796716e-05,6.500000017695129e-05,8.099999831756577e-05,4110,0.0,0.0
2021-11-19 00:00:00+00:00,8.099999831756577e-05,9.000000136438757e-05,6.600000051548705e-05,8.099999831756577e-05,3602,0.0,0.0
2021-11-20 00:00:00+00:00,8.099999831756577e-05,9.300000237999484e-05,6.70000008540228e-05,7.200000254670158e-05,2936,0.0,0.0
2021-11-21 00:00:00+00:00,7.200000254670158e-05,8.199999865610152e-05,6.0999998822808266e-05,7.200000254670158e-05,3135,0.0,0.0
2021-11-22 00:00:00+00:00,7.200000254670158e-05,7.899999764049426e-05,5.999999848427251e-05,7.100000220816582e-05,2171,0.0,0.0
2021-11-23 00:00:00+00:00,7.100000220816582e-05,7.699999696342275e-05,5.8000001445179805e-05,6.299999949987978e-05,2702,0.0,0.0
2021-11-24 00:00:00+00:00,6.299999949987978e-05,6.900000153109431e-05,5.2999999752501026e-05,6.900000153109431e-05,2418,0.0,0.0
2021-11-25 00:00:00+00:00,6.0999998822808266e-05,6.0999998822808266e-05,4.5000000682193786e-05,5.199999941396527e-05,2163,0.0,0.0
2021-11-26 00:00:00+00:00,5.199999941396527e-05,5.8000001445179805e-05,4.400000034365803e-05,4.70000013592653e-05,1475,0.0,0.0
2021-11-27 00:00:00+00:00,4.70000013592653e-05,5.0999999075429514e-05,2.9999999242136255e-05,3.7000001611886546e-05,1701,0.0,0.0
2021-11-28 00:00:00+00:00,3.7000001611886546e-05,4.600000102072954e-05,3.600000127335079e-05,4.5000000682193786e-05,952,0.0,0.0
2021-11-29 00:00:00+00:00,4.5000000682193786e-05,5.199999941396527e-05,3.600000127335079e-05,3.9999998989515007e-05,1614,0.0,0.0
2021-11-30 00:00:00+00:00,3.9999998989515007e-05,4.999999873689376e-05,3.899999865097925e-05,3.9999998989515007e-05,1349,0.0,0.0
2021-12-01 00:00:00+00:00,3.9999998989515007e-05,8.600000001024455e-05,3.5000000934815034e-05,4.999999873689376e-05,10053,0.0,0.0
2021-12-02 00:00:00+00:00,4.999999873689376e-05,7.200000254670158e-05,4.999999873689376e-05,5.999999848427251e-05,2513,0.0,0.0
2021-12-03 00:00:00+00:00,5.999999848427251e-05,6.0999998822808266e-05,4.999999873689376e-05,5.2999999752501026e-05,2103,0.0,0.0
2021-12-04 00:00:00+00:00,5.2999999752501026e-05,7.699999696342275e-05,3.099999958067201e-05,3.899999865097925e-05,6492,0.0,0.0
2021-12-05 00:00:00+00:00,3.899999865097925e-05,6.299999949987978e-05,3.300000025774352e-05,3.7999998312443495e-05,3383,0.0,0.0
2021-12-06 00:00:00+00:00,3.7999998312443495e-05,4.400000034365803e-05,2.9999999242136255e-05,3.9999998989515007e-05,2959,0.0,0.0
