,XMR,Lag
RRT,3.6405608015408754e-23,30
USDT,8.277350792260126e-23,20
WYZ,5.568731915984912e-17,28
VEC2,1.0529161964957002e-12,25
NOBL,5.350425714580563e-12,29
TRST,8.291177033689897e-12,29
RBT,5.567095432430484e-11,27
BAT,1.5907540566981654e-10,2
DOGE,7.654372932589983e-10,25
UNIT,7.765628932270951e-10,29
BITS,8.075501985926571e-10,13
QTUM,2.328950367384536e-09,20
ZUR,3.761937662747331e-09,28
ACES,4.734420223437838e-09,28
LTC,9.37404818435862e-09,4
LTCR,6.202661210137707e-08,3
ETC,1.671256444154613e-07,1
BRIT,1.7177504647824237e-07,21
SIGNA,1.88947158417499e-07,26
TECH,2.500353093605026e-07,29
PXC,2.955992967677924e-07,26
TAJ,3.368170322537363e-07,9
GRS,3.875784859948649e-07,23
XLM,7.056038129515007e-07,24
SWING,1.5174792468188574e-06,30
RLC,1.6558449381506934e-06,3
KOBO,8.776330944289046e-06,29
EUC,8.925199754217744e-06,8
PUT,1.0760943499951227e-05,9
HBD,1.1684181318434088e-05,12
ICON,1.4179346678595066e-05,23
NMC,1.420911124752388e-05,8
FOREX,1.5471377696082683e-05,26
GBYTE,1.6557238343836828e-05,29
PHR,1.8187634891285907e-05,30
ALIAS,1.962856443044349e-05,17
IBANK,2.10561400460314e-05,25
XEM,2.402566884557343e-05,18
CYT,2.4333587257666418e-05,30
VIDZ,3.229238331794337e-05,28
CARBON,3.943406988534477e-05,25
WBB,4.42277223625475e-05,25
BTC,4.436183288843626e-05,22
DGB,4.5531700787630686e-05,25
QBC,4.75417352224699e-05,25
XPY,6.301283988912896e-05,28
ENT,6.484714267628096e-05,25
DCY,6.920475485384346e-05,4
NEWB,7.032113639456522e-05,21
IMS,7.425743255701545e-05,11
C2,0.0001038669018654,12
EDRC,0.0001150918030142,30
MONA,0.0001183443629661,1
IXC,0.0001226622093391,7
VLT,0.0001308929586372,22
ZET,0.0001872656038252,29
CREVA,0.0002425647581781,28
BLAZR,0.0002547499977013,9
DASH,0.0002977529590705,12
SC,0.0003402549870732,28
PAK,0.0003745170209626,14
AMBER,0.0003998131373513,30
WGR,0.0004143778707203,25
MOTO,0.0004362472546822,17
NETKO,0.0005456335279346,9
DIME,0.0006488224239798,12
ETH,0.0006789581732588,28
XMS,0.0007659570480764,25
BTS,0.0007843412304228,30
GNO,0.0008429015976392,4
XDN,0.0009170984486523,27
IOTA,0.0009319714013367,9
CSC,0.0009487897673667,29
SXC,0.001178655753494,14
XPM,0.0011962015565877,18
WDC,0.0013544248245352,19
EVIL,0.0014886723550868,8
ARGUS,0.0015364058719764,29
BCN,0.0018404266276558,10
PXI,0.0018721530097187,29
SYS,0.0022561716335377,10
DCR,0.0039602979147205,4
ANT,0.0039688608803019,4
NAV,0.0042290104830302,10
