TIMESTAMP,BEZOGE_OPEN_PRICE_USD,BEZOGE_HIGH_PRICE_USD,BEZOGE_LOW_PRICE_USD,BEZOGE_CLOSE_PRICE_USD,BEZOGE_VOLUME_USD,BEZOGE_DIVIDENDS_USD,BEZOGE_STOCK_SPLITS_USD
2021-05-21 00:00:00+00:00,,,,0.0,1474341,0.0,0.0
2021-05-22 00:00:00+00:00,,,,0.0,1130169,0.0,0.0
2021-05-23 00:00:00+00:00,,,,0.0,662310,0.0,0.0
2021-05-24 00:00:00+00:00,,,,0.0,2344873,0.0,0.0
2021-05-25 00:00:00+00:00,,,,0.0,1040356,0.0,0.0
2021-05-26 00:00:00+00:00,,,,0.0,581676,0.0,0.0
2021-05-27 00:00:00+00:00,,,,0.0,345073,0.0,0.0
2021-05-28 00:00:00+00:00,,,,0.0,4306158,0.0,0.0
2021-05-29 00:00:00+00:00,,,,0.0,41004464,0.0,0.0
2021-05-30 00:00:00+00:00,,,,0.0,14259295,0.0,0.0
2021-05-31 00:00:00+00:00,,,,0.0,5693253,0.0,0.0
2021-06-01 00:00:00+00:00,,,,0.0,3064280,0.0,0.0
2021-06-02 00:00:00+00:00,,,,0.0,2253359,0.0,0.0
2021-06-03 00:00:00+00:00,,,,0.0,4957938,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,4085231,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,956907,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,1046585,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,1160885,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,1552193,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,795916,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,1044111,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,957701,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,1190957,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,2064352,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,1732892,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,596981,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,778348,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,718737,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,507311,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,334066,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,147608,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,161641,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,300550,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,412852,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,112886,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,117850,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,94026,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,111411,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,170195,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,167212,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,253826,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,75423,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,61137,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,39840,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,60773,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,49665,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,83112,0.0,0.0
2021-07-07 00:00:00+00:00,,,,0.0,62338,0.0,0.0
2021-07-08 00:00:00+00:00,,,,0.0,53060,0.0,0.0
2021-07-09 00:00:00+00:00,,,,0.0,76610,0.0,0.0
2021-07-10 00:00:00+00:00,,,,0.0,100434,0.0,0.0
2021-07-11 00:00:00+00:00,,,,0.0,613072,0.0,0.0
2021-07-12 00:00:00+00:00,,,,0.0,261785,0.0,0.0
2021-07-13 00:00:00+00:00,,,,0.0,98476,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,135456,0.0,0.0
2021-07-15 00:00:00+00:00,,,,0.0,71813,0.0,0.0
2021-07-16 00:00:00+00:00,,,,0.0,137820,0.0,0.0
2021-07-17 00:00:00+00:00,,,,0.0,60028,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,43131,0.0,0.0
2021-07-19 00:00:00+00:00,,,,0.0,40043,0.0,0.0
2021-07-20 00:00:00+00:00,,,,0.0,498180,0.0,0.0
2021-07-21 00:00:00+00:00,,,,0.0,867233,0.0,0.0
2021-07-22 00:00:00+00:00,,,,0.0,810989,0.0,0.0
2021-07-23 00:00:00+00:00,,,,0.0,614634,0.0,0.0
2021-07-24 00:00:00+00:00,,,,0.0,610167,0.0,0.0
2021-07-25 00:00:00+00:00,,,,0.0,677817,0.0,0.0
2021-07-26 00:00:00+00:00,,,,0.0,599858,0.0,0.0
