TIMESTAMP,VNDC_OPEN_PRICE_USD,VNDC_HIGH_PRICE_USD,VNDC_LOW_PRICE_USD,VNDC_CLOSE_PRICE_USD,VNDC_VOLUME_USD,VNDC_DIVIDENDS_USD,VNDC_STOCK_SPLITS_USD
2019-11-07 00:00:00+00:00,4.3000000005122274e-05,7.699999696342275e-05,1.4000000192027073e-05,4.5000000682193786e-05,54229,0.0,0.0
2019-11-08 00:00:00+00:00,4.400000034365803e-05,0.0003429999924264848,1.8999999156221747e-05,9.40000027185306e-05,80132,0.0,0.0
2019-11-09 00:00:00+00:00,9.7999996796716e-05,0.00016900000628083944,3.7999998312443495e-05,4.199999966658652e-05,80506,0.0,0.0
2019-11-10 00:00:00+00:00,4.3000000005122274e-05,5.199999941396527e-05,3.9999998989515007e-05,4.3000000005122274e-05,4083579,0.0,0.0
2019-11-11 00:00:00+00:00,4.3000000005122274e-05,4.600000102072954e-05,3.9999998989515007e-05,4.3000000005122274e-05,2978544,0.0,0.0
2019-11-12 00:00:00+00:00,4.3000000005122274e-05,4.70000013592653e-05,4.199999966658652e-05,4.3000000005122274e-05,426355,0.0,0.0
2019-11-13 00:00:00+00:00,4.3000000005122274e-05,5.2999999752501026e-05,3.400000059627928e-05,3.9999998989515007e-05,10396,0.0,0.0
2019-11-14 00:00:00+00:00,3.899999865097925e-05,0.0002840000088326633,2.9000000722589903e-05,4.3000000005122274e-05,369810,0.0,0.0
2019-11-15 00:00:00+00:00,4.3000000005122274e-05,4.8000001697801054e-05,2.9999999242136255e-05,3.600000127335079e-05,16928,0.0,0.0
2019-11-16 00:00:00+00:00,3.7000001611886546e-05,5.900000178371556e-05,2.9999999242136255e-05,3.899999865097925e-05,22129,0.0,0.0
2019-11-17 00:00:00+00:00,3.899999865097925e-05,6.70000008540228e-05,2.700000004551839e-05,3.899999865097925e-05,44122,0.0,0.0
2019-11-18 00:00:00+00:00,3.9999998989515007e-05,5.500000042957254e-05,3.5000000934815034e-05,4.199999966658652e-05,139635,0.0,0.0
2019-11-19 00:00:00+00:00,4.099999932805076e-05,4.5000000682193786e-05,3.7999998312443495e-05,3.9999998989515007e-05,51931,0.0,0.0
2019-11-20 00:00:00+00:00,3.9999998989515007e-05,5.700000110664405e-05,3.899999865097925e-05,3.9999998989515007e-05,121121,0.0,0.0
2019-11-21 00:00:00+00:00,3.9999998989515007e-05,4.5000000682193786e-05,3.600000127335079e-05,3.899999865097925e-05,157433,0.0,0.0
2019-11-22 00:00:00+00:00,3.899999865097925e-05,4.999999873689376e-05,2.9999999242136255e-05,3.899999865097925e-05,85360,0.0,0.0
2019-11-23 00:00:00+00:00,3.899999865097925e-05,4.199999966658652e-05,3.600000127335079e-05,3.899999865097925e-05,47993,0.0,0.0
2019-11-24 00:00:00+00:00,3.899999865097925e-05,4.199999966658652e-05,3.600000127335079e-05,4.099999932805076e-05,102949,0.0,0.0
2019-11-25 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,3.7999998312443495e-05,4.099999932805076e-05,102897,0.0,0.0
2019-11-26 00:00:00+00:00,4.099999932805076e-05,4.099999932805076e-05,3.300000025774352e-05,4.099999932805076e-05,23071,0.0,0.0
2019-11-27 00:00:00+00:00,4.099999932805076e-05,4.3000000005122274e-05,3.099999958067201e-05,3.199999991920777e-05,20363,0.0,0.0
2019-11-28 00:00:00+00:00,2.700000004551839e-05,4.400000034365803e-05,1.8000000636675395e-05,3.9999998989515007e-05,81970,0.0,0.0
2019-11-29 00:00:00+00:00,3.9999998989515007e-05,4.8000001697801054e-05,3.7000001611886546e-05,3.7999998312443495e-05,77959,0.0,0.0
2019-11-30 00:00:00+00:00,3.7999998312443495e-05,4.8000001697801054e-05,3.600000127335079e-05,3.899999865097925e-05,19675,0.0,0.0
2019-12-01 00:00:00+00:00,3.899999865097925e-05,4.400000034365803e-05,3.899999865097925e-05,4.3000000005122274e-05,9843,0.0,0.0
2019-12-02 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,3.9999998989515007e-05,3.9999998989515007e-05,18192,0.0,0.0
2019-12-03 00:00:00+00:00,3.9999998989515007e-05,4.3000000005122274e-05,3.600000127335079e-05,3.7000001611886546e-05,70698,0.0,0.0
2019-12-04 00:00:00+00:00,3.7000001611886546e-05,6.600000051548705e-05,3.5000000934815034e-05,3.7000001611886546e-05,99176,0.0,0.0
2019-12-05 00:00:00+00:00,3.7000001611886546e-05,4.70000013592653e-05,3.7000001611886546e-05,3.899999865097925e-05,102291,0.0,0.0
2019-12-06 00:00:00+00:00,3.899999865097925e-05,4.400000034365803e-05,3.7999998312443495e-05,4.3000000005122274e-05,6403,0.0,0.0
2019-12-07 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,4.3000000005122274e-05,4.400000034365803e-05,34157,0.0,0.0
2019-12-08 00:00:00+00:00,4.400000034365803e-05,4.5000000682193786e-05,4.3000000005122274e-05,4.400000034365803e-05,743618,0.0,0.0
2019-12-09 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,4.199999966658652e-05,4.400000034365803e-05,2159948,0.0,0.0
2019-12-10 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,3.600000127335079e-05,4.3000000005122274e-05,1339201,0.0,0.0
2019-12-11 00:00:00+00:00,4.3000000005122274e-05,4.5000000682193786e-05,4.199999966658652e-05,4.400000034365803e-05,108442,0.0,0.0
2019-12-12 00:00:00+00:00,4.400000034365803e-05,4.70000013592653e-05,4.199999966658652e-05,4.3000000005122274e-05,306491,0.0,0.0
2019-12-13 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,4.3000000005122274e-05,4.3000000005122274e-05,405558,0.0,0.0
2019-12-14 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,4.3000000005122274e-05,4.400000034365803e-05,420046,0.0,0.0
2019-12-15 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,4.199999966658652e-05,4.3000000005122274e-05,338669,0.0,0.0
