,MSE,MAE,RMSE,MAPE,R2
0,80.92508042456896,6.759623112912598,8.995836838480841,0.0446785428110733,0.808662367901841
1,16.26191650355487,3.1248105258332357,4.032606663630221,0.0242746186256292,0.8186049033386508
2,52.24228364397019,5.678743003642846,7.227882376185309,0.0337061447236477,0.7595018493784041
3,143.14067718759787,8.0112562801037,11.964141305902311,0.0449447002632239,0.7179944081417678
4,52.92307269165707,5.805972246633421,7.274824581504153,0.0313648932457775,0.4834366324179138
5,200.58760873111575,10.324503543456094,14.162895492487252,0.0456829420771714,0.6689036378942816
6,58.62922692281495,5.42686660107105,7.656972438425971,0.034285628578424,0.7430615466718928
7,30.056904908718447,4.217504648539806,5.482417797716483,0.0324774391244422,0.8809029128727667
8,34.27360985708371,4.851705362621165,5.854366734078393,0.0408912157012927,0.7128636141101972
9,15.741773089266871,3.229798345219703,3.9675903378835455,0.028962895530148,0.8426500229268035
10,15.55918241330564,3.206638779096925,3.944512950074526,0.0294317958343327,0.7666007883391753
11,30.21297938888697,3.909098437990272,5.496633459572047,0.0524813467824942,0.8370499210763841
Mean,60.87952631354511,5.378876740593402,7.171723414661756,0.036931846941471405,0.7533527170891733
