,MSE,MAE,RMSE,MAPE,R2
0,0.000612809149678,0.0186454525755503,0.0247549823202943,0.053242217595084,0.8072645141225028
1,0.000123231656431,0.0086369114615509,0.0111009754720501,0.0298647653452751,0.8171498633310978
2,0.0003927986472257,0.0155834286718736,0.0198191484990083,0.0391246714071052,0.7594647345258326
3,0.00107642494565,0.0219782470541285,0.0328089156427038,0.0518389732312309,0.7179035681592258
4,0.000397077778589,0.0158943068036991,0.0199268105473266,0.0358131638897015,0.4844469936497617
5,0.0015016028365165,0.0282287887084766,0.0387505204676855,0.0508202635576024,0.6702957278112673
6,0.0004453955526766,0.0147206291161514,0.0211043965248157,0.0397592375986661,0.7403549779087084
7,0.0002310381941564,0.0116420527879443,0.0151999405971371,0.0399957328739346,0.8782245199367193
8,0.0002567758340605,0.0133180194282327,0.0160242264730785,0.0510209185159814,0.7138447513143891
9,0.0001166964024013,0.008817633621779,0.0108026109066921,0.0364387073848569,0.8448364561111261
10,0.0001210735667115,0.0088512778880917,0.0110033434333187,0.0377499998611408,0.7584087863389573
11,0.0002256073722647,0.0106941061916754,0.0150202320975662,0.0768632400401332,0.8381422516327974
Mean,0.0004583776613634333,0.014750904525762791,0.01969300858180641,0.045210990941726,0.7525280954035322
