TIMESTAMP,BMIGGLES_OPEN_PRICE_USD,BMIGGLES_HIGH_PRICE_USD,BMIGGLES_LOW_PRICE_USD,BMIGGLES_CLOSE_PRICE_USD,BMIGGLES_VOLUME_USD,BMIGGLES_DIVIDENDS_USD,BMIGGLES_STOCK_SPLITS_USD
2025-02-16 00:00:00+00:00,9.999999747378752e-05,9.999999747378752e-05,9.40000027185306e-05,9.500000305706635e-05,1418,0.0,0.0
2025-02-17 00:00:00+00:00,9.500000305706635e-05,0.00010099999781232327,9.40000027185306e-05,9.600000339560211e-05,1227,0.0,0.0
2025-02-18 00:00:00+00:00,9.600000339560211e-05,9.600000339560211e-05,8.099999831756577e-05,8.199999865610152e-05,1178,0.0,0.0
2025-02-19 00:00:00+00:00,8.199999865610152e-05,8.299999899463728e-05,6.800000119255856e-05,7.200000254670158e-05,2428,0.0,0.0
2025-02-20 00:00:00+00:00,7.200000254670158e-05,8.499999967170879e-05,6.900000153109431e-05,6.900000153109431e-05,8045,0.0,0.0
2025-02-21 00:00:00+00:00,6.900000153109431e-05,7.200000254670158e-05,6.600000051548705e-05,6.600000051548705e-05,515,0.0,0.0
2025-02-22 00:00:00+00:00,6.600000051548705e-05,7.000000186963007e-05,6.0999998822808266e-05,7.000000186963007e-05,1508,0.0,0.0
2025-02-23 00:00:00+00:00,7.000000186963007e-05,8.399999933317304e-05,7.000000186963007e-05,8.099999831756577e-05,3028,0.0,0.0
2025-02-24 00:00:00+00:00,8.099999831756577e-05,8.199999865610152e-05,7.300000288523734e-05,7.300000288523734e-05,650,0.0,0.0
2025-02-25 00:00:00+00:00,7.300000288523734e-05,7.300000288523734e-05,6.600000051548705e-05,7.000000186963007e-05,156,0.0,0.0
2025-02-26 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.600000051548705e-05,6.70000008540228e-05,95,0.0,0.0
2025-02-27 00:00:00+00:00,6.70000008540228e-05,6.70000008540228e-05,6.199999916134402e-05,6.199999916134402e-05,417,0.0,0.0
2025-02-28 00:00:00+00:00,6.199999916134402e-05,6.199999916134402e-05,5.700000110664405e-05,5.999999848427251e-05,151,0.0,0.0
2025-03-01 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,5.8000001445179805e-05,5.8000001445179805e-05,181,0.0,0.0
2025-03-02 00:00:00+00:00,5.8000001445179805e-05,7.300000288523734e-05,5.8000001445179805e-05,7.300000288523734e-05,1430,0.0,0.0
2025-03-03 00:00:00+00:00,7.300000288523734e-05,7.300000288523734e-05,5.700000110664405e-05,5.700000110664405e-05,647,0.0,0.0
2025-03-04 00:00:00+00:00,5.700000110664405e-05,6.199999916134402e-05,5.400000009103678e-05,6.199999916134402e-05,0,0.0,0.0
2025-03-05 00:00:00+00:00,6.199999916134402e-05,6.500000017695129e-05,6.199999916134402e-05,6.500000017695129e-05,0,0.0,0.0
2025-03-06 00:00:00+00:00,6.500000017695129e-05,6.500000017695129e-05,6.199999916134402e-05,6.199999916134402e-05,0,0.0,0.0
2025-03-07 00:00:00+00:00,6.199999916134402e-05,6.199999916134402e-05,5.700000110664405e-05,5.700000110664405e-05,0,0.0,0.0
2025-03-08 00:00:00+00:00,5.700000110664405e-05,5.700000110664405e-05,5.6000000768108293e-05,5.6000000768108293e-05,0,0.0,0.0
2025-03-09 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,5.199999941396527e-05,5.199999941396527e-05,17,0.0,0.0
2025-03-10 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,5.0999999075429514e-05,5.199999941396527e-05,0,0.0,0.0
2025-03-11 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.600000102072954e-05,4.8999998398358e-05,432,0.0,0.0
2025-03-12 00:00:00+00:00,4.8999998398358e-05,4.8999998398358e-05,4.8000001697801054e-05,4.8999998398358e-05,0,0.0,0.0
2025-03-13 00:00:00+00:00,4.8999998398358e-05,4.8999998398358e-05,4.70000013592653e-05,4.70000013592653e-05,0,0.0,0.0
2025-03-14 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.3000000005122274e-05,4.5000000682193786e-05,618,0.0,0.0
2025-03-15 00:00:00+00:00,4.5000000682193786e-05,4.8000001697801054e-05,4.5000000682193786e-05,4.70000013592653e-05,725,0.0,0.0
2025-03-16 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.70000013592653e-05,4.70000013592653e-05,0,0.0,0.0
2025-03-17 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.5000000682193786e-05,4.5000000682193786e-05,0,0.0,0.0
2025-03-18 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,4.400000034365803e-05,4.400000034365803e-05,0,0.0,0.0
2025-03-19 00:00:00+00:00,4.400000034365803e-05,5.0999999075429514e-05,4.400000034365803e-05,5.0999999075429514e-05,19,0.0,0.0
2025-03-20 00:00:00+00:00,5.0999999075429514e-05,5.400000009103678e-05,4.999999873689376e-05,5.0999999075429514e-05,0,0.0,0.0
2025-03-21 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,5.0999999075429514e-05,5.199999941396527e-05,0,0.0,0.0
2025-03-22 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,5.199999941396527e-05,5.199999941396527e-05,0,0.0,0.0
2025-03-23 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,5.199999941396527e-05,5.199999941396527e-05,0,0.0,0.0
2025-03-24 00:00:00+00:00,5.199999941396527e-05,5.400000009103678e-05,5.0999999075429514e-05,5.400000009103678e-05,0,0.0,0.0
