TIMESTAMP,NUTZ34019_OPEN_PRICE_USD,NUTZ34019_HIGH_PRICE_USD,NUTZ34019_LOW_PRICE_USD,NUTZ34019_CLOSE_PRICE_USD,NUTZ34019_VOLUME_USD,NUTZ34019_DIVIDENDS_USD,NUTZ34019_STOCK_SPLITS_USD
2024-11-20 00:00:00+00:00,5.0999999075429514e-05,0.00010399999882793054,5.0999999075429514e-05,5.0999999075429514e-05,92703,0.0,0.0
2024-11-21 00:00:00+00:00,5.0999999075429514e-05,6.0999998822808266e-05,4.5000000682193786e-05,5.6000000768108293e-05,13405,0.0,0.0
2024-11-22 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,3.5000000934815034e-05,3.7000001611886546e-05,8557,0.0,0.0
2024-11-23 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,3.300000025774352e-05,3.300000025774352e-05,3535,0.0,0.0
2024-11-24 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,2.9000000722589903e-05,2.9000000722589903e-05,1812,0.0,0.0
2024-11-25 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.700000004551839e-05,2.700000004551839e-05,851,0.0,0.0
2024-11-26 00:00:00+00:00,2.700000004551839e-05,3.199999991920777e-05,2.700000004551839e-05,3.099999958067201e-05,6407,0.0,0.0
2024-11-27 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.9000000722589903e-05,3.199999991920777e-05,1338,0.0,0.0
2024-11-28 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,3.099999958067201e-05,3.099999958067201e-05,831,0.0,0.0
2024-11-29 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.099999958067201e-05,662,0.0,0.0
2024-11-30 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9000000722589903e-05,1179,0.0,0.0
2024-12-01 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05,799,0.0,0.0
2024-12-02 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.300000051036477e-05,2.300000051036477e-05,838,0.0,0.0
2024-12-03 00:00:00+00:00,2.300000051036477e-05,2.5999999706982635e-05,2.300000051036477e-05,2.5999999706982635e-05,1059,0.0,0.0
2024-12-04 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.700000004551839e-05,933,0.0,0.0
2024-12-05 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.300000051036477e-05,2.499999936844688e-05,3109,0.0,0.0
2024-12-06 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.499999936844688e-05,829,0.0,0.0
2024-12-07 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.499999936844688e-05,471,0.0,0.0
2024-12-08 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,567,0.0,0.0
2024-12-09 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,1.9999999494757503e-05,1.9999999494757503e-05,581,0.0,0.0
2024-12-10 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,43,0.0,0.0
2024-12-11 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.2000000171829015e-05,667,0.0,0.0
2024-12-12 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,269,0.0,0.0
2024-12-13 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,140,0.0,0.0
2024-12-14 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,172,0.0,0.0
2024-12-15 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,91,0.0,0.0
2024-12-16 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,125,0.0,0.0
2024-12-17 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.9999999494757503e-05,134,0.0,0.0
2024-12-18 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8000000636675395e-05,86,0.0,0.0
2024-12-19 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.700000029813964e-05,74,0.0,0.0
2024-12-20 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,208,0.0,0.0
2024-12-21 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,14,0.0,0.0
2024-12-22 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,415,0.0,0.0
2024-12-23 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,172,0.0,0.0
2024-12-24 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,68,0.0,0.0
2024-12-25 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1156,0.0,0.0
2024-12-26 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,77,0.0,0.0
2024-12-27 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.5999999959603883e-05,1.5999999959603883e-05,98,0.0,0.0
2024-12-28 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,10,0.0,0.0
2024-12-29 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,6,0.0,0.0
2024-12-30 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,53,0.0,0.0
2024-12-31 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,202,0.0,0.0
2025-01-01 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,510,0.0,0.0
2025-01-02 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,128,0.0,0.0
2025-01-03 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,42,0.0,0.0
2025-01-04 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,21,0.0,0.0
2025-01-05 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,62,0.0,0.0
2025-01-06 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,32,0.0,0.0
2025-01-07 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,4,0.0,0.0
2025-01-08 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,7,0.0,0.0
2025-01-09 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,15,0.0,0.0
2025-01-10 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,39,0.0,0.0
