TIMESTAMP,LUNC_OPEN_PRICE_USDT,LUNC_HIGH_PRICE_USDT,LUNC_LOW_PRICE_USDT,LUNC_CLOSE_PRICE_USDT,LUNC_FIRST_TRADE_PRICE_USDT,LUNC_HIGH_TRADE_PRICE_USDT,LUNC_LOW_TRADE_PRICE_USDT,LUNC_LAST_TRADE_PRICE_USDT,LUNC_TOTAL_TRADE_COUNT,LUNC_TOTAL_TRADES_BUY,LUNC_TOTAL_TRADES_SELL,LUNC_VOLUME_USDT,LUNC_QUOTE_VOLUME,LUNC_VOLUME_BUY,LUNC_QUOTE_VOLUME_BUY,LUNC_VOLUME_SELL,LUNC_QUOTE_VOLUME_SELL
2022-09-09,0.00055,0.000648,0.00036592,0.00042974,0.00055,0.000648,0.00036592,0.00042974,349903,171339,178564,250332610001.25,112707187.481977,122007514578.25,54881086.3025961,128325095423.0,57826101.179503
2022-09-10,0.00042974,0.00051,0.00041109,0.00043658,0.0004302,0.00051,0.00041109,0.00043658,323574,159239,164335,276527027425.33,124350876.691787,135940017102.1,61162624.3864056,140587010323.23,63188252.3054364
2022-09-11,0.00043658,0.00047271,0.00039,0.0004324,0.0004369,0.00047271,0.00039,0.0004324,239712,116668,123044,188897226047.52,80390972.7611466,93701089530.41,39984450.1306949,95196136517.11,40406522.630449
2022-09-12,0.0004324,0.00043601,0.00029269,0.00029932,0.00043296,0.00043601,0.00029269,0.00029932,289102,135128,153974,284842667373.59,101456077.951411,132145948704.54,47062719.0210232,152696718669.05,54393358.9303798
2022-09-13,0.00029932,0.000395,0.00028936,0.00035752,0.00029978,0.000395,0.00028936,0.00035752,404339,191041,213298,463403383958.64,162839414.886779,220708144775.04,77564508.8853929,242695239183.6,85274906.0011277
2022-09-14,0.00035752,0.00037427,0.0002535,0.00029967,0.00035758,0.00037427,0.0002535,0.00029967,335239,164877,170362,422391570143.56,127203163.597615,205327020627.58,61839839.8300363,217064549515.98,65363323.7676259
2022-09-15,0.00029967,0.00029967,0.00024046,0.00025909,0.00029957,0.00029963,0.00024046,0.00025909,259358,126190,133168,285385922620.1,75959203.6660938,140615995689.58,37434360.8730732,144769926930.52,38524842.7930249
2022-09-16,0.00025909,0.000335,0.00025543,0.00030412,0.00025886,0.000335,0.00025543,0.00030412,423099,217688,205411,451245493060.78,132855336.968037,236448983196.57,69680693.3436598,214796509864.21,63174643.6243671
2022-09-17,0.00030412,0.00032997,0.0002871,0.00030879,0.00030423,0.00032997,0.0002871,0.00030879,267012,132686,134326,232318045874.67,71720320.0519623,117515894102.58,36333062.4190214,114802151772.09,35387257.6329563
2022-09-18,0.00030879,0.00032187,0.000265,0.00027225,0.00030905,0.00032187,0.000265,0.00027225,225509,113610,111899,190438070071.29,55967374.0800529,89416382399.9,26353744.0980643,101021687671.39,29613629.9819869
