Categorie: Alle categorieën

Maand,Ripple: (Wereldwijd)
2009-01,2
2009-02,2
2009-03,2
2009-04,3
2009-05,3
2009-06,3
2009-07,2
2009-08,2
2009-09,2
2009-10,2
2009-11,2
2009-12,2
2010-01,2
2010-02,2
2010-03,3
2010-04,3
2010-05,3
2010-06,2
2010-07,3
2010-08,3
2010-09,3
2010-10,3
2010-11,3
2010-12,3
2011-01,3
2011-02,3
2011-03,3
2011-04,3
2011-05,3
2011-06,3
2011-07,3
2011-08,3
2011-09,3
2011-10,3
2011-11,3
2011-12,3
2012-01,3
2012-02,3
2012-03,3
2012-04,3
2012-05,3
2012-06,3
2012-07,3
2012-08,3
2012-09,3
2012-10,3
2012-11,3
2012-12,3
2013-01,3
2013-02,3
2013-03,3
2013-04,4
2013-05,3
2013-06,3
2013-07,3
2013-08,3
2013-09,3
2013-10,3
2013-11,3
2013-12,4
2014-01,3
2014-02,3
2014-03,3
2014-04,3
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,3
2015-08,3
2015-09,3
2015-10,3
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,3
2016-07,3
2016-08,3
2016-09,4
2016-10,3
2016-11,3
2016-12,3
2017-01,3
2017-02,3
2017-03,4
2017-04,5
2017-05,10
2017-06,10
2017-07,7
2017-08,11
2017-09,9
2017-10,11
2017-11,15
2017-12,88
2018-01,100
2018-02,33
2018-03,20
2018-04,16
2018-05,14
2018-06,10
2018-07,9
2018-08,10
2018-09,13
2018-10,11
2018-11,11
2018-12,10
2019-01,8
2019-02,8
2019-03,7
2019-04,8
2019-05,9
2019-06,10
2019-07,8
2019-08,7
2019-09,7
2019-10,7
2019-11,7
2019-12,6
2020-01,7
2020-02,8
2020-03,6
2020-04,6
2020-05,7
2020-06,6
2020-07,7
2020-08,8
2020-09,7
2020-10,6
2020-11,10
2020-12,14
2021-01,15
2021-02,20
2021-03,10
2021-04,24
2021-05,18
2021-06,9
2021-07,7
2021-08,9
2021-09,8
2021-10,9
2021-11,9
2021-12,7
2022-01,7
2022-02,8
2022-03,7
2022-04,7
2022-05,6
2022-06,6
2022-07,6
2022-08,5
2022-09,6
2022-10,6
2022-11,6
2022-12,6
2023-01,6
2023-02,6
2023-03,7
2023-04,7
2023-05,6
2023-06,7
2023-07,9
2023-08,6
2023-09,6
2023-10,6
2023-11,7
2023-12,6
2024-01,6
2024-02,6
2024-03,7
2024-04,6
2024-05,6
2024-06,6
2024-07,7
2024-08,7
2024-09,6
2024-10,6
2024-11,11
2024-12,18
2025-01,15
2025-02,11
2025-03,10
2025-04,8
2025-05,8
