,BTC,Lag
WYZ,2.428143262599607e-13,30
VEC2,4.099345815399396e-10,26
XRP,4.28471182108947e-10,12
ETH,9.130512833962565e-09,13
IBANK,4.157444480499553e-08,7
XEM,1.2714775957472418e-07,5
ACES,1.892500642019359e-07,28
USDT,2.134830643567578e-07,18
QTUM,4.84905119276925e-07,19
LTC,1.900532302940824e-06,10
RBT,1.938213508882456e-06,30
UNIT,2.421141118546289e-06,30
LTCR,3.042584240374157e-06,28
QBC,3.153675155730226e-06,1
FRN,3.31010156986034e-06,27
TAJ,6.871570978894296e-06,27
KURT,1.4062816353701778e-05,30
WBB,1.424514119673583e-05,29
SWING,1.9621527807962383e-05,11
DOGE,3.2236110705923054e-05,30
PXI,3.24989174622764e-05,26
CJ,3.355968183603141e-05,14
XWC,3.37368384280422e-05,30
SC,4.469745043019656e-05,30
DGB,4.576032646041963e-05,30
VLT,5.022061916924809e-05,26
KMD,5.7749583083405e-05,8
GAS,6.261044795028259e-05,7
ZET,6.508568405295284e-05,28
PIVX,6.898617008896535e-05,1
EVIL,7.36496237946388e-05,23
KOBO,7.40179612849967e-05,13
ARK,0.0001048288522379,7
ETC,0.000124542999179,26
CETI,0.0001603366737084,13
VIDZ,0.000172900870042,30
XLM,0.0001804566327693,13
C2,0.0001932775514774,10
RLC,0.0002333482162809,9
ICON,0.0003485791616167,4
ZEN,0.0005265077570549,27
DASH,0.0005427282124529,25
IMS,0.0005447948741446,30
OZO,0.0006414377118314,1
ZEC,0.0006698618365116,15
BLK,0.0007119486030788,19
XMR,0.0008405939399612,30
DEM,0.0011399941279485,14
ZCL,0.0011720712356392,1
WGR,0.0011882719445792,23
COOL,0.0012774049861649,16
POST,0.0017645408704782,24
SKULL,0.0024004507121497,12
MONA,0.0026394449097413,27
MST,0.0026583197930189,1
LOOK,0.0028581063110806,29
CREVA,0.0030222389931166,10
XMS,0.0031235558451954,24
BAT,0.0043641090605955,8
LMC,0.0045133441473671,30
GNO,0.0048488668092558,28
EDRC,0.0049076344837966,16
ENT,0.0051728699441753,28
SYS,0.005625497974607,6
EUC,0.0061121126234598,17
XHI,0.0065950480817349,24
GBYTE,0.0068327225447437,29
ANT,0.0079226419728927,9
2GIVE,0.0090162386916087,28
NMC,0.0091032120261922,4
INF,0.0092506198103403,1
AV,0.0097631475358605,27
IRL,0.0108126631767683,24
BCN,0.0119065429448785,24
LSK,0.0119619498745357,10
HUSH,0.0123036651993074,3
NOBL,0.0125888965886052,26
JLP,0.0126737982176746,28
FRC,0.0137840932385634,11
AE,0.013973913315894,23
PPC,0.0145483199397512,12
ACOIN,0.0148109559205468,2
LDOGE,0.0149419850132681,11
CAB,0.0151664562236536,29
XPX,0.0155355298550762,4
LOG,0.017469802005615,5
HBD,0.0179018465701801,28
ZUR,0.0203849126073948,28
MAID,0.0207535160762362,25
CKC,0.0211828416194148,30
TRST,0.0231576603050417,26
GRS,0.0234393950587631,29
TAB,0.0259214774463287,27
42,0.0289286320031661,8
XPY,0.0291163522535433,21
VAL,0.0302601856653602,30
PZM,0.0308245885338582,29
SKR,0.0349223751685003,30
BTCS,0.0354790736921169,1
OPAL,0.0382504767389521,22
NXS,0.0399160118086055,29
BS,0.0407053212245612,12
SPR,0.0413298185081301,3
SILK,0.0453133879095533,3
FIRO,0.0478741873158319,23
FOREX,0.0482558809670221,16
VERI,0.0510984955292892,3
WC,0.0531410256352259,7
NAV,0.0541948726120703,6
WAVES,0.054208409723384,1
DCR,0.0542095378351412,16
NEWB,0.0563050433680575,22
CARBON,0.0631528244108679,3
GLC,0.0677965767534154,17
ZOOM,0.0700006563444867,4
DCT,0.070431616515971,25
XDN,0.0742853975832147,30
QTZ,0.0746757761056987,20
ZER,0.0757994048824065,18
ADC,0.0781721008992105,4
BLAZR,0.0802924832480152,7
STEEM,0.0817733492073166,30
CF,0.0817851884985687,14
ADZ,0.0884392950360015,20
PKB,0.089681259241501,2
BCDN,0.1014797516378062,6
NVC,0.1024084032861103,2
MNTC,0.1054872786804713,1
EQB,0.1094784103798142,2
ZYD,0.1095783572706228,9
BTB,0.1147865797143588,9
XST,0.1215736464282358,30
CSC,0.1227169274687752,2
PLU,0.1229685070284804,10
NEVA,0.1269940510957604,3
CYT,0.1277449623642178,1
VTC,0.1328085338818264,1
PUT,0.1354718521391074,2
RBY,0.136153748603535,20
XTO,0.1391171451255256,29
LUN,0.1394628134783823,22
NXT,0.145631067910938,1
MCN,0.1593667211018093,9
LUNC,0.1622773319640486,30
SXC,0.1636808532671309,19
IOTA,0.1655617322135232,11
CLAM,0.1674331075612793,2
LBC,0.1755797839749916,6
IFC,0.1763924553687736,21
NETKO,0.1777868847897818,5
ARGUS,0.1795869719196381,4
LAMB,0.191818430772181,1
XCP,0.1921779938867638,28
XQN,0.1925684517269235,26
CLUB,0.1982737969351815,23
AMS,0.1998722119137921,27
SNRG,0.2037555080401578,10
RRT,0.2050814050869473,3
BTS,0.2071422817796263,29
WINGS,0.2091201564375591,1
PIE,0.2218625211393836,1
TECH,0.2226402233038474,17
DCY,0.2244265235365109,1
SIB,0.2250566936141189,6
PXC,0.2292873348478722,26
SWT,0.2301694848607062,29
PASC,0.2443452692725435,20
CANN,0.25993146078662,10
KIN,0.2634822743455479,1
MOTO,0.26779650248721,1
EFL,0.2695143602044689,5
RBIES,0.2757441166219792,5
START,0.2879826564233307,12
BRIT,0.3142038197344521,3
XBY,0.3207130163463887,16
ILC,0.3309364635470306,1
CNT,0.3360477826695796,1
IXC,0.3361494926714716,15
HMQ,0.340986908429783,1
BERN,0.3526042202676805,9
AXIOM,0.3593824091487029,3
XBC,0.3901248648048451,11
OK,0.3997619655095161,8
AMBER,0.4128220576083696,30
BLU,0.4254903004113219,1
POT,0.4365443093610163,1
TES,0.4398924970998247,5
BSTY,0.4417128885925726,12
MAY,0.4428609242490177,2
BOLI,0.4484507070277631,20
SIGNA,0.4494636906030853,1
HNC,0.4692111066509252,1
HBN,0.4706900793499614,29
ZENI,0.4743284886093898,1
XPM,0.5193923272468493,25
LANA,0.5215231992701294,1
AGRS,0.5299110472034119,29
ALIAS,0.5590984722139708,5
SLS,0.5601748757793048,30
BTA,0.565436586602861,2
RDD,0.5694469503347841,15
CRW,0.5707389198305781,1
HVCO,0.5977878153812455,2
PTOY,0.6047493398978574,1
GCC,0.6049006820774188,1
SANDG,0.6168740717870261,2
ICOB,0.6261957764619694,6
SWIFT,0.6294946807049004,1
BIS,0.6600220669014576,2
SONG,0.6753137896592725,1
FTC,0.6763507832708411,17
PAK,0.7084982621228948,9
BITS,0.7443342192162703,1
DGC,0.7878185723954647,1
PHR,0.7964593071653929,4
XPTX,0.8104305235529814,9
CLOAK,0.8693420703114729,2
