,LTC,Lag
VEC2,1.9900923184370987e-10,29
IBANK,7.464607672950088e-08,24
LTCR,7.268819883519274e-07,28
MONA,9.748192172692209e-07,29
WC,1.0365714240229009e-06,16
RRT,1.1460694075049308e-06,30
DIME,4.022243017341314e-06,2
XEM,2.0295781463975644e-05,14
UNIT,2.0854666928889787e-05,14
NOBL,4.9660734958032654e-05,28
ACES,7.221500525683345e-05,26
USDT,0.0001893234451349,14
DOGE,0.00024244908262,26
XTO,0.0003321770168771,23
WYZ,0.0003996183131519,30
RBT,0.0004633347919964,24
DCR,0.0006370892982202,17
GNO,0.0007632994490929,28
WBB,0.0007749677863753,30
VLT,0.0008754592982838,28
TAJ,0.0010381038853434,6
GAS,0.001347615842753,3
BTC,0.0013734574270205,12
ZUR,0.0014139554531163,28
ENT,0.0015169004435548,26
QTUM,0.0015508867186996,18
IMS,0.0021276641824376,30
HBD,0.0026978563286452,9
BITS,0.0028056429856853,20
C2,0.0042838609779121,19
GRS,0.0043095637072301,29
VTC,0.0046956806099125,29
SPR,0.0047072895459971,8
SWING,0.0049765717938619,30
STEEM,0.0059450345077963,5
PXI,0.0059786180742173,27
ICON,0.0061239167933412,11
KMD,0.0062093203669457,6
DASH,0.007490103923581,30
XMS,0.0077235159859411,25
ZEN,0.0077609061327756,19
XMR,0.0080822893526568,30
SKULL,0.0082342819675503,26
TRST,0.0083368773254149,26
IOTA,0.0084411800409822,15
WAVES,0.0085373015179936,6
XLM,0.0088759110324188,29
EVIL,0.0095763743858284,30
KOBO,0.0108607442349838,7
ETC,0.0113745937107433,29
WDC,0.0116286589910984,30
FRN,0.0122512343846476,5
NMC,0.0125709460480964,6
ADC,0.0128531009092911,12
PXC,0.0149424910647421,26
CAB,0.0150495969741334,30
CJ,0.0153215245289398,29
SC,0.0164677010985684,28
DEM,0.0165331550015306,3
FRC,0.0210237500295043,12
XPY,0.0212608869860957,28
OPAL,0.0214954446391284,7
BLU,0.0225335816587128,15
ZOOM,0.0229163919780032,28
PIVX,0.0231970398445916,17
2GIVE,0.0240729345421678,4
IRL,0.0244663743286082,29
ARK,0.0274707091539501,4
BCDN,0.0277129410043889,6
QBC,0.0290847438543754,9
ETH,0.0297498566994018,29
CREVA,0.0309002696413085,10
ZEC,0.0325349155378824,6
SYS,0.0354472736793029,16
WGR,0.0371819001365015,27
START,0.0394556026761862,30
RLC,0.0399686439419542,3
ARGUS,0.041317887838344,9
ZCL,0.0433506680965231,2
PHR,0.0433521115758042,28
XHI,0.0488108016196967,12
CARBON,0.0489993087337762,3
BTB,0.0502532057160593,28
MOTO,0.052084194020648,16
LMC,0.0533124298232024,29
LSK,0.0535081569776159,7
MAY,0.0537775384715216,24
XRP,0.0551410315049651,30
JLP,0.0567004446695124,1
IFC,0.0582307616483707,22
SKR,0.0626114877433437,30
BERN,0.0646796872001022,9
BCN,0.0651009123844296,10
MST,0.0657338424422169,1
MCN,0.0659894562247719,7
ACOIN,0.0695320662574061,5
AE,0.0696945477454103,22
ZET,0.0713462978023648,19
XPX,0.0774980551548118,5
ZYD,0.0821881941721598,17
EFL,0.0843183042523158,26
SWIFT,0.0848184249288121,2
NEWB,0.0858413086293576,29
EUC,0.0889316644525504,2
GBYTE,0.0974328749740816,22
CSC,0.0983569764284853,20
DCT,0.1003478156910136,17
ALIAS,0.1026941773090804,30
ADZ,0.1053593415413841,21
POST,0.1069424396817215,24
COOL,0.1121383081163037,30
VAL,0.1122637870588936,23
DGB,0.1156400839813119,30
DCY,0.1170323875959121,8
TAB,0.1174761273103936,27
LBC,0.1187131215128562,7
SHND,0.1289058189188359,30
BTS,0.1330495208798604,8
NXT,0.1386829455158395,2
ZENI,0.1480013653914905,5
VIDZ,0.1508273020643396,21
CLUB,0.1595422086888968,3
PPC,0.1608827552162051,14
NAV,0.1609187388396694,7
CYT,0.1623996524586635,30
LAMB,0.1636144891771904,4
KIN,0.1646243933601703,12
AV,0.1648093479282124,29
KURT,0.1657563220479944,30
XWC,0.1676980025028135,21
SIGNA,0.1710622766711339,17
HVCO,0.1714532195029773,2
MAID,0.174934294186656,1
NETKO,0.17600747701409,19
PKB,0.1780695542481626,2
ANT,0.178514242703683,10
FOREX,0.1816094663329039,1
SILK,0.1827411310066175,2
GLC,0.1849077222200912,1
NXS,0.1865952867550529,27
XCP,0.1954778573410339,3
AXIOM,0.1976159280267887,30
BLAZR,0.1985763937127752,3
SXC,0.1998247933661433,12
CF,0.2012110593903252,2
BAT,0.2046656313501239,1
BLK,0.2170307756120421,20
OZO,0.218575000937348,12
XPM,0.2293372157696718,26
BTCS,0.2299030024638603,25
AMBER,0.2355296394749749,29
LDOGE,0.2361370683584218,11
LOG,0.2371991945127519,3
TECH,0.2402779900827603,18
CETI,0.2410795692538872,9
BS,0.2433544764341579,1
CNT,0.2439502744640581,24
NVC,0.2455798785386554,2
FIRO,0.2502978037013792,1
FTC,0.2504699203525138,1
PLU,0.2545533077444741,10
SNRG,0.2741378798328981,1
EDRC,0.2772012337415209,18
ICOB,0.2802816563180331,6
XDN,0.283666393307183,1
PAK,0.2884554563090004,28
POT,0.288854941238346,3
QTZ,0.2936371185274314,1
LUNC,0.2948249468240162,1
LOOK,0.2956417908536792,30
RBIES,0.3059395054787275,7
CKC,0.3088163323092255,4
PZM,0.3101971324932197,3
MNTC,0.3119097491767815,2
PUT,0.3182014191877239,2
CLAM,0.3251214842016753,2
ILC,0.3304207517315068,21
TES,0.3322859771961551,1
PTOY,0.3438260734067634,5
SANDG,0.3461681489013212,27
AGRS,0.3483444865710546,15
CANN,0.3509899825284144,6
ZER,0.3556743659564705,1
EQB,0.3662244435884899,2
XQN,0.3712816808905193,20
WINGS,0.381889919491679,3
BOLI,0.3837995577821113,8
PIE,0.3885304382442338,1
XST,0.3979427490688615,30
VERI,0.3986247705045324,4
SWT,0.4404682654127598,4
NEVA,0.4426647584571527,1
XPTX,0.4433301602370315,2
CLOAK,0.4496617187178662,1
RBY,0.4503161295576579,30
42,0.4506314940498269,1
INF,0.4561574852881479,1
DGC,0.4701541841173007,1
AMS,0.480050051137685,1
BRIT,0.4860419173826962,4
LANA,0.494310757913333,6
RDD,0.5035029573871322,7
HMQ,0.5107274728817659,1
SLS,0.5212344876321013,30
BSTY,0.5344104810820205,11
SONG,0.5549717216087814,1
SIB,0.5613071579185731,6
CRW,0.5648029664122789,18
BTA,0.5816995879652129,1
XBY,0.5848067795107723,5
HBN,0.5996619090446216,1
HUSH,0.6492214195152676,1
XBC,0.6653181725745902,4
BIS,0.6881313542083877,1
LUN,0.6890403690739496,4
NYC,0.6922237735420056,9
OK,0.6945426672012966,1
HNC,0.7181790233368073,2
IXC,0.7300273026767521,1
PASC,0.7435809640541104,1
GCC,0.8104684525621767,4
