TIMESTAMP,SHIBARMY_OPEN_PRICE_USD,SHIBARMY_HIGH_PRICE_USD,SHIBARMY_LOW_PRICE_USD,SHIBARMY_CLOSE_PRICE_USD,SHIBARMY_VOLUME_USD,SHIBARMY_DIVIDENDS_USD,SHIBARMY_STOCK_SPLITS_USD
2021-11-02 00:00:00+00:00,,,,0.0,1604540,0.0,0.0
2021-11-03 00:00:00+00:00,,,,0.0,1902124,0.0,0.0
2021-11-04 00:00:00+00:00,,,,0.0,441348,0.0,0.0
2021-11-05 00:00:00+00:00,,,,0.0,330438,0.0,0.0
2021-11-06 00:00:00+00:00,,,,0.0,301314,0.0,0.0
2021-11-07 00:00:00+00:00,,,,0.0,164718,0.0,0.0
2021-11-08 00:00:00+00:00,,,,0.0,131939,0.0,0.0
2021-11-09 00:00:00+00:00,,,,0.0,108517,0.0,0.0
2021-11-10 00:00:00+00:00,,,,0.0,72991,0.0,0.0
2021-11-11 00:00:00+00:00,,,,0.0,112405,0.0,0.0
2021-11-12 00:00:00+00:00,,,,0.0,109802,0.0,0.0
2021-11-13 00:00:00+00:00,,,,0.0,67832,0.0,0.0
2021-11-14 00:00:00+00:00,,,,0.0,56461,0.0,0.0
2021-11-15 00:00:00+00:00,,,,0.0,62370,0.0,0.0
2021-11-16 00:00:00+00:00,,,,0.0,50526,0.0,0.0
2021-11-17 00:00:00+00:00,,,,0.0,28150,0.0,0.0
2021-11-18 00:00:00+00:00,,,,0.0,25870,0.0,0.0
2021-11-19 00:00:00+00:00,,,,0.0,42085,0.0,0.0
2021-11-20 00:00:00+00:00,,,,0.0,32756,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,33369,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,1,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,18847,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,29201,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,87247,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,249726,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,342828,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,74194,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,31557,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,17041,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,19073,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,16153,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,11052,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,9236,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,10508,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,73651,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,124371,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,81175,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,58459,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,53988,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,40471,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,39203,0.0,0.0
2021-12-17 00:00:00+00:00,,,,0.0,34191,0.0,0.0
2021-12-18 00:00:00+00:00,,,,0.0,32214,0.0,0.0
2021-12-19 00:00:00+00:00,,,,0.0,21514,0.0,0.0
2021-12-20 00:00:00+00:00,,,,0.0,14669,0.0,0.0
2021-12-21 00:00:00+00:00,,,,0.0,12166,0.0,0.0
2021-12-22 00:00:00+00:00,,,,0.0,9535,0.0,0.0
2021-12-23 00:00:00+00:00,,,,0.0,11166,0.0,0.0
2021-12-24 00:00:00+00:00,,,,0.0,12694,0.0,0.0
2021-12-25 00:00:00+00:00,,,,0.0,15407,0.0,0.0
2021-12-26 00:00:00+00:00,,,,0.0,18787,0.0,0.0
