TIMESTAMP,MONKEYS24464_OPEN_PRICE_USD,MONKEYS24464_HIGH_PRICE_USD,MONKEYS24464_LOW_PRICE_USD,MONKEYS24464_CLOSE_PRICE_USD,MONKEYS24464_VOLUME_USD,MONKEYS24464_DIVIDENDS_USD,MONKEYS24464_STOCK_SPLITS_USD
2023-04-16 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,243455,0.0,0.0
2023-04-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,241005,0.0,0.0
2023-04-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,234544,0.0,0.0
2023-04-19 00:00:00+00:00,,,,0.0,196831,0.0,0.0
2023-04-20 00:00:00+00:00,,,,0.0,45467,0.0,0.0
2023-04-21 00:00:00+00:00,,,,0.0,47537,0.0,0.0
2023-04-22 00:00:00+00:00,,,,0.0,47538,0.0,0.0
2023-04-23 00:00:00+00:00,,,,0.0,26558,0.0,0.0
2023-04-24 00:00:00+00:00,,,,0.0,7947,0.0,0.0
2023-04-25 00:00:00+00:00,,,,0.0,6774,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,7415,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,62214,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,280159,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,90220,0.0,0.0
2023-04-30 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,122535,0.0,0.0
2023-05-01 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,41588,0.0,0.0
2023-05-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,57310,0.0,0.0
2023-05-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,76179,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,25543,0.0,0.0
2023-05-05 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,26895,0.0,0.0
2023-05-06 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,0.0,9.999999974752427e-07,203953,0.0,0.0
2023-05-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,148194,0.0,0.0
2023-05-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,136683,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,29270,0.0,0.0
2023-05-10 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,124631,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,43700,0.0,0.0
2023-05-12 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,9730,0.0,0.0
2023-05-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,48005,0.0,0.0
2023-05-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,88796,0.0,0.0
2023-05-15 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,184617,0.0,0.0
2023-05-16 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,392008,0.0,0.0
2023-05-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,85468,0.0,0.0
2023-05-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,67181,0.0,0.0
2023-05-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,50511,0.0,0.0
2023-05-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,60386,0.0,0.0
2023-05-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,89292,0.0,0.0
2023-05-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,39650,0.0,0.0
2023-05-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,38355,0.0,0.0
2023-05-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,26951,0.0,0.0
2023-05-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,39882,0.0,0.0
2023-05-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,30828,0.0,0.0
2023-05-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,46646,0.0,0.0
2023-05-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,24350,0.0,0.0
2023-05-29 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17756,0.0,0.0
2023-05-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4233,0.0,0.0
2023-05-31 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6947,0.0,0.0
2023-06-01 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5655,0.0,0.0
2023-06-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,19921,0.0,0.0
2023-06-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4415,0.0,0.0
2023-06-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6669,0.0,0.0
2023-06-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3473,0.0,0.0
2023-06-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3109,0.0,0.0
2023-06-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,29954,0.0,0.0
2023-06-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9120,0.0,0.0
2023-06-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,11706,0.0,0.0
2023-06-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,18459,0.0,0.0
2023-06-11 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6763,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,3764,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,2967,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,1650,0.0,0.0
2023-06-15 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,2234,0.0,0.0
2023-06-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,1062,0.0,0.0
2023-06-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9314,0.0,0.0
2023-06-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5432,0.0,0.0
2023-06-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,301,0.0,0.0
2023-06-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3645,0.0,0.0
