TIMESTAMP,HOTMOON_OPEN_PRICE_USD,HOTMOON_HIGH_PRICE_USD,HOTMOON_LOW_PRICE_USD,HOTMOON_CLOSE_PRICE_USD,HOTMOON_VOLUME_USD,HOTMOON_DIVIDENDS_USD,HOTMOON_STOCK_SPLITS_USD
2022-04-21 00:00:00+00:00,,,,0.0,1631721,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,1753835,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,289711,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,403456,0.0,0.0
2022-04-25 00:00:00+00:00,,,,0.0,278214,0.0,0.0
2022-04-26 00:00:00+00:00,,,,0.0,24713,0.0,0.0
2022-04-27 00:00:00+00:00,,,,0.0,29245,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,116869,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,116281,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,122848,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,122701,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,66349,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,98459,0.0,0.0
2022-05-04 00:00:00+00:00,,,,0.0,117660,0.0,0.0
2022-05-05 00:00:00+00:00,,,,0.0,113389,0.0,0.0
2022-05-06 00:00:00+00:00,,,,0.0,106895,0.0,0.0
2022-05-07 00:00:00+00:00,,,,0.0,96674,0.0,0.0
2022-05-08 00:00:00+00:00,,,,0.0,81522,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,73204,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,88427,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,56142,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,55703,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,51679,0.0,0.0
2022-05-14 00:00:00+00:00,,,,0.0,29292,0.0,0.0
2022-05-15 00:00:00+00:00,,,,0.0,36759,0.0,0.0
2022-05-16 00:00:00+00:00,,,,0.0,48174,0.0,0.0
2022-05-17 00:00:00+00:00,,,,0.0,40048,0.0,0.0
2022-05-18 00:00:00+00:00,,,,0.0,35775,0.0,0.0
2022-05-19 00:00:00+00:00,,,,0.0,120866,0.0,0.0
2022-05-20 00:00:00+00:00,,,,0.0,200969,0.0,0.0
2022-05-21 00:00:00+00:00,,,,0.0,162752,0.0,0.0
2022-05-22 00:00:00+00:00,,,,0.0,59783,0.0,0.0
2022-05-23 00:00:00+00:00,,,,0.0,19346,0.0,0.0
2022-05-24 00:00:00+00:00,,,,0.0,21559,0.0,0.0
2022-05-25 00:00:00+00:00,,,,0.0,19577,0.0,0.0
2022-05-26 00:00:00+00:00,,,,0.0,18794,0.0,0.0
2022-05-27 00:00:00+00:00,,,,0.0,15799,0.0,0.0
2022-05-28 00:00:00+00:00,,,,0.0,7758,0.0,0.0
2022-05-29 00:00:00+00:00,,,,0.0,4346,0.0,0.0
