TIMESTAMP,LTC_GOOGLE_TRENDS_FULL_NAME_PER_BIC
2017-06-01,1.183
2017-06-02,0.946
2017-06-03,0.922
2017-06-04,0.969
2017-06-05,1.193
2017-06-06,1.393
2017-06-07,2.08
2017-06-08,3.844
2017-06-09,3.884
2017-06-10,4.838
2017-06-11,3.505
2017-06-12,2.458
2017-06-13,1.983
2017-06-14,1.9
2017-06-15,1.76
2017-06-16,1.795
2017-06-17,3.837
2017-06-18,2.239
2017-06-19,3.025
2017-06-20,2.435
2017-06-21,2.079
2017-06-22,1.882
2017-06-23,1.712
2017-06-24,1.59
2017-06-25,1.463
2017-06-26,1.623
2017-06-27,1.397
2017-06-28,1.463
2017-06-29,1.033
2017-06-30,1.087
2017-07-01,0.846
2017-07-02,0.955
2017-07-03,1.505
2017-07-04,2.055
2017-07-05,2.039
2017-07-06,1.815
2017-07-07,1.27
2017-07-08,1.505
2017-07-09,1.505
2017-07-10,1.505
2017-07-11,1.507
2017-07-12,1.27
2017-07-13,1.27
2017-07-14,1.1
2017-07-15,1.379
2017-07-16,1.361
2017-07-17,1.179
2017-07-18,1.379
2017-07-19,1.082
2017-07-20,1.252
2017-07-21,1.156
2017-07-22,0.991
2017-07-23,0.973
2017-07-24,0.991
2017-07-25,0.973
2017-07-26,1.046
2017-07-27,1.046
2017-07-28,1.064
2017-07-29,0.991
2017-07-30,0.955
2017-07-31,1.082
2017-08-01,1.453
2017-08-02,1.453
2017-08-03,1.016
2017-08-04,0.896
2017-08-05,1.209
2017-08-06,1.186
2017-08-07,1.186
2017-08-08,1.355
2017-08-09,1.186
2017-08-10,1.186
2017-08-11,1.138
2017-08-12,1.597
2017-08-13,1.477
2017-08-14,1.621
2017-08-15,1.621
2017-08-16,1.162
2017-08-17,1.209
2017-08-18,1.597
2017-08-19,1.209
2017-08-20,1.186
2017-08-21,1.307
2017-08-22,1.186
2017-08-23,1.888
2017-08-24,1.79
2017-08-25,1.621
2017-08-26,1.284
2017-08-27,2.783
2017-08-28,2.759
2017-08-29,2.637
2017-08-30,2.324
2017-08-31,3.655
2017-09-01,8.278
2017-09-02,5.525
2017-09-03,3.673
2017-09-04,3.76
2017-09-05,3.32
2017-09-06,3.485
2017-09-07,2.827
2017-09-08,2.739
2017-09-09,2.04
2017-09-10,2.378
2017-09-11,2.04
2017-09-12,1.866
2017-09-13,2.566
2017-09-14,2.827
2017-09-15,3.219
2017-09-16,1.881
2017-09-17,1.793
2017-09-18,1.967
2017-09-19,1.793
2017-09-20,1.691
2017-09-21,1.981
2017-09-22,1.765
2017-09-23,1.135
2017-09-24,1.121
2017-09-25,1.72
2017-09-26,1.677
2017-09-27,1.72
2017-09-28,1.691
2017-09-29,1.706
2017-09-30,1.121
2017-10-01,0.837
2017-10-02,1.151
2017-10-03,0.837
2017-10-04,0.837
2017-10-05,1.351
2017-10-06,0.837
2017-10-07,0.729
2017-10-08,1.351
2017-10-09,1.459
2017-10-10,1.459
2017-10-11,1.459
2017-10-12,3.416
2017-10-13,3.838
2017-10-14,3.73
2017-10-15,3.838
2017-10-16,3.108
2017-10-17,3.108
2017-10-18,1.566
2017-10-19,1.459
2017-10-20,1.566
2017-10-21,1.566
2017-10-22,1.459
2017-10-23,1.566
2017-10-24,1.459
2017-10-25,1.459
2017-10-26,1.459
2017-10-27,1.459
2017-10-28,0.729
2017-10-29,1.459
2017-10-30,1.459
2017-10-31,3.108
2017-11-01,3.713
2017-11-02,4.542
2017-11-03,4.542
2017-11-04,1.657
2017-11-05,4.542
2017-11-06,3.713
2017-11-07,5.371
2017-11-08,5.371
2017-11-09,4.953
2017-11-10,4.542
2017-11-11,4.542
2017-11-12,4.542
2017-11-13,4.542
2017-11-14,4.542
2017-11-15,3.713
2017-11-16,4.542
2017-11-17,5.371
2017-11-18,4.542
2017-11-19,5.371
2017-11-20,5.371
2017-11-21,5.371
2017-11-22,4.542
2017-11-23,5.371
2017-11-24,4.542
2017-11-25,7.028
2017-11-26,7.028
2017-11-27,11.152
2017-11-28,11.57
2017-11-29,18.598
2017-11-30,12.399
2017-12-01,11.799
2017-12-02,11.799
2017-12-03,10.762
2017-12-04,10.762
2017-12-05,10.762
2017-12-06,12.296
2017-12-07,18.217
2017-12-08,27.943
2017-12-09,43.392
2017-12-10,22.561
2017-12-11,44.386
2017-12-12,130.827
2017-12-13,76.96
2017-12-14,52.307
2017-12-15,39.274
2017-12-16,30.285
2017-12-17,29.226
2017-12-18,29.519
2017-12-19,34.882
2017-12-20,35.644
2017-12-21,29.745
2017-12-22,41.589
2017-12-23,23.059
2017-12-24,17.18
2017-12-25,14.659
2017-12-26,15.646
2017-12-27,16.414
2017-12-28,17.18
2017-12-29,14.119
2017-12-30,17.427
2017-12-31,12.296
2018-01-01,11.011
2018-01-02,13.878
2018-01-03,14.214
2018-01-04,18.287
2018-01-05,13.878
2018-01-06,17.948
2018-01-07,15.42
2018-01-08,13.878
2018-01-09,13.203
2018-01-10,13.203
2018-01-11,11.685
2018-01-12,10.336
2018-01-13,10.336
2018-01-14,10.675
2018-01-15,7.615
2018-01-16,13.203
2018-01-17,13.878
2018-01-18,10.336
2018-01-19,6.937
2018-01-20,6.602
2018-01-21,6.602
2018-01-22,6.602
2018-01-23,6.602
2018-01-24,6.602
2018-01-25,6.602
2018-01-26,6.602
2018-01-27,6.602
2018-01-28,6.263
2018-01-29,6.263
2018-01-30,5.927
2018-01-31,6.602
2018-02-01,7.645
2018-02-02,7.645
2018-02-03,6.746
2018-02-04,9.669
2018-02-05,7.645
2018-02-06,7.645
2018-02-07,6.746
2018-02-08,5.846
2018-02-09,6.746
2018-02-10,5.846
2018-02-11,4.722
2018-02-12,5.846
2018-02-13,4.722
2018-02-14,18.214
2018-02-15,15.291
2018-02-16,10.568
2018-02-17,9.669
2018-02-18,13.04
2018-02-19,11.468
2018-02-20,14.391
2018-02-21,9.669
2018-02-22,6.746
2018-02-23,6.746
2018-02-24,4.722
2018-02-25,6.746
2018-02-26,7.645
2018-02-27,6.746
2018-02-28,4.722
2018-03-01,4.591
2018-03-02,4.129
2018-03-03,4.125
2018-03-04,3.836
2018-03-05,3.891
2018-03-06,4.008
2018-03-07,4.326
2018-03-08,4.036
2018-03-09,4.829
2018-03-10,3.663
2018-03-11,3.065
2018-03-12,3.529
2018-03-13,3.832
2018-03-14,3.982
2018-03-15,4.096
2018-03-16,3.117
2018-03-17,3.024
2018-03-18,4.045
2018-03-19,3.418
2018-03-20,3.288
2018-03-21,3.102
2018-03-22,2.853
2018-03-23,2.725
2018-03-24,2.889
2018-03-25,2.762
2018-03-26,3.124
2018-03-27,3.817
2018-03-28,3.975
2018-03-29,4.686
2018-03-30,3.949
2018-03-31,3.037
2018-04-01,3.162
2018-04-02,3.217
2018-04-03,3.593
2018-04-04,3.428
2018-04-05,3.176
2018-04-06,2.818
2018-04-07,2.823
2018-04-08,2.864
2018-04-09,3.011
2018-04-10,2.786
2018-04-11,2.68
2018-04-12,3.227
2018-04-13,3.579
2018-04-14,2.699
2018-04-15,2.97
2018-04-16,3.043
2018-04-17,3.744
2018-04-18,3.176
2018-04-19,3.235
2018-04-20,3.685
2018-04-21,3.492
2018-04-22,2.964
2018-04-23,3.314
2018-04-24,4.322
2018-04-25,3.753
2018-04-26,2.653
2018-04-27,2.745
2018-04-28,2.837
2018-04-29,3.148
2018-04-30,2.731
2018-05-01,2.413
2018-05-02,2.272
2018-05-03,3.208
2018-05-04,3.171
2018-05-05,4.082
2018-05-06,2.547
2018-05-07,2.456
2018-05-08,2.536
2018-05-09,2.799
2018-05-10,2.387
2018-05-11,2.802
2018-05-12,2.033
2018-05-13,2.343
2018-05-14,2.617
2018-05-15,2.353
2018-05-16,2.009
2018-05-17,2.164
2018-05-18,2.076
2018-05-19,1.793
2018-05-20,1.907
2018-05-21,1.789
2018-05-22,1.968
2018-05-23,2.363
2018-05-24,2.121
2018-05-25,1.82
2018-05-26,1.734
2018-05-27,1.772
2018-05-28,1.791
2018-05-29,2.116
2018-05-30,1.758
2018-05-31,1.819
2018-06-01,1.745
2018-06-02,1.722
2018-06-03,1.813
2018-06-04,1.698
2018-06-05,1.733
2018-06-06,1.838
2018-06-07,1.557
2018-06-08,1.603
2018-06-09,1.496
2018-06-10,2.168
2018-06-11,2.394
2018-06-12,2.506
2018-06-13,3.33
2018-06-14,2.584
2018-06-15,1.915
2018-06-16,1.837
2018-06-17,1.471
2018-06-18,1.893
2018-06-19,1.837
2018-06-20,1.759
2018-06-21,1.949
2018-06-22,2.394
2018-06-23,1.971
2018-06-24,2.528
2018-06-25,1.971
2018-06-26,2.105
2018-06-27,1.994
2018-06-28,1.837
2018-06-29,2.584
2018-06-30,1.86
2018-07-01,1.493
2018-07-02,1.759
2018-07-03,1.837
2018-07-04,1.437
2018-07-05,1.437
2018-07-06,1.437
2018-07-07,1.359
2018-07-08,1.415
2018-07-09,1.415
2018-07-10,1.782
2018-07-11,1.759
2018-07-12,1.782
2018-07-13,1.437
2018-07-14,1.415
2018-07-15,1.415
2018-07-16,1.815
2018-07-17,2.45
2018-07-18,2.45
2018-07-19,1.915
2018-07-20,1.837
2018-07-21,1.415
2018-07-22,1.381
2018-07-23,1.971
2018-07-24,2.394
2018-07-25,2.105
2018-07-26,1.782
2018-07-27,1.837
2018-07-28,1.493
2018-07-29,1.381
2018-07-30,1.782
2018-07-31,1.782
2018-08-01,1.837
2018-08-02,1.415
2018-08-03,1.493
2018-08-04,1.381
2018-08-05,1.837
2018-08-06,1.837
2018-08-07,1.86
2018-08-08,2.64
2018-08-09,1.994
2018-08-10,2.108
2018-08-11,2.459
2018-08-12,1.781
2018-08-13,2.147
2018-08-14,2.743
2018-08-15,2.166
2018-08-16,1.968
2018-08-17,1.932
2018-08-18,1.79
2018-08-19,1.598
2018-08-20,1.755
2018-08-21,1.711
2018-08-22,1.766
2018-08-23,1.755
2018-08-24,1.503
2018-08-25,1.615
2018-08-26,1.327
2018-08-27,1.433
2018-08-28,2.15
2018-08-29,1.814
2018-08-30,1.771
2018-08-31,1.529
2018-09-01,1.813
2018-09-02,1.824
2018-09-03,1.685
2018-09-04,2.27
2018-09-05,1.917
2018-09-06,1.837
2018-09-07,1.439
2018-09-08,1.58
2018-09-09,1.301
2018-09-10,1.68
2018-09-11,1.649
2018-09-12,1.96
2018-09-13,1.787
2018-09-14,1.858
2018-09-15,1.745
2018-09-16,1.494
2018-09-17,1.557
2018-09-18,1.538
2018-09-19,1.388
2018-09-20,1.463
2018-09-21,2.003
2018-09-22,1.604
2018-09-23,1.736
2018-09-24,1.556
2018-09-25,1.31
2018-09-26,1.54
2018-09-27,2.075
2018-09-28,1.798
2018-09-29,1.338
2018-09-30,1.19
2018-10-01,1.388
2018-10-02,1.275
2018-10-03,1.418
2018-10-04,1.34
2018-10-05,1.209
2018-10-06,1.347
2018-10-07,1.203
2018-10-08,1.265
2018-10-09,1.386
2018-10-10,1.255
2018-10-11,1.64
2018-10-12,1.467
2018-10-13,1.324
2018-10-14,1.314
2018-10-15,1.328
2018-10-16,1.447
2018-10-17,1.413
2018-10-18,1.377
2018-10-19,1.206
2018-10-20,1.053
2018-10-21,1.233
2018-10-22,1.127
2018-10-23,1.046
2018-10-24,1.074
2018-10-25,1.081
2018-10-26,1.121
2018-10-27,0.941
2018-10-28,1.01
2018-10-29,1.225
2018-10-30,1.186
2018-10-31,1.222
2018-11-01,1.208
2018-11-02,1.49
2018-11-03,1.149
2018-11-04,1.671
2018-11-05,1.579
2018-11-06,1.371
2018-11-07,1.575
2018-11-08,1.285
2018-11-09,1.12
2018-11-10,1.089
2018-11-11,1.129
2018-11-12,1.148
2018-11-13,1.32
2018-11-14,1.743
2018-11-15,1.832
2018-11-16,1.55
2018-11-17,1.161
2018-11-18,1.494
2018-11-19,2.084
2018-11-20,2.437
2018-11-21,1.865
2018-11-22,1.612
2018-11-23,1.481
2018-11-24,1.675
2018-11-25,1.87
2018-11-26,1.784
2018-11-27,1.802
2018-11-28,1.854
2018-11-29,1.692
2018-11-30,1.375
2018-12-01,1.303
2018-12-02,1.225
2018-12-03,1.275
2018-12-04,1.382
2018-12-05,1.38
2018-12-06,1.718
2018-12-07,2.134
2018-12-08,1.912
2018-12-09,1.65
2018-12-10,1.635
2018-12-11,1.619
2018-12-12,1.415
2018-12-13,1.445
2018-12-14,1.533
2018-12-15,1.692
2018-12-16,1.848
