TIMESTAMP,GERMANY_OPEN_PRICE_USD,GERMANY_HIGH_PRICE_USD,GERMANY_LOW_PRICE_USD,GERMANY_CLOSE_PRICE_USD,GERMANY_VOLUME_USD,GERMANY_DIVIDENDS_USD,GERMANY_STOCK_SPLITS_USD
2022-12-13 00:00:00+00:00,,,,0.0,398609,0.0,0.0
2022-12-14 00:00:00+00:00,,,,0.0,406361,0.0,0.0
2022-12-15 00:00:00+00:00,,,,0.0,178275,0.0,0.0
2022-12-16 00:00:00+00:00,,,,0.0,86280,0.0,0.0
2022-12-17 00:00:00+00:00,,,,0.0,135517,0.0,0.0
2022-12-18 00:00:00+00:00,,,,0.0,122944,0.0,0.0
2022-12-19 00:00:00+00:00,,,,0.0,61298,0.0,0.0
2022-12-20 00:00:00+00:00,,,,0.0,58955,0.0,0.0
2022-12-21 00:00:00+00:00,,,,0.0,49192,0.0,0.0
2022-12-22 00:00:00+00:00,,,,0.0,49848,0.0,0.0
2022-12-23 00:00:00+00:00,,,,0.0,86086,0.0,0.0
2022-12-24 00:00:00+00:00,,,,0.0,52068,0.0,0.0
2022-12-25 00:00:00+00:00,,,,0.0,28467,0.0,0.0
2022-12-26 00:00:00+00:00,,,,0.0,24432,0.0,0.0
2022-12-27 00:00:00+00:00,,,,0.0,100657,0.0,0.0
2022-12-28 00:00:00+00:00,,,,0.0,44670,0.0,0.0
2022-12-29 00:00:00+00:00,,,,0.0,40805,0.0,0.0
2022-12-30 00:00:00+00:00,,,,0.0,29357,0.0,0.0
2022-12-31 00:00:00+00:00,,,,0.0,18564,0.0,0.0
2023-01-01 00:00:00+00:00,,,,0.0,40405,0.0,0.0
2023-01-02 00:00:00+00:00,,,,0.0,56214,0.0,0.0
2023-01-03 00:00:00+00:00,,,,0.0,53176,0.0,0.0
2023-01-04 00:00:00+00:00,,,,0.0,19777,0.0,0.0
2023-01-05 00:00:00+00:00,,,,0.0,19097,0.0,0.0
2023-01-06 00:00:00+00:00,,,,0.0,36781,0.0,0.0
2023-01-07 00:00:00+00:00,,,,0.0,51636,0.0,0.0
2023-01-08 00:00:00+00:00,,,,0.0,44337,0.0,0.0
2023-01-09 00:00:00+00:00,,,,0.0,17444,0.0,0.0
2023-01-10 00:00:00+00:00,,,,0.0,49954,0.0,0.0
2023-01-11 00:00:00+00:00,,,,0.0,32351,0.0,0.0
2023-01-12 00:00:00+00:00,,,,0.0,16921,0.0,0.0
2023-01-13 00:00:00+00:00,,,,0.0,26659,0.0,0.0
2023-01-14 00:00:00+00:00,,,,0.0,14588,0.0,0.0
2023-01-15 00:00:00+00:00,,,,0.0,13979,0.0,0.0
2023-01-16 00:00:00+00:00,,,,0.0,14048,0.0,0.0
2023-01-17 00:00:00+00:00,,,,0.0,133740,0.0,0.0
2023-01-18 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,378841,0.0,0.0
2023-01-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,1150914,0.0,0.0
2023-01-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,572933,0.0,0.0
2023-01-21 00:00:00+00:00,,,,0.0,802103,0.0,0.0
2023-01-22 00:00:00+00:00,,,,0.0,125143,0.0,0.0
2023-01-23 00:00:00+00:00,,,,0.0,119751,0.0,0.0
2023-01-24 00:00:00+00:00,,,,0.0,63191,0.0,0.0
2023-01-25 00:00:00+00:00,,,,0.0,88326,0.0,0.0
2023-01-26 00:00:00+00:00,,,,0.0,66993,0.0,0.0
2023-01-27 00:00:00+00:00,,,,0.0,26916,0.0,0.0
2023-01-28 00:00:00+00:00,,,,0.0,71417,0.0,0.0
2023-01-29 00:00:00+00:00,,,,0.0,77397,0.0,0.0
2023-01-30 00:00:00+00:00,,,,0.0,60747,0.0,0.0
2023-01-31 00:00:00+00:00,,,,0.0,636381,0.0,0.0
2023-02-01 00:00:00+00:00,,,,0.0,176465,0.0,0.0
2023-02-02 00:00:00+00:00,,,,0.0,96295,0.0,0.0
2023-02-03 00:00:00+00:00,,,,0.0,43526,0.0,0.0
2023-02-04 00:00:00+00:00,,,,0.0,222403,0.0,0.0
2023-02-05 00:00:00+00:00,,,,0.0,57298,0.0,0.0
2023-02-06 00:00:00+00:00,,,,0.0,38062,0.0,0.0
2023-02-07 00:00:00+00:00,,,,0.0,63213,0.0,0.0
2023-02-08 00:00:00+00:00,,,,0.0,44265,0.0,0.0
2023-02-09 00:00:00+00:00,,,,0.0,75612,0.0,0.0
2023-02-10 00:00:00+00:00,,,,0.0,91684,0.0,0.0
2023-02-11 00:00:00+00:00,,,,0.0,171209,0.0,0.0
2023-02-12 00:00:00+00:00,,,,0.0,46902,0.0,0.0
2023-02-13 00:00:00+00:00,,,,0.0,73670,0.0,0.0
2023-02-14 00:00:00+00:00,,,,0.0,246602,0.0,0.0
2023-02-15 00:00:00+00:00,,,,0.0,142476,0.0,0.0
2023-02-16 00:00:00+00:00,,,,0.0,82498,0.0,0.0
2023-02-17 00:00:00+00:00,,,,0.0,39069,0.0,0.0
2023-02-18 00:00:00+00:00,,,,0.0,88745,0.0,0.0
2023-02-19 00:00:00+00:00,,,,0.0,41070,0.0,0.0
2023-02-20 00:00:00+00:00,,,,0.0,36849,0.0,0.0
2023-02-21 00:00:00+00:00,,,,0.0,16494,0.0,0.0
2023-02-22 00:00:00+00:00,,,,0.0,16071,0.0,0.0
2023-02-23 00:00:00+00:00,,,,0.0,41404,0.0,0.0
2023-02-24 00:00:00+00:00,,,,0.0,8670,0.0,0.0
