,ETH,Lag
WYZ,3.0922338815898925e-19,30
42,1.527067707134341e-17,30
TRST,3.7552043423845957e-16,30
PXC,1.3610222978970524e-13,21
RBT,4.62874112692069e-13,27
VEC2,7.966788990210172e-13,30
SIGNA,2.0694103326850624e-11,27
USDT,2.965629245899858e-10,3
ACES,3.077993640734158e-09,30
IFC,1.488427083351322e-08,30
DOGE,1.9191657092219068e-08,30
INF,3.2172452627289635e-08,1
BTC,3.969383006971471e-08,30
XLM,5.615307600177269e-08,28
RBIES,3.84362175394217e-07,14
LTCR,1.25395348642834e-06,25
LTC,1.4881607658928952e-06,30
IBANK,1.841154041645411e-06,26
QTUM,2.658212417042186e-06,21
TAB,4.1774260887706685e-06,26
CAB,8.978488310508158e-06,30
PPC,1.1837402537410545e-05,11
VIDZ,1.6316560084498095e-05,18
SKULL,3.240297613368812e-05,27
XEM,4.954788351039391e-05,22
BERN,8.107111184622827e-05,20
GRS,9.078016926686144e-05,29
IMS,0.0001615087958707,10
XPY,0.0002115183365921,30
PXI,0.0003455585932478,29
EUC,0.0003524469322322,2
TAJ,0.000374495556447,6
CKC,0.0004813533715853,29
ETC,0.0005375753638892,27
XPM,0.0006407732072006,28
XHI,0.0006598811931645,24
SWING,0.0008960350522698,28
GNO,0.0009568565163561,28
C2,0.0010865315100723,29
VLT,0.0011556211951877,30
XWC,0.0012949405972661,22
COOL,0.0013105083962857,17
STEEM,0.0013147853949837,26
RLC,0.0014373089847402,9
XRP,0.0014794491520417,23
XMS,0.0014903316741859,26
PAK,0.0015323316819915,30
BLK,0.0015528489097397,23
LMC,0.0016871818611243,30
BOLI,0.001791874889627,2
EVIL,0.0019497932059453,20
WBB,0.0020301887941693,23
SXC,0.0022974978564299,14
ZEN,0.0028099495883317,30
ZCL,0.0028976474030289,23
FIRO,0.003454975000675,30
LSK,0.0034999119212317,10
DGB,0.0039414630257099,30
HBD,0.0041644628104586,6
LAMB,0.0042802323811453,29
MONA,0.0043826573331565,29
XQN,0.0055282928949882,9
AE,0.005604368947086,1
FRN,0.0065582564724618,18
ARK,0.0070287761339233,1
GBYTE,0.00904635861892,21
CREVA,0.0090958514306817,28
ZEC,0.0093246505129111,2
ADZ,0.0095146577468877,10
GAS,0.0099636351821584,6
AMS,0.0100157483898462,29
BCN,0.0101195541097564,28
CARBON,0.0103530910368247,3
ZYD,0.0104711821221387,14
XMR,0.0114708446188968,17
WINGS,0.0118204252285079,11
WAVES,0.0130364367202653,30
NMC,0.013813277841268,3
CSC,0.0146766664444462,30
BLAZR,0.0150862775260842,1
ZUR,0.015378148000145,3
SPR,0.0155633907601474,9
IOTA,0.0155839708731348,17
HVCO,0.0159554324913422,30
XPX,0.016424541861219,16
LDOGE,0.0171002016348545,28
DASH,0.018111957904387,21
CJ,0.0198684748011231,1
AV,0.0245380784483198,9
KOBO,0.0280153826592824,7
QTZ,0.0295512766089836,1
MCN,0.0319168896121935,20
MOTO,0.0339709098162087,27
BTS,0.0348367925377315,7
ICOB,0.0353434534361569,6
ADC,0.0370244173710476,28
LUNC,0.0377742475951918,30
HNC,0.0385700283434662,30
KMD,0.0396613613288235,5
VTC,0.0406942848962786,25
OPAL,0.0441478702714444,7
SYS,0.0505554149493169,14
CLUB,0.0526355449173932,5
ACOIN,0.0573727793820422,21
ZENI,0.0638361989197599,18
FOREX,0.0677041761387297,14
MST,0.0774661996267873,2
BLU,0.081298084212,19
AMBER,0.0851191961493439,4
LOG,0.0851263734771389,18
NXT,0.0866022433531433,1
MAY,0.0875498427592867,3
XPTX,0.0877582780323063,12
SKR,0.0895067094008854,30
PIVX,0.096301792115803,20
ZET,0.0987183709367522,29
START,0.0996767722716674,4
VAL,0.1011034516158398,6
ZER,0.102581184306009,14
EQB,0.1093805113077608,1
BRIT,0.1094974803962038,3
SNRG,0.1116372282717461,1
SC,0.113041824552223,30
BS,0.1195424059064875,30
MAID,0.1229995837858341,28
XCP,0.1259709579737879,30
XST,0.1265686759730512,3
IRL,0.1328919575209457,25
DCY,0.1331863305577728,29
NOBL,0.1332744437473124,29
ARGUS,0.14881944110776,1
XTO,0.1493366631734199,8
XBC,0.1551756623615102,1
RRT,0.1552288739042648,3
NEWB,0.1562847863576794,8
XBY,0.1662819999843345,17
KURT,0.1703304621007839,28
POST,0.1723252775406634,24
2GIVE,0.1725264537935503,3
KIN,0.1783466904466468,15
BAT,0.1811088953101893,15
ANT,0.2034335745314671,16
DCR,0.2060520443993429,22
ICON,0.2097178498104292,25
POT,0.2202743910603617,2
CF,0.2216643685837679,14
DCT,0.2226272372431368,18
DEM,0.2305773697154456,1
FTC,0.2474855723682379,3
BTB,0.2540135801191987,28
BIS,0.2569790031491016,3
JLP,0.2607043861136647,6
RBY,0.2613709311236115,17
IXC,0.2619887000727551,1
CETI,0.272141361976554,9
TES,0.2860980626299116,1
BSTY,0.2885732797856296,1
PLU,0.2908402374351205,8
AGRS,0.2926656846168876,11
CLOAK,0.2961056737568561,2
RDD,0.3015614995033844,6
XDN,0.3043573901565544,5
CANN,0.3101664468794428,1
HMQ,0.3210283856395811,1
SONG,0.3220585586511226,1
LOOK,0.3509558685791167,30
CRW,0.3556356037999647,1
HBN,0.3629129122192197,1
WGR,0.3644633563190188,16
PKB,0.3818265658313282,1
LBC,0.3842292096399251,30
OK,0.3847307011608874,4
EFL,0.3913254194399771,28
LANA,0.3936340521740855,1
EDRC,0.4014008381475719,17
BITS,0.4150146048705866,21
WC,0.4305964232010447,1
NXS,0.4346049305919504,10
PIE,0.4427567317131337,1
OZO,0.4483753785399877,13
SIB,0.4541918898100288,4
BTCS,0.4565316945908024,1
NAV,0.4592359313704577,1
PTOY,0.476293090325093,7
CLAM,0.4771783301545473,2
ALIAS,0.479411600278474,7
AXIOM,0.4851088421587772,4
NEVA,0.4872747373006751,1
SANDG,0.4874981216813392,1
MNTC,0.4964631972887467,3
SWT,0.4979008206703502,9
PZM,0.5239927007059095,3
PHR,0.5461228291711615,1
SILK,0.5572422573552587,1
QBC,0.5694958843662927,2
NVC,0.5712512243967823,26
TECH,0.5814408762101284,30
SLS,0.5830853032599985,6
VERI,0.5853128046134408,4
DGC,0.594273048542029,1
ILC,0.6046414154136609,1
SWIFT,0.669479368292124,1
PASC,0.674662566863176,1
FRC,0.7324030080094497,1
BTA,0.7443707524504577,1
CNT,0.7813490602447759,2
PUT,0.8275580964386735,1
GCC,0.8538698548274163,8
