TIMESTAMP,DGLN_OPEN_PRICE_USD,DGLN_HIGH_PRICE_USD,DGLN_LOW_PRICE_USD,DGLN_CLOSE_PRICE_USD,DGLN_VOLUME_USD,DGLN_DIVIDENDS_USD,DGLN_STOCK_SPLITS_USD
2022-01-14 00:00:00+00:00,2.5999999706982635e-05,8.70000003487803e-05,2.300000051036477e-05,8.70000003487803e-05,79596,0.0,0.0
2022-01-15 00:00:00+00:00,8.70000003487803e-05,0.00015799999528098851,8.399999933317304e-05,0.0001140000022132881,252534,0.0,0.0
2022-01-16 00:00:00+00:00,0.0001140000022132881,0.00015199999324977398,5.500000042957254e-05,6.299999949987978e-05,94513,0.0,0.0
2022-01-17 00:00:00+00:00,6.299999949987978e-05,8.099999831756577e-05,5.2999999752501026e-05,7.200000254670158e-05,39170,0.0,0.0
2022-01-18 00:00:00+00:00,7.200000254670158e-05,8.600000001024455e-05,7.100000220816582e-05,8.499999967170879e-05,8556,0.0,0.0
2022-01-19 00:00:00+00:00,8.499999967170879e-05,8.900000102585182e-05,7.999999797903001e-05,7.999999797903001e-05,6966,0.0,0.0
2022-01-20 00:00:00+00:00,7.999999797903001e-05,8.199999865610152e-05,6.0999998822808266e-05,6.0999998822808266e-05,14142,0.0,0.0
2022-01-21 00:00:00+00:00,6.0999998822808266e-05,6.70000008540228e-05,5.8000001445179805e-05,6.0999998822808266e-05,6201,0.0,0.0
2022-01-22 00:00:00+00:00,6.0999998822808266e-05,6.800000119255856e-05,4.199999966658652e-05,4.8000001697801054e-05,26601,0.0,0.0
2022-01-23 00:00:00+00:00,4.8000001697801054e-05,5.199999941396527e-05,4.5000000682193786e-05,4.5000000682193786e-05,6419,0.0,0.0
2022-01-24 00:00:00+00:00,4.5000000682193786e-05,4.8999998398358e-05,4.099999932805076e-05,4.199999966658652e-05,5278,0.0,0.0
2022-01-25 00:00:00+00:00,4.199999966658652e-05,4.600000102072954e-05,4.199999966658652e-05,4.400000034365803e-05,1767,0.0,0.0
2022-01-26 00:00:00+00:00,4.400000034365803e-05,4.600000102072954e-05,4.400000034365803e-05,4.5000000682193786e-05,1112,0.0,0.0
2022-01-27 00:00:00+00:00,4.5000000682193786e-05,4.600000102072954e-05,4.5000000682193786e-05,4.600000102072954e-05,1363,0.0,0.0
2022-01-28 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,3.300000025774352e-05,3.300000025774352e-05,8673,0.0,0.0
2022-01-29 00:00:00+00:00,3.300000025774352e-05,3.300000025774352e-05,1.5999999959603883e-05,1.8000000636675395e-05,18166,0.0,0.0
2022-01-30 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.700000029813964e-05,1.8999999156221747e-05,4334,0.0,0.0
2022-01-31 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8000000636675395e-05,643,0.0,0.0
2022-02-01 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8999999156221747e-05,162,0.0,0.0
2022-02-02 00:00:00+00:00,1.8999999156221747e-05,2.2000000171829015e-05,1.8999999156221747e-05,2.2000000171829015e-05,3248,0.0,0.0
2022-02-03 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,1931,0.0,0.0
