TIMESTAMP,PI36370_OPEN_PRICE_USD,PI36370_HIGH_PRICE_USD,PI36370_LOW_PRICE_USD,PI36370_CLOSE_PRICE_USD,PI36370_VOLUME_USD,PI36370_DIVIDENDS_USD,PI36370_STOCK_SPLITS_USD
2025-04-30 00:00:00+00:00,,,,0.0,227007,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,572883,0.0,0.0
2025-05-02 00:00:00+00:00,0.0,1.9999999949504854e-06,0.0,1.9999999949504854e-06,590466,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,471029,0.0,0.0
2025-05-04 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,753679,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,626210,0.0,0.0
2025-05-06 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,702878,0.0,0.0
2025-05-07 00:00:00+00:00,9.999999974752427e-07,3.999999989900971e-06,9.999999974752427e-07,3.999999989900971e-06,738939,0.0,0.0
2025-05-08 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,0.0,9.999999974752427e-07,689921,0.0,0.0
2025-05-09 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,860405,0.0,0.0
2025-05-10 00:00:00+00:00,1.9999999949504854e-06,6.000000212225132e-06,9.999999974752427e-07,9.999999974752427e-07,613216,0.0,0.0
2025-05-11 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,655707,0.0,0.0
2025-05-12 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,753266,0.0,0.0
2025-05-13 00:00:00+00:00,3.000000106112566e-06,6.000000212225132e-06,0.0,9.999999974752427e-07,697230,0.0,0.0
2025-05-14 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,803190,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,804346,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,581679,0.0,0.0
2025-05-17 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,263467,0.0,0.0
2025-05-18 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,270204,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,292636,0.0,0.0
2025-05-20 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,395234,0.0,0.0
2025-05-21 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,355548,0.0,0.0
2025-05-22 00:00:00+00:00,1.9999999949504854e-06,4.999999873689376e-06,1.9999999949504854e-06,4.999999873689376e-06,234145,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,222094,0.0,0.0
2025-05-24 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,245708,0.0,0.0
2025-05-25 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,220182,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,231192,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,232790,0.0,0.0
2025-05-28 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,216218,0.0,0.0
2025-05-29 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,221540,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,269247,0.0,0.0
2025-05-31 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,186550,0.0,0.0
2025-06-01 00:00:00+00:00,5.544363830267685e-07,1.286949100176571e-06,4.978832066626637e-07,1.202794692289899e-06,195694,0.0,0.0
