TIMESTAMP,TRUMPINU29698_OPEN_PRICE_USD,TRUMPINU29698_HIGH_PRICE_USD,TRUMPINU29698_LOW_PRICE_USD,TRUMPINU29698_CLOSE_PRICE_USD,TRUMPINU29698_VOLUME_USD,TRUMPINU29698_DIVIDENDS_USD,TRUMPINU29698_STOCK_SPLITS_USD
2024-03-07 00:00:00+00:00,2.4000000848900527e-05,2.5999999706982635e-05,1.9999999494757503e-05,1.9999999494757503e-05,285850,0.0,0.0
2024-03-08 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.700000029813964e-05,185290,0.0,0.0
2024-03-09 00:00:00+00:00,1.700000029813964e-05,3.5000000934815034e-05,1.5999999959603883e-05,3.099999958067201e-05,286001,0.0,0.0
2024-03-10 00:00:00+00:00,3.099999958067201e-05,4.3000000005122274e-05,3.099999958067201e-05,3.400000059627928e-05,229665,0.0,0.0
2024-03-11 00:00:00+00:00,3.400000059627928e-05,5.700000110664405e-05,3.300000025774352e-05,4.8000001697801054e-05,280441,0.0,0.0
2024-03-12 00:00:00+00:00,4.8000001697801054e-05,5.900000178371556e-05,3.7000001611886546e-05,4.70000013592653e-05,348992,0.0,0.0
2024-03-13 00:00:00+00:00,4.70000013592653e-05,0.00010199999815085903,4.199999966658652e-05,8.800000068731606e-05,902512,0.0,0.0
2024-03-14 00:00:00+00:00,8.800000068731606e-05,9.7999996796716e-05,7.200000254670158e-05,8.399999933317304e-05,635000,0.0,0.0
2024-03-15 00:00:00+00:00,8.399999933317304e-05,8.499999967170879e-05,6.500000017695129e-05,7.200000254670158e-05,290391,0.0,0.0
2024-03-16 00:00:00+00:00,7.200000254670158e-05,7.200000254670158e-05,4.199999966658652e-05,5.700000110664405e-05,388556,0.0,0.0
2024-03-17 00:00:00+00:00,5.700000110664405e-05,5.900000178371556e-05,4.199999966658652e-05,5.500000042957254e-05,292216,0.0,0.0
2024-03-18 00:00:00+00:00,6.0999998822808266e-05,7.699999696342275e-05,4.5000000682193786e-05,5.400000009103678e-05,248063,0.0,0.0
2024-03-19 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,3.9999998989515007e-05,3.9999998989515007e-05,201876,0.0,0.0
2024-03-20 00:00:00+00:00,3.9999998989515007e-05,4.8999998398358e-05,3.199999991920777e-05,4.8999998398358e-05,199397,0.0,0.0
2024-03-21 00:00:00+00:00,4.8999998398358e-05,4.8999998398358e-05,3.899999865097925e-05,3.9999998989515007e-05,86811,0.0,0.0
2024-03-22 00:00:00+00:00,3.9999998989515007e-05,4.3000000005122274e-05,2.9000000722589903e-05,3.400000059627928e-05,112984,0.0,0.0
2024-03-23 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,2.9999999242136255e-05,2.9999999242136255e-05,33432,0.0,0.0
2024-03-24 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.499999936844688e-05,2.9999999242136255e-05,122577,0.0,0.0
2024-03-25 00:00:00+00:00,2.9999999242136255e-05,3.600000127335079e-05,2.8000000384054147e-05,3.600000127335079e-05,112583,0.0,0.0
2024-03-26 00:00:00+00:00,3.600000127335079e-05,3.899999865097925e-05,2.9000000722589903e-05,2.9999999242136255e-05,109001,0.0,0.0
2024-03-27 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.5999999706982635e-05,112659,0.0,0.0
2024-03-28 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,16134,0.0,0.0
2024-03-29 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.4000000848900527e-05,2.499999936844688e-05,23269,0.0,0.0
2024-03-30 00:00:00+00:00,2.499999936844688e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.499999936844688e-05,64317,0.0,0.0
2024-03-31 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.2000000171829015e-05,2.2000000171829015e-05,36434,0.0,0.0
2024-04-01 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.8999999156221747e-05,2.099999983329326e-05,47316,0.0,0.0
2024-04-02 00:00:00+00:00,2.099999983329326e-05,2.499999936844688e-05,1.8999999156221747e-05,2.499999936844688e-05,43548,0.0,0.0
2024-04-03 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,1.8999999156221747e-05,2.099999983329326e-05,59870,0.0,0.0
2024-04-04 00:00:00+00:00,2.099999983329326e-05,2.5999999706982635e-05,2.099999983329326e-05,2.2000000171829015e-05,37508,0.0,0.0
2024-04-05 00:00:00+00:00,2.2000000171829015e-05,2.8000000384054147e-05,2.2000000171829015e-05,2.8000000384054147e-05,47659,0.0,0.0
2024-04-06 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.5999999706982635e-05,3.099999958067201e-05,67039,0.0,0.0
2024-04-07 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,2.700000004551839e-05,2.700000004551839e-05,56349,0.0,0.0
2024-04-08 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.5999999706982635e-05,3.099999958067201e-05,25841,0.0,0.0
2024-04-09 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.300000051036477e-05,2.300000051036477e-05,51682,0.0,0.0
2024-04-10 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.099999983329326e-05,2.2000000171829015e-05,43056,0.0,0.0
2024-04-11 00:00:00+00:00,2.2000000171829015e-05,2.499999936844688e-05,2.2000000171829015e-05,2.4000000848900527e-05,30787,0.0,0.0
2024-04-12 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,1.8999999156221747e-05,1.8999999156221747e-05,41632,0.0,0.0
2024-04-13 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8000000636675395e-05,19012,0.0,0.0
2024-04-14 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.2999999853491317e-05,60089,0.0,0.0
2024-04-15 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.4000000192027073e-05,16808,0.0,0.0
2024-04-16 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.4000000192027073e-05,10128,0.0,0.0
2024-04-17 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.4000000192027073e-05,31322,0.0,0.0
2024-04-18 00:00:00+00:00,1.4000000192027073e-05,1.700000029813964e-05,1.4000000192027073e-05,1.700000029813964e-05,13696,0.0,0.0
2024-04-19 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.4000000192027073e-05,1.4000000192027073e-05,27099,0.0,0.0
2024-04-20 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4999999621068127e-05,13349,0.0,0.0
2024-04-21 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,13325,0.0,0.0
2024-04-22 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,24376,0.0,0.0
2024-04-23 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,9.000000318337698e-06,9.999999747378752e-06,35770,0.0,0.0
2024-04-24 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,9.999999747378752e-06,45250,0.0,0.0
2024-04-25 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,14726,0.0,0.0
2024-04-26 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,10728,0.0,0.0
2024-04-27 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.999999747378752e-06,1.2000000424450263e-05,21129,0.0,0.0
2024-04-28 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,13102,0.0,0.0
2024-04-29 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,9.999999747378752e-06,9.999999747378752e-06,13341,0.0,0.0
2024-04-30 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,7158,0.0,0.0
2024-05-01 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,9490,0.0,0.0
2024-05-02 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,11177,0.0,0.0
2024-05-03 00:00:00+00:00,9.999999747378752e-06,1.4000000192027073e-05,9.999999747378752e-06,1.2999999853491317e-05,30270,0.0,0.0
2024-05-04 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.4000000192027073e-05,7638,0.0,0.0
2024-05-05 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,6753,0.0,0.0
2024-05-06 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,4964,0.0,0.0
2024-05-07 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,4418,0.0,0.0
2024-05-08 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,2694,0.0,0.0
2024-05-09 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.4000000192027073e-05,32117,0.0,0.0
2024-05-10 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4000000192027073e-05,15893,0.0,0.0
2024-05-11 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4000000192027073e-05,2138,0.0,0.0
