TIMESTAMP,BUD_OPEN_PRICE_USD,BUD_HIGH_PRICE_USD,BUD_LOW_PRICE_USD,BUD_CLOSE_PRICE_USD,BUD_VOLUME_USD,BUD_DIVIDENDS_USD,BUD_STOCK_SPLITS_USD
2024-07-05 00:00:00+00:00,,,,0.0,278113,0.0,0.0
2024-07-06 00:00:00+00:00,,,,0.0,317678,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,271169,0.0,0.0
2024-07-08 00:00:00+00:00,,,,0.0,284423,0.0,0.0
2024-07-09 00:00:00+00:00,,,,0.0,255357,0.0,0.0
2024-07-10 00:00:00+00:00,,,,0.0,202995,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,85452,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,130994,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,69519,0.0,0.0
2024-07-14 00:00:00+00:00,,,,0.0,133476,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,76322,0.0,0.0
2024-07-16 00:00:00+00:00,,,,0.0,202826,0.0,0.0
2024-07-17 00:00:00+00:00,,,,0.0,310477,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,297960,0.0,0.0
2024-07-19 00:00:00+00:00,,,,0.0,143874,0.0,0.0
2024-07-20 00:00:00+00:00,,,,0.0,94947,0.0,0.0
2024-07-21 00:00:00+00:00,,,,0.0,71062,0.0,0.0
2024-07-22 00:00:00+00:00,,,,0.0,86135,0.0,0.0
2024-07-23 00:00:00+00:00,,,,0.0,75768,0.0,0.0
2024-07-24 00:00:00+00:00,,,,0.0,142985,0.0,0.0
2024-07-25 00:00:00+00:00,,,,0.0,36263,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,99039,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,103731,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,59430,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,98314,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,43606,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,13899,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,21672,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,27766,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,59043,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,40360,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,34394,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,33929,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,13444,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,15803,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,71605,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,38361,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,21193,0.0,0.0
