TIMESTAMP,LGO23120_OPEN_PRICE_USD,LGO23120_HIGH_PRICE_USD,LGO23120_LOW_PRICE_USD,LGO23120_CLOSE_PRICE_USD,LGO23120_VOLUME_USD,LGO23120_DIVIDENDS_USD,LGO23120_STOCK_SPLITS_USD
2023-01-15 00:00:00+00:00,15817.869140625,18923.7890625,4458.3564453125,5091.3662109375,62,0.0,0.0
2023-01-16 00:00:00+00:00,5091.3662109375,13711.1611328125,4963.64892578125,13644.2236328125,22,0.0,0.0
2023-01-17 00:00:00+00:00,13644.2236328125,15214.7900390625,4869.51416015625,13492.9150390625,127,0.0,0.0
2023-01-18 00:00:00+00:00,13512.857421875,26786.31640625,6986.7314453125,16733.9921875,297,0.0,0.0
2023-01-19 00:00:00+00:00,16776.072265625,19269.4765625,8408.8310546875,17484.09765625,122,0.0,0.0
2023-01-20 00:00:00+00:00,17436.36328125,152130.875,10985.970703125,23409.431640625,6689,0.0,0.0
2023-01-21 00:00:00+00:00,23419.484375,114855.9140625,9954.314453125,25166.251953125,2725,0.0,0.0
2023-01-22 00:00:00+00:00,25233.884765625,28223.09765625,16016.8994140625,18881.884765625,468,0.0,0.0
2023-01-23 00:00:00+00:00,18882.634765625,39975.41796875,6056.65625,18244.703125,13153,0.0,0.0
2023-01-24 00:00:00+00:00,18205.1953125,83592.421875,15233.3681640625,31703.138671875,1606,0.0,0.0
2023-01-25 00:00:00+00:00,31793.673828125,31867.498046875,18156.896484375,25983.041015625,545,0.0,0.0
2023-01-26 00:00:00+00:00,25861.525390625,31542.166015625,21215.763671875,23480.5078125,1241,0.0,0.0
2023-01-27 00:00:00+00:00,23478.412109375,40984.5859375,15079.9228515625,24503.2421875,3408,0.0,0.0
2023-01-28 00:00:00+00:00,24458.296875,24589.89453125,17297.720703125,19107.654296875,994,0.0,0.0
2023-01-29 00:00:00+00:00,19107.654296875,31261.95703125,18987.2578125,26666.53125,1449,0.0,0.0
2023-01-30 00:00:00+00:00,26656.744140625,31307.873046875,20758.25,26966.126953125,766,0.0,0.0
2023-01-31 00:00:00+00:00,27058.791015625,33949.12890625,18170.10546875,23823.955078125,2710,0.0,0.0
2023-02-01 00:00:00+00:00,23820.734375,27495.537109375,15696.986328125,19789.85546875,1918,0.0,0.0
2023-02-02 00:00:00+00:00,19788.640625,24695.232421875,18557.796875,19857.984375,530,0.0,0.0
2023-02-03 00:00:00+00:00,19865.177734375,42254.2734375,17626.11328125,19965.197265625,2050,0.0,0.0
2023-02-04 00:00:00+00:00,19895.716796875,30514.3125,12746.0703125,30200.693359375,1100,0.0,0.0
