TIMESTAMP,SOL28825_OPEN_PRICE_USD,SOL28825_HIGH_PRICE_USD,SOL28825_LOW_PRICE_USD,SOL28825_CLOSE_PRICE_USD,SOL28825_VOLUME_USD,SOL28825_DIVIDENDS_USD,SOL28825_STOCK_SPLITS_USD
2023-12-23 00:00:00+00:00,,,,0.0,673332,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,268455,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,75513,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,48443,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,22173,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,8777,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,5869,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,2736,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,32655,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,10869,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,22686,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,3032,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,9822,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,1233,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,4204,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,7620,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,960,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,6980,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,6118,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,2819,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,61268,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,8539,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,2779,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,7712,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,662,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,553,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,398,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,47,0.0,0.0
