,K,Alpha,Tau,MSE
0,6,250,0.3,86.16512295877637
1,6,250,0.25,86.16604672179926
2,10,500,0.25,86.17638141621336
3,10,500,0.3,86.17736333875598
4,11,500,0.3,86.18578031622899
5,11,500,0.25,86.19425338576661
6,12,500,0.3,86.19441965996717
7,7,250,0.3,86.20057775115082
8,11,500,0.2,86.20353782107776
9,12,500,0.25,86.2059948737041
10,8,250,0.3,86.21464102594872
11,7,250,0.25,86.2150044096752
12,12,500,0.2,86.22648624206406
13,8,250,0.25,86.23544524949503
14,10,500,0.2,86.23944806291995
15,7,250,0.2,86.24131995462893
16,9,250,0.3,86.26958770024825
17,12,500,0.15,86.272901493076
18,8,250,0.2,86.27364242327195
19,7,250,0.15,86.29856848832888
20,9,250,0.25,86.31429688644222
21,8,250,0.15,86.35707187696981
22,9,250,0.2,86.39712641704314
23,15,1250,0.3,86.42116520682673
24,7,250,0.1,86.42955903858756
25,14,1000,0.3,86.45011624330927
26,12,250,0.3,86.5421700003066
27,14,750,0.3,86.54760236839125
28,15,750,0.3,86.57124080114265
29,14,1000,0.25,86.57516588123222
30,9,250,0.15,86.57894296353199
31,8,250,0.1,86.60588305904854
32,12,500,0.1,86.66090318295836
33,12,250,0.25,86.6811832142115
34,14,750,0.25,86.71324893755956
35,13,750,0.3,86.74273601620081
36,15,750,0.25,86.75114903582408
37,6,250,0.2,86.81300300274658
38,11,500,0.15,86.82597997808355
39,15,500,0.3,86.86272775011787
40,14,250,0.3,86.86909897517864
41,12,250,0.2,86.92833320704308
42,13,750,0.25,86.94775407014394
43,14,1000,0.2,86.95334542898217
44,14,750,0.2,87.0224251716395
45,14,1250,0.3,87.0249399812179
46,15,500,0.25,87.05966507871759
47,14,250,0.25,87.1394729810665
48,9,250,0.1,87.13954909348693
49,15,750,0.2,87.21118530780747
50,13,750,0.2,87.30053896631084
51,15,500,0.2,87.40338101850386
52,12,250,0.15,87.45697305990052
53,14,250,0.2,87.61576752962733
54,14,750,0.15,87.71504038638732
55,13,1000,0.3,87.80623801893425
56,11,250,0.3,87.99792120738047
57,15,250,0.3,88.00678151112243
58,7,250,0.05,88.07261872617961
59,15,750,0.15,88.07407080918959
60,10,250,0.3,88.08955844148184
61,15,500,0.15,88.16462441361566
62,8,250,0.05,88.21404928199496
63,15,250,0.25,88.47686648139697
64,13,250,0.3,88.56622259219458
65,11,250,0.25,88.56885554903351
66,14,250,0.15,88.61545779400423
67,13,500,0.25,88.69054820322606
68,10,250,0.25,88.77286281562925
69,14,500,0.3,89.07174493223202
70,12,250,0.1,89.11287832489255
71,13,500,0.2,89.13975653052884
72,13,500,0.15,89.3025684660101
73,15,250,0.2,89.34964226751869
74,11,250,0.2,89.47812504535025
75,15,1000,0.3,89.74794019788783
76,10,250,0.2,89.957822069106
77,13,500,0.3,90.29675085030681
78,14,750,0.1,90.30019815856554
79,13,250,0.25,90.57578716198164
80,15,500,0.1,90.60726538170626
81,14,500,0.1,90.90244813446667
82,11,250,0.15,91.13394383699311
83,15,250,0.15,91.16888410741122
84,15,750,0.1,91.18449306631236
85,15,1000,0.25,91.31065369312745
86,14,250,0.1,91.8642267166405
87,13,500,0.1,91.91900594084314
88,10,250,0.15,92.38782635286081
89,9,250,0.05,92.54076240480147
90,14,500,0.25,93.15750047248405
91,15,1000,0.2,94.40197396753533
92,11,250,0.1,95.2034469058283
93,13,250,0.2,95.91558691466356
94,15,250,0.1,96.23763322745911
95,10,250,0.1,99.25165307838424
96,12,250,0.05,103.54732199971588
97,14,1000,0.15,104.22631181385212
98,13,750,0.15,104.57670493493613
99,14,250,0.05,112.83287783668071
100,13,250,0.15,113.45505807784173
101,15,500,0.05,113.53401641406708
102,14,500,0.05,113.56429484369316
103,15,250,0.05,119.600917598304
104,11,250,0.05,121.97986441533132
105,14,750,0.05,122.3447719338827
106,15,1000,0.15,125.48442625226421
107,14,500,0.2,140.86015308153407
108,10,250,0.05,141.46525651574137
109,13,500,0.05,147.29236446835282
110,15,1250,0.25,154.67251633477545
111,12,750,0.3,161.650119665098
112,13,250,0.1,163.84790402583357
113,15,750,0.05,236.18140622317046
114,14,1250,0.25,244.44684776503397
115,11,750,0.3,256.51635571321174
116,15,1250,0.2,258.90242065052524
117,13,250,0.05,275.6625037329015
118,6,250,0.15,284.48205349634844
119,11,750,0.25,288.29861335038214
120,10,500,0.15,292.4317540210494
121,9,500,0.3,313.0270998512361
122,11,500,0.1,315.60420209328794
123,12,750,0.25,352.01636124834505
124,14,1250,0.15,374.28246894396625
125,14,1000,0.1,420.7628333989959
126,13,1000,0.15,449.02704821205015
127,14,500,0.15,485.2115841188942
128,15,1000,0.1,530.7931067458354
129,8,500,0.3,535.6678188921734
130,12,500,0.05,554.0388541646475
131,15,250,0.0,588.4427794068254
132,11,1000,0.3,601.4461806172806
133,15,1500,0.25,602.8598141061121
134,15,1500,0.3,642.1840636909103
135,10,500,0.1,652.5583296093221
