,K,Alpha,Tau,MSE
0,6,250,0.25,86.16525174294553
1,6,250,0.3,86.16525592208214
2,6,250,0.2,86.18025008702632
3,10,500,0.3,86.18120148989138
4,12,750,0.3,86.18399058343465
5,10,500,0.25,86.18640024016645
6,11,500,0.3,86.19218935567638
7,11,500,0.25,86.20184078460679
8,12,750,0.25,86.20252668550756
9,12,500,0.3,86.20628392535373
10,7,250,0.3,86.20807507000359
11,11,500,0.2,86.21591297715952
12,8,250,0.3,86.22022060250757
13,12,500,0.25,86.22235112176546
14,7,250,0.25,86.22579045236161
15,8,250,0.25,86.2435372253826
16,12,500,0.2,86.25159201299766
17,7,250,0.2,86.2584247896102
18,9,250,0.3,86.27492742265733
19,8,250,0.2,86.28654869204635
20,9,250,0.25,86.32226007713172
21,12,500,0.15,86.3258656983637
22,7,250,0.15,86.32980209654592
23,8,250,0.15,86.38101492175069
24,9,250,0.2,86.41002554051228
25,7,250,0.1,86.53714341479298
26,9,250,0.15,86.60306285416452
27,8,250,0.1,86.66534570076902
28,12,250,0.3,86.72950063249168
29,14,1000,0.3,86.74283602190692
30,15,1000,0.3,86.84876714990422
31,15,750,0.3,86.92694330471065
32,12,250,0.25,86.93417953389147
33,14,1000,0.25,86.98820346091436
34,14,750,0.3,87.09743549311357
35,13,750,0.3,87.12095496950622
36,15,1000,0.25,87.14195078019866
37,9,250,0.1,87.21194273946266
38,15,750,0.25,87.22813031762755
39,12,250,0.2,87.29906806321857
40,13,250,0.3,87.31455006183099
41,13,1000,0.3,87.34568395819745
42,14,250,0.3,87.36143054025676
43,14,750,0.25,87.41980022183704
44,13,750,0.25,87.46644128636467
45,11,500,0.15,87.52862023547333
46,10,500,0.2,87.74799622556165
47,15,750,0.2,87.77253428178523
48,14,250,0.25,87.8408697547751
49,14,750,0.2,88.01637726072727
50,13,250,0.25,88.03223275189067
51,12,250,0.15,88.09515155064533
52,15,1250,0.3,88.28133973005802
53,15,250,0.3,88.33281265120912
54,13,750,0.2,88.4623340764924
55,7,250,0.05,88.4829672666986
56,8,250,0.05,88.50835335533147
57,15,1000,0.2,88.59223989633101
58,14,250,0.2,88.73055452257658
59,11,250,0.3,88.8004204170053
60,15,750,0.15,89.08138838641443
61,15,250,0.25,89.2360979419438
62,15,500,0.3,89.3956253440495
63,10,250,0.3,89.42703676141187
64,14,500,0.3,89.58591556036421
65,14,750,0.15,89.59728092350716
66,11,250,0.25,89.70689241950348
67,13,250,0.2,89.75888609794191
68,15,500,0.25,89.86964763361956
69,14,1000,0.2,90.23542302023559
70,10,250,0.25,90.63591311875746
71,15,500,0.2,90.66385646232936
72,14,250,0.15,90.73495030055506
73,12,250,0.1,90.73868918951325
74,9,250,0.05,90.81549517811462
75,15,250,0.2,90.82316693972143
76,14,500,0.25,90.90370165915945
77,11,250,0.2,91.20110864342746
78,13,750,0.15,91.7800024182213
79,15,500,0.15,92.55718566474509
80,10,250,0.2,92.75990048514895
81,12,500,0.1,93.85038351163635
82,11,250,0.15,93.98619418318783
83,15,250,0.15,93.9878447620871
84,13,500,0.3,94.20406285841327
85,15,1250,0.25,94.35075552253967
86,14,1250,0.3,94.63059460789206
87,14,500,0.2,94.73593435491131
88,13,250,0.15,95.52915345600111
89,13,500,0.25,95.84319973468388
90,14,250,0.1,96.94462566486057
91,10,250,0.15,97.165777208486
92,13,500,0.2,97.23660412836004
93,14,750,0.1,97.7741752685194
94,13,500,0.15,98.573422675162
95,11,250,0.1,100.71670418956911
96,15,500,0.1,100.72735077045512
97,15,250,0.1,101.85705413496707
98,15,750,0.1,103.23124117611663
99,13,500,0.1,104.26069327497723
100,10,250,0.1,109.45570603712105
101,12,250,0.05,114.66110077249643
102,13,250,0.1,124.25252086035009
103,14,750,0.05,126.58481142152534
104,14,250,0.05,127.22274417492228
105,15,250,0.05,131.30635992582518
106,11,250,0.05,141.62342984071174
107,15,1500,0.25,147.59345520921917
108,15,1000,0.15,155.52588393442755
109,14,500,0.15,159.10167286218757
110,11,750,0.3,162.812616110352
111,10,250,0.05,176.29715761460432
112,11,750,0.25,179.52520974433133
113,15,500,0.05,182.26327114926409
114,15,750,0.05,184.89736062578473
115,13,500,0.05,205.23673254366864
116,11,500,0.1,207.95337470288305
117,11,500,0.05,211.9573296621614
118,13,250,0.05,217.3754332784285
119,15,1000,0.1,231.77009302200287
120,14,1000,0.15,244.46188253967344
121,6,250,0.15,251.57943882693272
122,12,750,0.2,251.84425972001208
123,14,1250,0.15,283.50394559634253
124,14,1250,0.25,325.3323361064023
125,10,500,0.15,402.0502096961283
126,14,1250,0.2,409.4760533348407
127,13,750,0.1,418.1442931957202
128,11,750,0.15,424.5363056199317
129,12,1000,0.3,553.511672134253
130,15,250,0.0,610.2085256551803
131,13,1000,0.2,611.7859567305015
132,14,1500,0.3,628.7051830168284
133,14,500,0.1,644.9019763651811
134,12,1250,0.3,646.5392939685071
135,14,1500,0.25,648.3664383591752
136,14,1000,0.1,656.8684874247997
137,14,1750,0.3,662.8832233729453
138,14,250,0.0,680.4951685448511
139,13,1000,0.25,680.6831211945155
140,14,500,0.05,692.4517866909248
141,10,500,0.05,709.397129241786
142,15,1750,0.2,739.9230689436656
143,15,1500,0.15,797.8587833544169
144,15,1250,0.1,807.9576407431441
145,12,750,0.15,846.1016853469356
146,14,1000,0.05,866.7632583397341
147,8,500,0.15,870.4473562026283
148,12,500,0.05,885.3335336764582
149,15,1750,0.3,955.3563202287456
150,11,750,0.1,961.2019734515595
151,9,500,0.2,993.0257568022886
152,13,250,0.0,1040.9149942177676
153,15,2000,0.2,1055.1781187325073
154,11,1000,0.2,1121.8133005664597
155,11,750,0.2,1160.124652942682
156,13,750,0.05,1194.4235932911367
157,13,1000,0.1,1201.636455165486
158,12,1000,0.25,1215.816391560728
159,9,500,0.3,1245.8232552353036
160,12,250,0.0,1274.580533407673
161,14,1500,0.2,1386.8626970605758
162,9,500,0.25,1387.0665499669037
163,10,500,0.1,1390.7307036766033
164,15,1750,0.25,1417.7546889402865
165,13,1000,0.05,1430.1654620839902
166,11,750,0.05,1433.1838640229096
167,12,750,0.05,1646.592051249491
168,13,1250,0.3,1719.0077456846009
169,11,1250,0.3,1745.0049136621476
170,15,1750,0.15,1781.9918316215724
171,15,1500,0.2,1829.8029987298112
172,15,1500,0.1,1838.7783314260516
173,11,1000,0.1,1875.21840246041
174,11,250,0.0,1911.5572132129028
175,15,1250,0.2,2013.371605963918
176,13,1500,0.3,2074.714537564853
