TIMESTAMP,PUGAI_OPEN_PRICE_USD,PUGAI_HIGH_PRICE_USD,PUGAI_LOW_PRICE_USD,PUGAI_CLOSE_PRICE_USD,PUGAI_VOLUME_USD,PUGAI_DIVIDENDS_USD,PUGAI_STOCK_SPLITS_USD
2023-05-07 00:00:00+00:00,,,,0.0,279076,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,227971,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,178588,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,161571,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,174464,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,337971,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,172766,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,183239,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,162615,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,175361,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,174195,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,164268,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,160231,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,152021,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,149864,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,144969,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,140172,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,121392,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,121534,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,113444,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,98956,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,102556,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,90754,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,52655,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,50686,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,49188,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,64364,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,111956,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,58905,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,56983,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,51276,0.0,0.0
