TIMESTAMP,MOG_OPEN_PRICE_USD,MOG_HIGH_PRICE_USD,MOG_LOW_PRICE_USD,MOG_CLOSE_PRICE_USD,MOG_VOLUME_USD,MOG_DIVIDENDS_USD,MOG_STOCK_SPLITS_USD
2023-07-21 00:00:00+00:00,,,,0.0,13761989,0.0,0.0
2023-07-22 00:00:00+00:00,,,,0.0,9738352,0.0,0.0
2023-07-23 00:00:00+00:00,,,,0.0,5564670,0.0,0.0
2023-07-24 00:00:00+00:00,,,,0.0,4135457,0.0,0.0
2023-07-25 00:00:00+00:00,,,,0.0,3514414,0.0,0.0
2023-07-26 00:00:00+00:00,,,,0.0,5965517,0.0,0.0
2023-07-27 00:00:00+00:00,,,,0.0,8289728,0.0,0.0
2023-07-28 00:00:00+00:00,,,,0.0,4356124,0.0,0.0
2023-07-29 00:00:00+00:00,,,,0.0,4361168,0.0,0.0
2023-07-30 00:00:00+00:00,,,,0.0,3392045,0.0,0.0
2023-07-31 00:00:00+00:00,,,,0.0,3187823,0.0,0.0
2023-08-01 00:00:00+00:00,,,,0.0,3779231,0.0,0.0
2023-08-02 00:00:00+00:00,,,,0.0,3829482,0.0,0.0
2023-08-03 00:00:00+00:00,,,,0.0,5684156,0.0,0.0
2023-08-04 00:00:00+00:00,,,,0.0,2367027,0.0,0.0
2023-08-05 00:00:00+00:00,,,,0.0,2464543,0.0,0.0
2023-08-06 00:00:00+00:00,,,,0.0,3627089,0.0,0.0
2023-08-07 00:00:00+00:00,,,,0.0,2009394,0.0,0.0
2023-08-08 00:00:00+00:00,,,,0.0,1883156,0.0,0.0
2023-08-09 00:00:00+00:00,,,,0.0,2774990,0.0,0.0
2023-08-10 00:00:00+00:00,,,,0.0,2002669,0.0,0.0
2023-08-11 00:00:00+00:00,,,,0.0,2477384,0.0,0.0
2023-08-12 00:00:00+00:00,,,,0.0,1534288,0.0,0.0
2023-08-13 00:00:00+00:00,,,,0.0,2749084,0.0,0.0
2023-08-14 00:00:00+00:00,,,,0.0,2095989,0.0,0.0
2023-08-15 00:00:00+00:00,,,,0.0,3964393,0.0,0.0
