TIMESTAMP,M-BTC_OPEN_PRICE_USD,M-BTC_HIGH_PRICE_USD,M-BTC_LOW_PRICE_USD,M-BTC_CLOSE_PRICE_USD,M-BTC_VOLUME_USD,M-BTC_DIVIDENDS_USD,M-BTC_STOCK_SPLITS_USD
2025-02-07 00:00:00+00:00,96469.046875,98394.5625,95406.4609375,95407.96875,562055,0.0,0.0
2025-02-08 00:00:00+00:00,95407.96875,96113.25,95401.7265625,96113.25,187334,0.0,0.0
2025-02-09 00:00:00+00:00,96113.25,96745.1875,95231.125,96051.65625,594591,0.0,0.0
2025-02-10 00:00:00+00:00,96051.65625,97802.8046875,96051.65625,97039.3203125,101164,0.0,0.0
2025-02-11 00:00:00+00:00,97039.3203125,98158.2421875,95019.4453125,95476.2578125,292553,0.0,0.0
2025-02-12 00:00:00+00:00,95476.2578125,97583.8359375,94560.7265625,97583.8359375,313585,0.0,0.0
2025-02-13 00:00:00+00:00,97583.8359375,97877.1328125,94746.2265625,95475.71875,244864,0.0,0.0
2025-02-14 00:00:00+00:00,95475.71875,97707.046875,95475.71875,96833.28125,29171,0.0,0.0
2025-02-15 00:00:00+00:00,96833.28125,97436.0390625,96633.28125,97199.7734375,51666,0.0,0.0
2025-02-16 00:00:00+00:00,97199.7734375,97285.9609375,96075.8671875,96124.0,40314,0.0,0.0
2025-02-17 00:00:00+00:00,96124.0,96498.1484375,94860.3828125,95705.578125,97189,0.0,0.0
2025-02-18 00:00:00+00:00,95705.578125,95921.65625,94114.3359375,94579.0625,61177,0.0,0.0
2025-02-19 00:00:00+00:00,94579.0625,96084.890625,94566.8359375,96084.296875,65291,0.0,0.0
2025-02-20 00:00:00+00:00,96084.296875,97486.5546875,95827.1953125,97350.671875,47808,0.0,0.0
2025-02-21 00:00:00+00:00,97350.671875,98663.28125,96144.3828125,96149.4296875,58842,0.0,0.0
2025-02-22 00:00:00+00:00,96149.4296875,96518.9765625,95562.0625,96059.4609375,64433,0.0,0.0
2025-02-23 00:00:00+00:00,96059.4609375,96464.328125,95116.890625,95372.9453125,20191,0.0,0.0
2025-02-24 00:00:00+00:00,95372.9453125,95538.1953125,91467.3828125,91746.21875,12362,0.0,0.0
2025-02-25 00:00:00+00:00,91746.21875,91914.4765625,86299.3984375,88219.578125,213903,0.0,0.0
