,MSE,MAE,RMSE,MAPE,R2
0,0.001601095401743,0.0304982113589843,0.0400136901790253,0.0652191405219989,0.642933632564592
1,0.0002471872687548,0.0124026253098441,0.0157221903294303,0.0319672310084973,0.7595954774638685
2,0.0006217127311568,0.0209496422941165,0.0249341679459498,0.0384537986324631,0.7753940506333692
3,0.0010696727548461,0.0225615114284058,0.0327058519969466,0.0452772331935668,0.6898783182645853
4,0.0003949850625114,0.0153259707975291,0.0198742311174899,0.0288772131406772,0.1081351678543574
5,0.0006229021947869,0.01954931927224,0.0249580086302355,0.0405313862814602,0.5481455138878545
6,0.000362791222906,0.0141577661157615,0.0190470791174405,0.0367982655985714,0.7053426687218999
7,0.0004680898371756,0.0184465365244015,0.0216353839156061,0.0519902794594953,0.9068170199999606
8,0.000269869515293,0.0131049425274665,0.0164277057221334,0.043693598026156,0.6770061911328431
9,0.0005920988704544,0.0160042949982227,0.0243330818116911,0.0456340632148368,0.6054107729258995
10,0.0005439896859208,0.0183246111807723,0.0233235864720851,0.0399326652814714,0.6703852574136404
11,0.0009810749392945,0.0263796010269568,0.0313221158176539,0.0791702119942019,0.6722784081516804
Mean,0.0006479557904036083,0.01897541940289176,0.024524757754640625,0.045628757196116365,0.6467768732512126
