TIMESTAMP,GCAKE_OPEN_PRICE_USD,GCAKE_HIGH_PRICE_USD,GCAKE_LOW_PRICE_USD,GCAKE_CLOSE_PRICE_USD,GCAKE_VOLUME_USD,GCAKE_DIVIDENDS_USD,GCAKE_STOCK_SPLITS_USD
2021-11-11 00:00:00+00:00,9.999999974752427e-07,3.7999998312443495e-05,9.999999974752427e-07,2.099999983329326e-05,2933834,0.0,0.0
2021-11-12 00:00:00+00:00,2.099999983329326e-05,2.5999999706982635e-05,1.2000000424450263e-05,2.099999983329326e-05,4765550,0.0,0.0
2021-11-13 00:00:00+00:00,2.099999983329326e-05,2.499999936844688e-05,1.4000000192027073e-05,2.099999983329326e-05,1592374,0.0,0.0
2021-11-14 00:00:00+00:00,2.099999983329326e-05,2.4000000848900527e-05,1.4999999621068127e-05,1.5999999959603883e-05,493175,0.0,0.0
2021-11-15 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.2000000424450263e-05,1.4999999621068127e-05,274793,0.0,0.0
2021-11-16 00:00:00+00:00,1.4999999621068127e-05,1.8999999156221747e-05,7.999999979801942e-06,1.2000000424450263e-05,491626,0.0,0.0
2021-11-17 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,4.999999873689376e-06,1.2000000424450263e-05,566905,0.0,0.0
2021-11-18 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,3.000000106112566e-06,6.000000212225132e-06,364329,0.0,0.0
2021-11-19 00:00:00+00:00,6.000000212225132e-06,1.8000000636675395e-05,3.999999989900971e-06,1.700000029813964e-05,247981,0.0,0.0
2021-11-20 00:00:00+00:00,1.700000029813964e-05,1.9999999494757503e-05,1.2999999853491317e-05,1.4000000192027073e-05,442724,0.0,0.0
2021-11-21 00:00:00+00:00,1.4000000192027073e-05,1.700000029813964e-05,9.999999747378752e-06,1.4000000192027073e-05,279668,0.0,0.0
2021-11-22 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.4000000192027073e-05,219847,0.0,0.0
2021-11-23 00:00:00+00:00,1.4000000192027073e-05,1.9999999494757503e-05,7.999999979801942e-06,1.5999999959603883e-05,201693,0.0,0.0
2021-11-24 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.2999999853491317e-05,1.4999999621068127e-05,147263,0.0,0.0
2021-11-25 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,7.999999979801942e-06,7.999999979801942e-06,370070,0.0,0.0
2021-11-26 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,7.000000096013537e-06,9.999999747378752e-06,581464,0.0,0.0
2021-11-27 00:00:00+00:00,9.999999747378752e-06,2.099999983329326e-05,9.999999747378752e-06,1.8000000636675395e-05,1694240,0.0,0.0
2021-11-28 00:00:00+00:00,1.8000000636675395e-05,2.9000000722589903e-05,1.4000000192027073e-05,1.9999999494757503e-05,4756953,0.0,0.0
2021-11-29 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,3.000000106112566e-06,3.999999989900971e-06,6198950,0.0,0.0
2021-11-30 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,3514902,0.0,0.0
