TIMESTAMP,STX_OPEN_PRICE_USD,STX_HIGH_PRICE_USD,STX_LOW_PRICE_USD,STX_CLOSE_PRICE_USD
2015-05-13,0.01691,0.01691,0.01655,0.01655
2015-05-14,0.01655,0.01658,0.01655,0.01658
2015-05-15,0.01658,0.0166,0.01658,0.0166
2015-05-16,0.0166,0.0166,0.01654,0.01654
2015-05-17,0.01654,0.01654,0.01654,0.01654
2015-05-19,0.01628,0.01628,0.01624,0.01624
2015-05-20,0.01624,0.02269,0.005863,0.01636
2015-05-21,0.01636,0.01671,0.01262,0.01297
2015-05-22,0.01297,0.01487,0.006653,0.008656
2015-05-23,0.008656,0.01001,0.00675,0.00675
2015-05-24,0.00675,0.009851,0.00675,0.009842
2015-05-25,0.009842,0.01372,0.007599,0.009853
2015-05-26,0.009853,0.01374,0.009853,0.0107
2015-05-27,0.0107,0.0107,0.004746,0.00522
2015-05-28,0.00522,0.009493,0.003595,0.004996
2015-05-29,0.004996,0.004996,0.003591,0.003591
2015-05-30,0.003591,0.00465,0.001691,0.001691
2015-05-31,0.001691,0.00433,0.001691,0.004326
2015-06-02,0.000623,0.000623,0.000567,0.000623
2015-06-03,0.000623,0.000623,0.000623,0.000623
2015-06-04,0.000623,0.000673,0.000619,0.000673
2015-06-05,0.000673,0.000687,0.000673,0.000678
2015-06-06,0.000678,0.000678,0.000589,0.000589
2015-06-07,0.000589,0.000592,0.000585,0.000592
2015-06-08,0.000592,0.000686,0.000592,0.000606
2015-06-09,0.000606,0.001836,0.000606,0.000753
2015-06-10,0.000753,0.001938,0.00075,0.001938
2015-06-12,0.001947,0.001952,0.000754,0.000754
2015-06-13,0.000754,0.001532,0.000614,0.000614
2015-06-14,0.000616,0.000619,0.000616,0.000619
2015-06-15,0.000619,0.001066,0.000483,0.000483
2015-06-16,0.000483,0.000585,0.000483,0.000575
2015-06-17,0.000575,0.000575,0.000302,0.000302
2015-06-19,0.000303,0.000303,0.000298,0.000303
2015-06-21,0.000304,0.000818,0.000303,0.000818
2015-06-22,0.000818,0.000829,0.000307,0.000307
2015-06-23,0.000307,0.000817,0.000302,0.000487
2015-06-29,0.000498,0.000514,0.000498,0.000514
2015-07-03,0.000133,0.000133,0.000133,0.000133
2015-07-08,0.000527,0.000532,0.000527,0.000532
2015-07-09,0.000532,0.000538,0.000532,0.000538
2015-07-12,0.000438,0.000466,0.000438,0.000466
2015-07-16,0.000425,0.000553,0.000415,0.000553
2015-07-17,0.00023,0.000232,0.00023,0.000232
2015-07-18,0.000232,0.00026,0.000228,0.00026
2015-07-19,0.00026,0.00026,0.00026,0.00026
2015-07-21,0.000264,0.000267,0.000261,0.000267
2015-07-22,0.000162,0.000163,0.000162,0.000163
2015-07-24,0.00096,0.00096,0.00096,0.00096
2015-07-30,0.000208,0.000208,0.000207,0.000207
2017-07-26,0.05,0.11,0.05,0.11
2017-07-27,0.11,2.0,0.11,1.99
2017-07-28,1.99,2.0,1.0,1.55
2017-07-29,1.642,2.318,1.115,1.115
2017-07-30,1.115,1.688,1.115,1.134
2017-07-31,1.134,1.499,1.134,1.185
2017-08-01,1.44,1.67,1.1,1.1
2017-08-02,1.428,1.779,1.088,1.088
2017-08-03,1.088,1.447,0.9863,1.234
2017-08-04,1.234,2.444,1.154,2.444
2017-08-05,2.444,2.444,1.194,1.22
2017-08-06,1.22,1.524,0.8403,0.9454
2017-08-07,0.9454,1.259,0.6804,1.032
2017-08-08,1.032,1.345,1.029,1.132
2017-08-09,1.132,1.306,1.005,1.038
2017-08-10,1.038,1.312,0.9952,1.179
2017-08-11,1.179,1.642,1.179,1.477
2017-08-12,1.477,2.496,1.477,1.761
2017-08-13,1.761,2.234,1.649,1.869
2017-08-14,1.869,2.251,1.575,1.733
2017-08-15,1.733,1.873,1.59,1.69
2017-08-16,1.69,2.02,1.69,1.95
2017-08-17,1.95,2.252,1.85,2.042
2017-08-18,2.042,2.482,1.902,2.415
2017-08-19,2.415,2.574,2.169,2.348
2017-08-20,2.348,2.448,2.153,2.343
2017-08-21,2.343,2.443,2.008,2.039
2017-08-22,2.039,2.418,2.039,2.374
2017-08-23,2.374,2.485,2.076,2.153
2017-08-24,2.153,2.537,2.153,2.461
2017-08-25,2.461,2.837,2.352,2.693
2017-08-26,2.693,2.925,2.32,2.355
2017-08-27,2.355,2.786,1.404,1.586
2017-08-28,1.586,2.349,1.422,1.589
2017-08-29,1.589,2.299,1.499,1.871
2017-08-30,1.871,2.03,1.356,1.356
2017-08-31,1.356,1.705,1.325,1.435
2017-09-01,1.435,1.614,1.329,1.521
2017-09-02,1.521,1.521,1.093,1.153
2017-09-03,1.207,1.361,1.144,1.204
2017-09-04,1.204,1.204,1.002,1.002
2017-09-05,1.002,1.036,0.4104,0.948
2017-09-06,1.111,1.57,0.8545,1.279
2017-09-07,1.279,1.483,0.9271,1.275
2017-09-08,1.275,1.281,0.9951,1.082
2017-09-09,1.082,1.47,0.8757,0.893
2017-09-10,0.893,1.027,0.3487,0.9256
2017-09-11,0.9256,0.9743,0.8098,0.8942
2017-09-12,0.8942,1.204,0.8942,0.905
2017-09-13,0.905,0.905,0.6889,0.7934
2017-09-14,0.7934,0.7978,0.6194,0.6713
2017-09-15,0.6713,0.7985,0.6239,0.7428
2017-09-16,0.7428,0.7583,0.6732,0.7583
2017-09-17,0.7583,0.7583,0.6568,0.6715
2017-09-18,0.6715,0.8119,0.6715,0.7545
2017-09-19,0.7545,0.7816,0.5284,0.6175
2017-09-20,0.6107,0.65,0.51,0.51
2017-09-21,0.6638,0.6638,0.3277,0.5231
2017-09-22,0.5231,0.5351,0.4249,0.4681
2017-09-23,0.4681,0.4962,0.3636,0.428
2017-09-24,0.428,0.4621,0.428,0.4621
2017-09-25,0.4621,0.5821,0.4129,0.4798
2017-09-26,0.4798,0.5761,0.4477,0.4866
2017-09-27,0.4866,0.575,0.4866,0.5046
2017-09-28,0.5046,0.7133,0.5026,0.6293
2017-09-29,0.6293,0.7094,0.5717,0.6301
2017-09-30,0.6301,0.7064,0.6018,0.6148
2017-10-01,0.6148,0.6649,0.5812,0.5944
2017-10-02,0.5944,1.1,0.5194,0.7658
2017-10-03,0.7658,0.9017,0.742,0.8154
2017-10-04,0.8154,0.8817,0.7805,0.8142
2017-10-05,0.8142,1.08,0.8142,0.9983
2017-10-06,0.9983,1.176,0.8307,0.9312
2017-10-07,0.9312,1.051,0.8561,0.8561
2017-10-08,0.8797,0.9251,0.6,0.8298
2017-10-09,0.8298,0.8771,0.6005,0.6969
2017-10-10,0.6969,0.81,0.57,0.6308
2017-10-11,0.6383,0.6899,0.5065,0.6223
2017-10-12,0.6516,0.81,0.565,0.5795
2017-10-13,0.5759,0.6652,0.5355,0.5975
2017-10-14,0.5975,0.6465,0.5242,0.5825
2017-10-15,0.5825,0.6257,0.5574,0.5973
2017-10-16,0.6018,0.743,0.5183,0.5644
2017-10-17,0.5644,0.5644,0.2855,0.5095
2017-10-18,0.5431,0.5576,0.4851,0.4907
2017-10-19,0.4908,0.6382,0.4616,0.5129
2017-10-20,0.5129,0.6113,0.4914,0.4974
2017-10-21,0.4974,0.5226,0.4024,0.4685
2017-10-22,0.4707,0.5899,0.401,0.44
2017-10-23,0.4427,0.4546,0.4133,0.4428
2017-10-24,0.4428,0.4796,0.408,0.4576
2017-10-25,0.4417,0.5098,0.4,0.4
2017-10-26,0.4,0.5149,0.4,0.4271
2017-10-27,0.4271,0.515,0.4,0.5146
2017-10-28,0.5146,0.5146,0.41,0.4437
2017-10-29,0.4437,0.4706,0.412,0.4542
2017-10-30,0.4542,0.49,0.4049,0.4507
2017-10-31,0.4507,0.4862,0.4055,0.4376
2017-11-01,0.4376,0.5,0.4,0.4142
2017-11-02,0.4649,0.5269,0.4145,0.4426
2017-11-03,0.48,0.5007,0.414,0.476
2017-11-04,0.476,0.5999,0.4144,0.5245
2017-11-05,0.5245,0.5999,0.4331,0.5907
2017-11-06,0.5907,0.7373,0.4771,0.6886
2017-11-07,0.6886,0.7964,0.629,0.73
2017-11-08,0.7386,0.9454,0.6774,0.7147
2017-11-09,0.6776,0.8608,0.6775,0.7745
2017-11-10,0.7745,0.8186,0.5781,0.6095
2017-11-11,0.6095,0.6656,0.51,0.5951
2017-11-12,0.5959,0.6466,0.4644,0.529
2017-11-13,0.5416,0.6046,0.4906,0.5273
2017-11-14,0.5273,0.5799,0.4694,0.5473
2017-11-15,0.5473,0.59,0.5025,0.5235
2017-11-16,0.5235,0.5679,0.4926,0.5182
2017-11-17,0.5182,0.5383,0.4,0.5021
2017-11-18,0.5021,0.5357,0.4718,0.5165
2017-11-19,0.5165,0.538,0.5075,0.5125
2017-11-20,0.5125,0.5347,0.5044,0.524
2017-11-21,0.5195,0.5346,0.4293,0.4779
2017-11-22,0.4825,0.66,0.4825,0.5312
2017-11-23,0.5312,0.639,0.5246,0.5521
2017-11-24,0.5521,0.6234,0.5432,0.6221
2017-11-25,0.6221,0.6265,0.5769,0.5954
2017-11-26,0.5957,0.6052,0.5241,0.5869
2017-11-27,0.5852,0.6346,0.5628,0.5691
2017-11-28,0.5726,0.601,0.4735,0.52
2017-11-29,0.5274,0.5511,0.4363,0.4469
2017-11-30,0.4466,0.5,0.4147,0.4643
2017-12-01,0.465,0.4996,0.4275,0.4844
2017-12-02,0.4837,0.51,0.4709,0.4985
2017-12-03,0.495,0.536,0.4648,0.484
2017-12-04,0.484,0.5451,0.479,0.5078
2017-12-05,0.5133,0.532,0.4968,0.5052
2017-12-06,0.5111,0.5165,0.4428,0.4706
2017-12-07,0.4725,0.5038,0.456,0.4889
2017-12-08,0.4889,0.5158,0.4147,0.5157
2017-12-09,0.5151,0.5165,0.46,0.4936
2017-12-10,0.4936,0.4952,0.3634,0.4495
2017-12-11,0.4504,0.5165,0.4477,0.5082
2017-12-12,0.5088,0.5165,0.4221,0.5095
2017-12-13,0.5095,0.5165,0.45,0.4681
2017-12-14,0.4681,0.4992,0.43,0.4947
2017-12-15,0.492,0.81,0.4369,0.6418
2017-12-16,0.6417,0.7936,0.641,0.6666
2017-12-17,0.665,0.79,0.655,0.71
2017-12-18,0.7095,0.7554,0.6641,0.7553
2017-12-19,0.7553,0.8404,0.65,0.6788
2017-12-20,0.6798,0.7435,0.5804,0.6977
2017-12-21,0.697,0.7236,0.61,0.6212
2017-12-22,0.6211,0.6343,0.44,0.5776
2017-12-23,0.5806,0.6544,0.5341,0.5938
2017-12-24,0.5902,0.6052,0.4875,0.5334
2017-12-25,0.5335,0.654,0.5315,0.6372
2017-12-26,0.6389,0.67,0.6299,0.657
2017-12-27,0.657,0.68,0.6324,0.6587
2017-12-28,0.6578,0.6604,0.5595,0.653
2017-12-29,0.6528,1.32,0.6261,0.7591
2017-12-30,0.7584,0.9929,0.6866,0.7804
2017-12-31,0.7819,1.0,0.7681,0.942
2018-01-01,0.9415,1.02,0.807,0.9581
2018-01-02,0.957,1.4,0.9532,1.18
2018-01-03,1.18,1.25,0.8756,1.16
2018-01-04,1.16,1.17,0.9288,1.03
2018-01-05,1.03,1.26,0.9186,1.16
2018-01-06,1.15,1.54,1.12,1.39
2018-01-07,1.4,1.71,1.25,1.68
2018-01-08,1.68,1.98,1.2,1.45
2018-01-09,1.45,1.67,1.16,1.43
2018-01-10,1.43,1.53,1.29,1.42
2018-01-11,1.42,1.49,1.1,1.18
2018-01-12,1.17,1.57,1.01,1.22
2018-01-13,1.22,1.37,1.17,1.3
2018-01-14,1.3,1.37,1.1,1.14
2018-01-15,1.14,1.17,0.95,1.07
2018-01-16,1.07,1.2,0.6766,0.7636
2018-01-17,0.763,0.847,0.6243,0.7918
2018-01-18,0.7977,0.9,0.6998,0.8063
2018-01-19,0.8011,0.881,0.7868,0.8354
2018-01-20,0.8354,1.28,0.828,1.09
2018-01-21,1.11,1.11,0.9031,0.9112
2018-01-22,0.9108,0.9633,0.7899,0.8223
2018-01-23,0.8212,0.8457,0.7612,0.8116
2018-01-24,0.8113,0.9196,0.8011,0.8632
2018-01-25,0.8658,0.91,0.8357,0.8815
2018-01-26,0.8813,0.887,0.7675,0.8504
2018-01-27,0.8504,0.8739,0.8064,0.8502
2018-01-28,0.8524,0.9808,0.8,0.9019
2018-01-29,0.9083,0.9089,0.8,0.8188
2018-01-30,0.8237,0.8274,0.7028,0.7145
2018-01-31,0.7178,0.7278,0.6732,0.7233
2018-02-01,0.7219,0.7236,0.59,0.623
2018-02-02,0.6245,0.6251,0.4795,0.5724
2018-02-03,0.5731,0.617,0.5413,0.5888
2018-02-04,0.5847,0.5981,0.51,0.5139
2018-02-05,0.5157,0.5286,0.4101,0.4226
2018-02-06,0.421,0.4556,0.346,0.4553
2018-02-07,0.4553,0.497,0.3699,0.435
2018-02-08,0.4335,0.4938,0.412,0.4603
2018-02-09,0.4588,0.48,0.428,0.4699
2018-02-10,0.4708,0.4987,0.4472,0.4663
2018-02-11,0.4698,0.6103,0.4175,0.4572
2018-02-12,0.4612,0.4916,0.4481,0.4894
2018-02-13,0.488,0.4907,0.4442,0.4543
2018-02-14,0.4543,0.4829,0.45,0.4722
2018-02-15,0.4698,0.486,0.4418,0.4567
2018-02-16,0.4594,0.472,0.4189,0.4557
2018-02-17,0.4529,0.4857,0.4475,0.4749
2018-02-18,0.4749,0.4823,0.4465,0.4515
2018-02-19,0.4539,0.468,0.4129,0.4509
2018-02-20,0.4505,0.4648,0.4356,0.446
2018-02-21,0.4462,0.4468,0.4095,0.4122
2018-02-22,0.4122,0.431,0.3826,0.4064
2018-02-23,0.4075,0.46,0.39,0.4398
2018-02-24,0.4381,0.4492,0.4112,0.4224
2018-02-25,0.4194,0.4441,0.4,0.4173
2018-02-26,0.4173,0.444,0.4109,0.4332
2018-02-27,0.4342,0.4374,0.4179,0.4257
2018-02-28,0.4257,0.4259,0.385,0.41
2018-03-01,0.409,0.4103,0.3532,0.3922
2018-03-02,0.3923,0.4061,0.3747,0.3835
2018-03-03,0.3835,0.3912,0.3801,0.3851
2018-03-04,0.3864,0.3866,0.3689,0.3756
2018-03-05,0.3799,0.3978,0.373,0.3869
2018-03-06,0.3877,0.3903,0.3623,0.3696
2018-03-07,0.3686,0.3852,0.3428,0.3584
2018-03-08,0.3567,0.36,0.2307,0.3212
2018-03-09,0.3218,0.325,0.2827,0.3192
2018-03-10,0.3192,0.3353,0.163,0.2725
2018-03-11,0.2722,0.3105,0.2676,0.2868
2018-03-12,0.2869,0.3295,0.2643,0.2876
2018-03-13,0.2847,0.3145,0.2847,0.2985
2018-03-14,0.3001,0.3008,0.2582,0.2717
2018-03-15,0.2705,0.327,0.2479,0.2649
2018-03-16,0.2629,0.2766,0.2559,0.2689
2018-03-17,0.2706,0.2723,0.2429,0.2484
2018-03-18,0.2484,0.2498,0.2071,0.2319
2018-03-19,0.2319,0.2806,0.2281,0.2785
2018-03-20,0.2796,0.2903,0.2666,0.2772
2018-03-21,0.2793,0.3141,0.2759,0.2875
2018-03-22,0.2875,0.3026,0.264,0.2712
2018-03-23,0.2712,0.2927,0.2656,0.2851
2018-03-24,0.2851,0.292,0.2552,0.256
2018-03-25,0.2566,0.2597,0.2388,0.247
2018-03-26,0.2454,0.2493,0.2207,0.2354
2018-03-27,0.2319,0.2362,0.2165,0.2171
2018-03-28,0.217,0.2298,0.2118,0.2157
2018-03-29,0.2164,0.2183,0.187,0.1871
2018-03-30,0.187,0.2171,0.1653,0.2027
2018-03-31,0.2039,0.2161,0.1917,0.2022
2018-04-01,0.2037,0.2069,0.1889,0.1919
2018-04-02,0.1925,0.2116,0.1895,0.2028
2018-04-03,0.2025,0.2133,0.1978,0.21
2018-04-04,0.21,0.2121,0.196,0.1998
2018-04-05,0.1994,0.2043,0.1923,0.2018
2018-04-06,0.2021,0.2097,0.1976,0.1988
2018-04-07,0.1988,0.212,0.1982,0.2017
2018-04-08,0.2017,0.2124,0.1924,0.2064
2018-04-09,0.2064,0.24,0.2062,0.2142
2018-04-10,0.2141,0.2415,0.213,0.2384
2018-04-11,0.238,0.262,0.226,0.2531
2018-04-12,0.254,0.2675,0.2262,0.2652
2018-04-13,0.266,0.2859,0.2615,0.2685
