TIMESTAMP,HOG35532_OPEN_PRICE_USD,HOG35532_HIGH_PRICE_USD,HOG35532_LOW_PRICE_USD,HOG35532_CLOSE_PRICE_USD,HOG35532_VOLUME_USD,HOG35532_DIVIDENDS_USD,HOG35532_STOCK_SPLITS_USD
2025-03-17 00:00:00+00:00,5.700000110664405e-05,5.999999848427251e-05,5.6000000768108293e-05,5.999999848427251e-05,0,0.0,0.0
2025-03-18 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,5.400000009103678e-05,5.400000009103678e-05,1246,0.0,0.0
2025-03-19 00:00:00+00:00,5.400000009103678e-05,6.0999998822808266e-05,5.2999999752501026e-05,5.700000110664405e-05,0,0.0,0.0
2025-03-20 00:00:00+00:00,5.700000110664405e-05,5.8000001445179805e-05,5.400000009103678e-05,5.400000009103678e-05,0,0.0,0.0
2025-03-21 00:00:00+00:00,5.400000009103678e-05,5.700000110664405e-05,5.199999941396527e-05,5.199999941396527e-05,2112,0.0,0.0
2025-03-22 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.70000013592653e-05,4.8000001697801054e-05,1139,0.0,0.0
2025-03-23 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,4.8000001697801054e-05,4.8999998398358e-05,0,0.0,0.0
2025-03-24 00:00:00+00:00,4.8999998398358e-05,5.6000000768108293e-05,4.8999998398358e-05,5.6000000768108293e-05,1076,0.0,0.0
2025-03-25 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,5.0999999075429514e-05,5.2999999752501026e-05,0,0.0,0.0
2025-03-26 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.600000102072954e-05,4.8000001697801054e-05,0,0.0,0.0
2025-03-27 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,4.600000102072954e-05,4.70000013592653e-05,0,0.0,0.0
2025-03-28 00:00:00+00:00,4.70000013592653e-05,5.500000042957254e-05,4.5000000682193786e-05,5.500000042957254e-05,1787,0.0,0.0
2025-03-29 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,4.5000000682193786e-05,4.999999873689376e-05,0,0.0,0.0
2025-03-30 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.70000013592653e-05,4.70000013592653e-05,0,0.0,0.0
2025-03-31 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.70000013592653e-05,4.70000013592653e-05,0,0.0,0.0
2025-04-01 00:00:00+00:00,4.70000013592653e-05,4.999999873689376e-05,4.3000000005122274e-05,4.3000000005122274e-05,2240,0.0,0.0
2025-04-02 00:00:00+00:00,4.3000000005122274e-05,4.5000000682193786e-05,4.099999932805076e-05,4.099999932805076e-05,688,0.0,0.0
2025-04-03 00:00:00+00:00,4.099999932805076e-05,4.3000000005122274e-05,3.7999998312443495e-05,4.199999966658652e-05,1432,0.0,0.0
2025-04-04 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,3.899999865097925e-05,4.099999932805076e-05,0,0.0,0.0
2025-04-05 00:00:00+00:00,4.099999932805076e-05,4.3000000005122274e-05,3.7999998312443495e-05,4.099999932805076e-05,0,0.0,0.0
2025-04-06 00:00:00+00:00,4.099999932805076e-05,4.199999966658652e-05,3.899999865097925e-05,3.899999865097925e-05,0,0.0,0.0
2025-04-07 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.600000127335079e-05,3.7000001611886546e-05,0,0.0,0.0
