TIMESTAMP,BABYKEKIUS_OPEN_PRICE_USD,BABYKEKIUS_HIGH_PRICE_USD,BABYKEKIUS_LOW_PRICE_USD,BABYKEKIUS_CLOSE_PRICE_USD,BABYKEKIUS_VOLUME_USD,BABYKEKIUS_DIVIDENDS_USD,BABYKEKIUS_STOCK_SPLITS_USD
2025-02-25 00:00:00+00:00,,,,0.0,960,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,361,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,187,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,538,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,286,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,95,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,126,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,315,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,6694,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,42,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,3582,0.0,0.0
2025-05-06 00:00:00+00:00,,,,0.0,14838,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,12331,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,421,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,460,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,748,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,6508,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,4126,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,337,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,801,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,675,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,1090,0.0,0.0
2025-06-01 00:00:00+00:00,3.721449960258222e-13,3.721449960258222e-13,3.4440500581642275e-13,3.4662181978839524e-13,96,0.0,0.0
