,close,labels
0,36767.867508542426,36693.09
1,37150.46386035584,37568.68
2,37444.12414970104,39246.79
3,39412.69405646345,36829.0
4,37112.91334189053,35513.2
5,35219.03427124476,35796.31
6,35529.17187867471,33552.79
7,33194.13600444698,33380.81
8,33483.77204517145,37388.05
9,37037.42788236701,36675.72
10,37086.58350225628,37331.98
11,37034.15819443128,35546.11
12,35820.182839320725,39020.57
13,38469.23555677114,40516.29
14,40783.62001081881,40144.04
15,39542.119532093035,38349.01
16,38288.07476554133,38092.97
17,37945.031616909124,35819.84
18,36353.875735014844,35483.72
19,35358.953634205354,35600.16
20,35823.02414229383,31608.93
21,31604.246149954724,32509.56
22,32371.749651284557,33678.07
23,33698.20978208953,34663.09
24,34629.92858722802,31584.45
25,31551.27916859205,32283.65
26,31930.67484450542,34700.34
27,34776.76172806526,34494.89
28,34920.79726714677,35911.73
29,35896.98798856545,35045.0
30,35168.36412008988,33504.69
31,33178.180547720105,33786.55
32,34361.68987676964,34669.13
33,34531.89961974987,35286.51
34,35164.3253456852,33690.14
35,33323.52285021201,34220.01
36,34600.72104584714,33862.12
37,33794.59344737263,32875.71
38,33059.12738639773,33815.81
39,33792.028230070806,33502.87
40,33094.91483767784,34258.99
41,34629.21598343698,33086.63
42,33285.75580807166,32729.77
43,32785.31518213094,32820.02
44,32603.123104935356,31880.0
45,31781.90802055249,31383.87
46,31409.543446413776,31520.07
47,31402.572120105742,31778.56
48,31769.672118417082,30839.65
49,30885.454029425437,29790.35
50,29728.66354379019,32144.51
51,32240.47385126045,32287.83
52,32152.101606309407,33634.09
53,33784.88739450327,34258.14
54,34429.28704029322,35381.02
55,35465.414153124744,37237.6
56,37525.97379780708,39457.87
57,39457.167526288154,40019.56
58,40174.93147780428,40016.48
59,40052.034779551126,42206.37
60,42570.14553651272,41461.83
61,41645.37300047942,39845.44
62,39926.58245997316,39147.82
63,39277.233973731265,38207.05
64,38045.7170798406,39723.18
65,39714.72167616109,40862.46
66,41175.88903047554,42836.87
67,42913.356595719495,44572.54
68,44753.38873769717,43794.37
69,43945.78987289762,46253.4
70,46650.64221711279,45584.99
71,45442.98796461684,45511.0
72,45546.13963808396,44399.0
73,44269.99176604,47800.0
74,48012.141153109835,47068.51
75,47804.655905489024,46973.82
76,47409.14637804204,45901.29
77,46174.6101218435,44695.95
78,44683.788318529274,44705.29
79,44999.614602702284,46760.62
80,46529.132855218784,49322.47
81,48948.83891645666,48821.87
82,49140.735861768226,49239.22
83,49892.58135112977,49488.85
84,50220.67770830321,47674.01
85,47874.17145486542,48973.32
86,49058.45410389387,46843.87
87,46666.38084631988,49069.9
88,48708.44225283718,48895.35
89,49538.37855987945,48767.83
90,48890.310449199016,46982.91
91,47319.04323124125,47100.89
92,46858.51562424397,48810.52
93,49521.05430740823,49246.64
94,48993.3425627226,49999.14
95,50433.56762047512,49915.64
96,49888.57821472849,51756.88
97,52102.265077354714,52663.9
98,52939.668224025016,46863.73
99,46995.5684960753,46048.31
100,45888.918546632,46395.14
101,46570.276774754246,44850.91
102,44975.769745915495,45173.69
103,45426.60733944885,46025.24
104,45746.251482919615,44940.73
105,45244.04191564087,47111.52
106,47131.87434332328,48121.41
107,48663.59702178991,47737.82
108,47342.97347055575,47299.98
109,47408.15290918197,48292.74
110,48272.834844521894,47241.75
111,47338.8214224846,43015.62
112,43131.282417171344,40734.38
113,40871.25218544476,43543.61
114,43184.360463135556,44865.26
115,45245.189892182025,42810.57
116,43202.23426722507,42670.64
117,42540.33410844275,43160.9
118,42765.72361810232,42147.35
119,42385.66809907736,41026.54
120,41011.005436459534,41524.28
121,41105.3445740156,43824.1
122,43829.498066827524,48141.61
123,48729.237487688464,47634.9
124,47815.16853210826,48200.01
125,48403.37159475695,49224.94
126,49274.41289649635,51471.99
127,51435.03772646077,55315.0
128,54887.04414359944,53785.22
129,53915.24758139581,53951.43
130,54356.7497965671,54949.72
