TIMESTAMP,REKT_OPEN_PRICE_USD,REKT_HIGH_PRICE_USD,REKT_LOW_PRICE_USD,REKT_CLOSE_PRICE_USD,REKT_VOLUME_USD,REKT_DIVIDENDS_USD,REKT_STOCK_SPLITS_USD
2023-04-22 00:00:00+00:00,,,,0.0,13001623,0.0,0.0
2023-04-23 00:00:00+00:00,,,,0.0,20350320,0.0,0.0
2023-04-24 00:00:00+00:00,,,,0.0,12932412,0.0,0.0
2023-04-25 00:00:00+00:00,,,,0.0,7680826,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,5236113,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,6491506,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,4915152,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,14409265,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,20265068,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,19513286,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,17016819,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,11367392,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,7824626,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,8024033,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,7643241,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,7112176,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,3191500,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,2119567,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,2335637,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,2183272,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,2050732,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,1731063,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,1519759,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,1779133,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,1501000,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,1714464,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,1593948,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,1569058,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,1668236,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,1367232,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,888278,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,941981,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,996303,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,855922,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,813792,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,687426,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,876463,0.0,0.0
