,LTC
ETH,0.7852483525791784
DASH,0.7694511054495425
BTC,0.7595072343364153
ETC,0.7495824903665708
QTUM,0.738928932141651
XLM,0.7242562088400862
XRP,0.7229010223066106
MIOTA,0.7091074699782943
ZEC,0.7089744052127961
DGB,0.704111320630282
BAT,0.6959296664301352
XEM,0.6946619928146638
DOGE,0.6921071597623961
BTS,0.6559381880987089
XMR,0.639961343679106
ZEN,0.6386030036168353
LSK,0.6385409461859551
FIRO,0.6329654326361323
RLC,0.6325568849947591
SC,0.6301824141091428
STEEM,0.6207700075123134
DCR,0.6172582471185191
KMD,0.615703100350145
GNO,0.6156746508617237
ANT,0.6051368319227057
GAS,0.6021858064090485
PIVX,0.6009217856334187
WAVES,0.5998421263869613
SYS,0.582621690519365
ARK,0.5780706469133665
LUNC,0.5736404537964863
