TIMESTAMP,DGB_OPEN_PRICE_USDT,DGB_HIGH_PRICE_USDT,DGB_LOW_PRICE_USDT,DGB_CLOSE_PRICE_USDT,DGB_FIRST_TRADE_PRICE_USDT,DGB_HIGH_TRADE_PRICE_USDT,DGB_LOW_TRADE_PRICE_USDT,DGB_LAST_TRADE_PRICE_USDT,DGB_TOTAL_TRADE_COUNT,DGB_TOTAL_TRADES_BUY,DGB_TOTAL_TRADES_SELL,DGB_VOLUME_USDT,DGB_QUOTE_VOLUME,DGB_VOLUME_BUY,DGB_QUOTE_VOLUME_BUY,DGB_VOLUME_SELL,DGB_QUOTE_VOLUME_SELL
2020-07-20,0.0202,0.023,0.01956,0.02104,0.0202,0.023,0.01956,0.02104,1491,681,810,11154802.2,236189.109203,4944003.3,104640.419032,6210798.9,131548.690171
2020-07-21,0.02104,0.023,0.02032,0.02066,0.02103,0.023,0.02032,0.02066,2104,1110,994,11576620.0,241011.216579,4466747.6,93496.386342,7109872.4,147514.830237
2020-07-22,0.02066,0.02217,0.02063,0.02201,0.0207,0.02217,0.02063,0.02201,2555,1257,1298,16566125.6,353893.211128,6322827.4,135254.526998,10243298.2,218638.68413
2020-07-23,0.02201,0.027,0.02201,0.02497,0.02201,0.027,0.02201,0.02497,18331,8078,10253,124277833.1,3071854.81263,52317683.6,1299371.681099,71960149.5,1772483.131531
2020-07-24,0.02497,0.0265,0.0236,0.02422,0.02497,0.0265,0.0236,0.02422,9286,4837,4449,63882264.3,1603700.767413,26303687.7,663197.991364,37578576.6,940502.776049
2020-07-25,0.02422,0.0258,0.0236,0.02545,0.02431,0.0258,0.0236,0.02545,5497,2647,2850,44044047.1,1085835.5475,16168163.8,400689.798065,27875883.3,685145.749435
2020-07-26,0.02545,0.02598,0.0231,0.02415,0.02532,0.02598,0.0231,0.02415,4483,2193,2290,31546314.4,770540.678345,14554666.4,355858.30281,16991648.0,414682.375535
2020-07-27,0.02415,0.0272,0.02175,0.02343,0.02415,0.0272,0.02175,0.02343,11325,5697,5628,64416168.9,1544122.124755,25407095.0,615210.762419,39009073.9,928911.362336
2020-07-28,0.02343,0.02419,0.02245,0.02382,0.02343,0.02419,0.02245,0.02382,4062,1929,2133,23508454.8,546465.874398,9795343.5,228689.621905,13713111.3,317776.252493
2020-07-29,0.02382,0.02497,0.02307,0.02331,0.02382,0.02497,0.02307,0.02331,4867,2371,2496,27012405.0,644728.73217,12141523.8,288812.399631,14870881.2,355916.332539
2020-07-30,0.02331,0.02554,0.0232,0.0253,0.0234,0.02554,0.0232,0.0253,5627,2834,2793,32934188.7,797006.018514,13917283.6,339229.628424,19016905.1,457776.39009
2020-07-31,0.0253,0.02599,0.02407,0.0244,0.02521,0.02599,0.02407,0.0244,3541,1609,1932,19431463.4,479107.073056,7267826.7,180349.62663,12163636.7,298757.446426
2020-08-01,0.0244,0.02863,0.024,0.02726,0.0244,0.02863,0.024,0.02726,7138,3787,3351,40197980.3,1032282.073313,20108150.2,521998.554353,20089830.1,510283.51896
2020-08-02,0.02726,0.02726,0.0244,0.02515,0.02726,0.02726,0.0244,0.02515,5732,2563,3169,31425086.5,800005.185784,12077875.5,306964.523433,19347211.0,493040.662351
2020-08-03,0.02515,0.02727,0.02485,0.0263,0.02504,0.02727,0.02485,0.0263,6149,3134,3015,34777754.4,916042.773466,17345787.3,456793.224786,17431967.1,459249.54868
2020-08-04,0.0263,0.027,0.02533,0.02615,0.02647,0.027,0.02533,0.02615,4142,2038,2104,25190715.3,658396.43195,11352988.8,296851.437786,13837726.5,361544.994164
2020-08-05,0.02615,0.02654,0.02542,0.02614,0.02609,0.02654,0.02542,0.02614,3923,2196,1727,25695627.7,669146.074413,14238527.9,371648.16075,11457099.8,297497.913663
2020-08-06,0.02614,0.02762,0.02605,0.02758,0.02624,0.02762,0.02605,0.02758,4385,2472,1913,23311506.1,631396.533687,10842536.6,294411.063978,12468969.5,336985.469709
2020-08-07,0.02758,0.02846,0.026,0.02741,0.02758,0.02846,0.026,0.02741,4849,2389,2460,29484051.9,805841.76695,13383247.0,366654.59938,16100804.9,439187.16757
2020-08-08,0.02741,0.02914,0.02688,0.02887,0.02741,0.02914,0.02688,0.02887,4089,2267,1822,26830305.6,748503.897864,13459311.8,374734.909506,13370993.8,373768.988358
2020-08-09,0.02887,0.03033,0.0284,0.02937,0.02887,0.03033,0.0284,0.02937,6158,2929,3229,46222731.2,1353215.978611,21944954.5,643149.146901,24277776.7,710066.83171
2020-08-10,0.02937,0.0321,0.0281,0.03205,0.02936,0.0321,0.0281,0.03205,10166,5568,4598,63959637.0,1926958.391476,34128589.2,1035013.136363,29831047.8,891945.255113
2020-08-11,0.03205,0.0321,0.0284,0.03032,0.0321,0.0321,0.0284,0.03032,9576,5127,4449,65167173.6,1989516.249147,33908173.7,1037500.079433,31258999.9,952016.169714
2020-08-12,0.03032,0.03213,0.0291,0.03199,0.03049,0.03213,0.0291,0.03199,7401,3844,3557,47504048.9,1476921.30474,23409905.0,729415.194376,24094143.9,747506.110364
2020-08-13,0.03199,0.03225,0.02962,0.03135,0.03209,0.03225,0.02962,0.03135,5433,2759,2674,33655577.0,1037937.844029,14095505.3,435562.080909,19560071.7,602375.76312
2020-08-14,0.03135,0.03515,0.0305,0.03442,0.03135,0.03515,0.0305,0.03442,9242,5115,4127,56029245.6,1844191.581726,31769342.0,1049629.425542,24259903.6,794562.156184
2020-08-15,0.03442,0.03789,0.0322,0.03539,0.03441,0.03789,0.0322,0.03539,15607,7901,7706,86425986.6,3100544.763521,45747388.4,1642332.552023,40678598.2,1458212.211498
2020-08-16,0.03539,0.037,0.0328,0.03687,0.03539,0.037,0.0328,0.03687,7138,3760,3378,45452776.4,1572591.698743,22053285.3,764320.793164,23399491.1,808270.905579
2020-08-17,0.03687,0.03724,0.03367,0.03472,0.037,0.03724,0.03367,0.03472,6948,3299,3649,34418528.8,1202269.174079,14942140.1,522944.090415,19476388.7,679325.083664
2020-08-18,0.03472,0.03513,0.03232,0.03336,0.03478,0.03513,0.03232,0.03336,4912,2110,2802,28180126.2,953414.407999,10567496.7,358594.538092,17612629.5,594819.869907
2020-08-19,0.03336,0.03399,0.0305,0.03129,0.03334,0.03399,0.0305,0.03129,4454,1954,2500,31591185.4,1010034.283702,13511356.4,430186.317988,18079829.0,579847.965714
2020-08-20,0.03129,0.03332,0.03097,0.03212,0.03131,0.03332,0.03097,0.03212,4212,2298,1914,21966968.8,701895.670601,11140027.6,355813.732216,10826941.2,346081.938385
2020-08-21,0.03212,0.03263,0.02902,0.02965,0.03206,0.03263,0.02902,0.02965,5985,2991,2994,28346668.7,875082.138598,13346121.9,413504.111155,15000546.8,461578.027443
2020-08-22,0.02965,0.03048,0.0285,0.03011,0.02968,0.03048,0.0285,0.03011,3784,1697,2087,19390884.1,572783.776878,8091528.1,239265.468893,11299356.0,333518.307985
2020-08-23,0.03011,0.03041,0.02802,0.02863,0.03025,0.03041,0.02802,0.02863,2721,1230,1491,16157822.9,473074.179131,6612383.8,194064.95662,9545439.1,279009.222511
2020-08-24,0.02863,0.0315,0.02803,0.03077,0.02863,0.0315,0.02803,0.03077,5755,3187,2568,33210108.8,1007096.24706,17338689.8,527093.924881,15871419.0,480002.322179
2020-08-25,0.03077,0.03199,0.0275,0.02936,0.03089,0.03199,0.0275,0.02936,6872,3469,3403,40329108.8,1200090.563157,17326983.1,516221.883301,23002125.7,683868.679856
2020-08-26,0.02936,0.03055,0.02822,0.02864,0.02931,0.03055,0.02822,0.02864,4651,2453,2198,26262220.3,760301.24497,12348855.0,357592.954266,13913365.3,402708.290704
2020-08-27,0.02864,0.02871,0.02644,0.02705,0.02864,0.02871,0.02644,0.02705,4576,2213,2363,29893394.5,823752.941483,11991026.2,329561.160433,17902368.3,494191.78105
2020-08-28,0.02705,0.02848,0.02695,0.02736,0.02718,0.02848,0.02695,0.02736,2946,1637,1309,22048918.4,607016.625256,11867781.0,327205.476884,10181137.4,279811.148372
2020-08-29,0.02736,0.02782,0.027,0.02755,0.02736,0.02782,0.027,0.02755,2995,1552,1443,17166932.4,470064.586008,7689823.6,210771.075147,9477108.8,259293.510861
2020-08-30,0.02755,0.02765,0.02641,0.02661,0.02745,0.02765,0.02641,0.02661,4213,2078,2135,25522429.0,690024.516175,12150024.0,328773.108082,13372405.0,361251.408093
2020-08-31,0.02661,0.02744,0.02617,0.02697,0.02661,0.02744,0.02617,0.02697,4782,2340,2442,24847337.1,663573.802947,11596894.3,310489.599929,13250442.8,353084.203018
2020-09-01,0.02697,0.0272,0.02546,0.02609,0.02689,0.0272,0.02546,0.02609,5947,3099,2848,35617120.4,936365.490992,17502629.6,461635.180636,18114490.8,474730.310356
2020-09-02,0.02609,0.02617,0.02352,0.02511,0.02609,0.02617,0.02352,0.02511,5567,2722,2845,31169617.6,773276.768683,13950626.1,346915.037389,17218991.5,426361.731294
2020-09-03,0.02511,0.029,0.02079,0.02302,0.0251,0.029,0.02079,0.02302,16428,8364,8064,112669687.6,2835237.514496,53698870.2,1358205.874593,58970817.4,1477031.639903
2020-09-04,0.02302,0.028,0.02217,0.02434,0.023,0.028,0.02217,0.02434,16531,9094,7437,97006007.6,2425824.431203,50022911.7,1253977.248995,46983095.9,1171847.182208
2020-09-05,0.02434,0.02446,0.02055,0.0214,0.0243,0.02446,0.02055,0.0214,4944,2547,2397,26066139.5,587663.733929,11579828.9,260756.296828,14486310.6,326907.437101
2020-09-06,0.0214,0.02299,0.02079,0.02225,0.02127,0.02299,0.02079,0.02225,3251,1701,1550,18797949.9,412215.6904,10063114.4,220354.620501,8734835.5,191861.069899
2020-09-07,0.02225,0.02247,0.0202,0.0216,0.02224,0.02247,0.0202,0.0216,3909,2029,1880,28215080.2,599555.167757,14954772.9,317039.937461,13260307.3,282515.230296
2020-09-08,0.0216,0.0232,0.02063,0.02166,0.02162,0.0232,0.02063,0.02166,2733,1475,1258,15159269.7,325291.217315,8004004.8,172395.398436,7155264.9,152895.818879
2020-09-09,0.02166,0.02228,0.02091,0.02163,0.02161,0.02228,0.02091,0.02163,2218,1177,1041,14915687.8,322496.964554,8249112.2,178905.781761,6666575.6,143591.182793
2020-09-10,0.02163,0.02341,0.02163,0.02271,0.02163,0.02341,0.02163,0.02271,3574,1850,1724,21729882.4,490506.976729,10917603.1,247032.647098,10812279.3,243474.329631
2020-09-11,0.02271,0.02282,0.02166,0.02264,0.02271,0.02282,0.02166,0.02264,2131,1039,1092,12625982.6,279695.532473,6080540.1,134825.891829,6545442.5,144869.640644
2020-09-12,0.02264,0.0231,0.022,0.02271,0.02263,0.0231,0.022,0.02271,2671,1365,1306,18474020.7,417102.002528,8925764.9,202401.598792,9548255.8,214700.403736
2020-09-13,0.02271,0.02292,0.02099,0.02129,0.02271,0.02292,0.02099,0.02129,2568,1191,1377,18960567.6,416092.509967,9098932.9,200039.371369,9861634.7,216053.138598
2020-09-14,0.02129,0.0227,0.02115,0.02169,0.02123,0.0227,0.02115,0.02169,2823,1498,1325,16863873.7,366359.159141,8151071.5,177136.809469,8712802.2,189222.349672
