TIMESTAMP,ZKB_OPEN_PRICE_USD,ZKB_HIGH_PRICE_USD,ZKB_LOW_PRICE_USD,ZKB_CLOSE_PRICE_USD,ZKB_VOLUME_USD,ZKB_DIVIDENDS_USD,ZKB_STOCK_SPLITS_USD
2023-02-01 00:00:00+00:00,0.0007980000227689743,0.000813000020571053,0.0006189999985508621,0.0006670000148005784,88377,0.0,0.0
2023-02-02 00:00:00+00:00,0.0006670000148005784,0.0012120000319555402,0.0005549999768845737,0.0006220000213943422,148886,0.0,0.0
2023-02-03 00:00:00+00:00,0.0006230000290088356,0.0007949999999254942,0.00045900000259280205,0.00046099998871795833,41581,0.0,0.0
2023-02-04 00:00:00+00:00,0.00045900000259280205,0.00047400000039488077,0.00044100001105107367,0.0004459999909158796,8784,0.0,0.0
2023-02-05 00:00:00+00:00,0.0004450000124052167,0.00045399999362416565,0.0003769999893847853,0.00037799999699927866,2664,0.0,0.0
2023-02-06 00:00:00+00:00,0.00037900000461377203,0.0003809999907389283,9.600000339560211e-05,0.00010299999848939478,19992,0.0,0.0
2023-02-07 00:00:00+00:00,0.00010299999848939478,0.00010699999984353781,0.00010199999815085903,0.00010399999882793054,278,0.0,0.0
2023-02-08 00:00:00+00:00,0.00010399999882793054,0.00012399999832268804,0.00010199999815085903,0.00011200000153621659,5219,0.0,0.0
2023-02-09 00:00:00+00:00,0.00011200000153621659,0.00011300000187475234,0.0001049999991664663,0.00010699999984353781,447,0.0,0.0
2023-02-10 00:00:00+00:00,0.00010800000018207356,0.00030300000798888505,0.00010399999882793054,0.0002840000088326633,52197,0.0,0.0
2023-02-11 00:00:00+00:00,0.0002840000088326633,0.0002840000088326633,2.9999999242136255e-05,3.099999958067201e-05,63416,0.0,0.0
2023-02-12 00:00:00+00:00,3.099999958067201e-05,4.3000000005122274e-05,1.9999999949504854e-06,4.999999873689376e-06,21528,0.0,0.0
2023-02-13 00:00:00+00:00,4.999999873689376e-06,3.5000000934815034e-05,3.999999989900971e-06,1.5999999959603883e-05,42203,0.0,0.0
2023-02-14 00:00:00+00:00,1.5999999959603883e-05,2.9999999242136255e-05,1.4999999621068127e-05,2.300000051036477e-05,17276,0.0,0.0
2023-02-15 00:00:00+00:00,2.300000051036477e-05,4.099999932805076e-05,2.099999983329326e-05,3.300000025774352e-05,24980,0.0,0.0
2023-02-16 00:00:00+00:00,3.300000025774352e-05,3.300000025774352e-05,1.4000000192027073e-05,1.8999999156221747e-05,21033,0.0,0.0
2023-02-17 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8999999156221747e-05,1152,0.0,0.0
2023-02-18 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.1000000085914508e-05,1.2999999853491317e-05,13970,0.0,0.0
2023-02-19 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05,1399,0.0,0.0
2023-02-20 00:00:00+00:00,1.2000000424450263e-05,1.8000000636675395e-05,1.2000000424450263e-05,1.2000000424450263e-05,8845,0.0,0.0
2023-02-21 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,83,0.0,0.0
2023-02-22 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,113,0.0,0.0
2023-02-23 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2000000424450263e-05,3356,0.0,0.0
2023-02-24 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,0.0,9.999999974752427e-07,28944,0.0,0.0
2023-02-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4177,0.0,0.0
2023-02-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,5118,0.0,0.0
2023-02-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1369,0.0,0.0
2023-02-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,9664,0.0,0.0
2023-03-01 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,3810,0.0,0.0
2023-03-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,456,0.0,0.0
2023-03-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,471,0.0,0.0
2023-03-04 00:00:00+00:00,9.999999974752427e-07,3.999999989900971e-06,0.0,9.999999974752427e-07,16513,0.0,0.0
2023-03-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2356,0.0,0.0
2023-03-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,932,0.0,0.0
2023-03-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,371,0.0,0.0
2023-03-08 00:00:00+00:00,,,,0.0,2775,0.0,0.0
2023-03-09 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,1212,0.0,0.0
2023-03-10 00:00:00+00:00,,,,0.0,289,0.0,0.0
2023-03-11 00:00:00+00:00,,,,0.0,119,0.0,0.0
2023-03-12 00:00:00+00:00,,,,0.0,90,0.0,0.0
2023-03-13 00:00:00+00:00,,,,0.0,306,0.0,0.0
2023-03-14 00:00:00+00:00,,,,0.0,372,0.0,0.0
2023-03-15 00:00:00+00:00,,,,0.0,200,0.0,0.0
2023-03-16 00:00:00+00:00,,,,0.0,246,0.0,0.0
2023-03-17 00:00:00+00:00,,,,0.0,95,0.0,0.0
2023-03-18 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,2294,0.0,0.0
2023-03-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,283,0.0,0.0
2023-03-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1556,0.0,0.0
