,BTC,Lag
USDT,1.0217393981372963e-27,6
MONA,0.0002787969296138,2
DOGE,0.0005796927972604,30
ETH,0.0014545334855419,20
SC,0.0021259245749725,30
MAID,0.0040325830353281,26
RLC,0.0047025601490153,28
XRP,0.0065559337819218,30
ETC,0.016022231578612,17
ANT,0.0171057724234468,1
GNO,0.0176963354733801,2
CON,0.0216962282417329,22
DGB,0.023440825756702,29
XWC,0.0449131932235841,30
STEEM,0.0532759517443646,28
KMD,0.0601191906215185,7
XEM,0.0717494664417913,9
QTUM,0.0971708589173393,11
ZEN,0.1048186265554707,2
DCR,0.1443808170296409,3
SYS,0.1599129845728096,1
LSK,0.316488829121189,1
BTS,0.3379565742006193,30
FIRO,0.4417412999440906,2
VERI,0.7741589867493209,30
ARK,0.781050487015037,7
