TIMESTAMP,LUBE_OPEN_PRICE_USD,LUBE_HIGH_PRICE_USD,LUBE_LOW_PRICE_USD,LUBE_CLOSE_PRICE_USD,LUBE_VOLUME_USD,LUBE_DIVIDENDS_USD,LUBE_STOCK_SPLITS_USD
2024-04-25 00:00:00+00:00,9.7999996796716e-05,9.899999713525176e-05,9.600000339560211e-05,9.899999713525176e-05,2854,0.0,0.0
2024-04-26 00:00:00+00:00,9.899999713525176e-05,9.899999713525176e-05,9.300000237999484e-05,9.500000305706635e-05,4816,0.0,0.0
2024-04-27 00:00:00+00:00,9.40000027185306e-05,0.00014899999951012433,9.40000027185306e-05,0.00010199999815085903,10647,0.0,0.0
2024-04-28 00:00:00+00:00,0.00010199999815085903,0.00010800000018207356,0.00010199999815085903,0.0001049999991664663,4515,0.0,0.0
2024-04-29 00:00:00+00:00,0.0001049999991664663,0.0001049999991664663,9.899999713525176e-05,9.999999747378752e-05,3581,0.0,0.0
2024-04-30 00:00:00+00:00,9.999999747378752e-05,0.00010099999781232327,9.40000027185306e-05,9.600000339560211e-05,1288,0.0,0.0
2024-05-01 00:00:00+00:00,9.600000339560211e-05,9.699999645818025e-05,9.200000204145908e-05,9.600000339560211e-05,1464,0.0,0.0
2024-05-02 00:00:00+00:00,9.600000339560211e-05,9.7999996796716e-05,9.600000339560211e-05,9.7999996796716e-05,1216,0.0,0.0
2024-05-03 00:00:00+00:00,9.699999645818025e-05,0.00010299999848939478,9.699999645818025e-05,0.00010299999848939478,1277,0.0,0.0
2024-05-04 00:00:00+00:00,0.00010299999848939478,0.00010299999848939478,0.00010099999781232327,0.00010099999781232327,1043,0.0,0.0
2024-05-05 00:00:00+00:00,0.00010099999781232327,0.00010099999781232327,9.899999713525176e-05,0.00010099999781232327,401,0.0,0.0
2024-05-06 00:00:00+00:00,9.7999996796716e-05,9.999999747378752e-05,9.500000305706635e-05,9.500000305706635e-05,1531,0.0,0.0
2024-05-07 00:00:00+00:00,9.500000305706635e-05,9.899999713525176e-05,9.40000027185306e-05,9.699999645818025e-05,2387,0.0,0.0
2024-05-08 00:00:00+00:00,9.500000305706635e-05,9.500000305706635e-05,9.100000170292333e-05,9.100000170292333e-05,3146,0.0,0.0
2024-05-09 00:00:00+00:00,9.100000170292333e-05,9.300000237999484e-05,9.000000136438757e-05,9.200000204145908e-05,6419,0.0,0.0
2024-05-10 00:00:00+00:00,9.200000204145908e-05,9.40000027185306e-05,8.600000001024455e-05,8.70000003487803e-05,11233,0.0,0.0
2024-05-11 00:00:00+00:00,8.70000003487803e-05,8.900000102585182e-05,8.70000003487803e-05,8.900000102585182e-05,10594,0.0,0.0
2024-05-12 00:00:00+00:00,8.800000068731606e-05,8.800000068731606e-05,8.600000001024455e-05,8.70000003487803e-05,5086,0.0,0.0
2024-05-13 00:00:00+00:00,8.70000003487803e-05,8.70000003487803e-05,8.399999933317304e-05,8.499999967170879e-05,4224,0.0,0.0
2024-05-14 00:00:00+00:00,8.499999967170879e-05,8.600000001024455e-05,8.299999899463728e-05,8.299999899463728e-05,6007,0.0,0.0
2024-05-15 00:00:00+00:00,8.299999899463728e-05,8.499999967170879e-05,8.099999831756577e-05,8.199999865610152e-05,8064,0.0,0.0
2024-05-16 00:00:00+00:00,8.199999865610152e-05,8.399999933317304e-05,5.2999999752501026e-05,5.400000009103678e-05,12999,0.0,0.0
2024-05-17 00:00:00+00:00,5.400000009103678e-05,6.500000017695129e-05,5.400000009103678e-05,6.500000017695129e-05,3819,0.0,0.0
2024-05-18 00:00:00+00:00,6.500000017695129e-05,6.900000153109431e-05,6.500000017695129e-05,6.70000008540228e-05,3601,0.0,0.0
2024-05-19 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,6.399999983841553e-05,6.600000051548705e-05,4757,0.0,0.0
2024-05-20 00:00:00+00:00,6.600000051548705e-05,7.599999662488699e-05,6.299999949987978e-05,7.599999662488699e-05,10006,0.0,0.0
2024-05-21 00:00:00+00:00,7.599999662488699e-05,7.999999797903001e-05,7.599999662488699e-05,7.899999764049426e-05,10106,0.0,0.0
2024-05-22 00:00:00+00:00,7.899999764049426e-05,8.099999831756577e-05,7.500000356230885e-05,7.599999662488699e-05,9117,0.0,0.0
2024-05-23 00:00:00+00:00,7.599999662488699e-05,8.199999865610152e-05,7.500000356230885e-05,8.099999831756577e-05,10972,0.0,0.0
2024-05-24 00:00:00+00:00,8.199999865610152e-05,8.499999967170879e-05,7.599999662488699e-05,7.999999797903001e-05,8897,0.0,0.0
2024-05-25 00:00:00+00:00,7.999999797903001e-05,8.099999831756577e-05,7.500000356230885e-05,7.500000356230885e-05,6626,0.0,0.0
2024-05-26 00:00:00+00:00,7.500000356230885e-05,7.599999662488699e-05,7.400000322377309e-05,7.500000356230885e-05,5166,0.0,0.0
2024-05-27 00:00:00+00:00,7.400000322377309e-05,7.599999662488699e-05,7.100000220816582e-05,7.200000254670158e-05,2459,0.0,0.0
2024-05-28 00:00:00+00:00,7.100000220816582e-05,7.200000254670158e-05,6.500000017695129e-05,6.600000051548705e-05,13226,0.0,0.0
2024-05-29 00:00:00+00:00,6.800000119255856e-05,6.900000153109431e-05,6.600000051548705e-05,6.70000008540228e-05,9272,0.0,0.0
