,params_Conv_input_activation,params_Dense_activation_l1,params_Dense_activation_l2,params_Dense_activation_l3,params_Dense_dim_l1,params_Dense_dim_l2,params_Dense_dim_l3,params_MSR_Block_Conv1d_out_channels,params_MSR_Block_Conv2d_out_channels,params_MSR_Block_activation,params_MSR_Block_cross_channel_fusion,params_MSR_Block_scales,params_MSR_Conv1d_activation,params_RNN_activation,params_RNN_dim_l1,params_RNN_dim_l2,params_RNN_dim_l3,params_RNN_n_layers,params_TRAIN_batch_size,params_TRAIN_learning_rate,params_TRAIN_momentum,params_TRAIN_n_epochs,params_TRAIN_optimizer,params_TRAIN_weight_decay,user_attrs_mean_train_mae,user_attrs_mean_train_mse,user_attrs_mean_val_mae,user_attrs_mean_val_mse,user_attrs_median_train_mae,user_attrs_median_train_mse,user_attrs_median_val_mae,user_attrs_median_val_mse,Mean_Train_MSE,Median_Train_MSE,Mean_Train_MAE,Median_Train_MAE,Mean_Val_MSE,Median_Val_MSE,Mean_Val_MAE,Median_Val_MAE
0,elu,selu,elu,sigmoid,16,80,208,36,120,sigmoid,True,"[1, 2, 3, 4, 5, 6, 7]",leaky_relu,relu,96,384,320,3,128,0.00011632926305245074,0.8478292807335038,90,Adam,1e-05,0.034279187362414344,0.0036498807079846443,0.1672286308624322,0.06003573111397407,0.03679044232599395,0.003902640817171337,0.18220501530538735,0.07302642739836038,0.0036498807079846443,0.003902640817171337,0.034279187362414344,0.03679044232599395,0.06003573111397407,0.07302642739836038,0.1672286308624322,0.18220501530538735
1,selu,elu,gelu,sigmoid,192,208,64,52,52,relu,True,"[2, 4, 6, 8, 10, 12, 14]",sigmoid,tanh,80,336,208,1,256,0.00020159486353278183,0.9097244631112406,44,Adagrad,1e-05,0.03385007720132984,0.0036284663324387093,0.16727745179936762,0.06005186281327244,0.03676588456172934,0.003900283934739503,0.18227213289575195,0.07295472183340537,0.0036284663324387093,0.003900283934739503,0.03385007720132984,0.03676588456172934,0.06005186281327244,0.07295472183340537,0.16727745179936762,0.18227213289575195
