TIMESTAMP,NEIROINU_OPEN_PRICE_USD,NEIROINU_HIGH_PRICE_USD,NEIROINU_LOW_PRICE_USD,NEIROINU_CLOSE_PRICE_USD,NEIROINU_VOLUME_USD,NEIROINU_DIVIDENDS_USD,NEIROINU_STOCK_SPLITS_USD
2024-10-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,91002,0.0,0.0
2024-10-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,300281,0.0,0.0
2024-10-23 00:00:00+00:00,,,,0.0,125877,0.0,0.0
2024-10-24 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,50638,0.0,0.0
2024-10-25 00:00:00+00:00,,,,0.0,32930,0.0,0.0
2024-10-26 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,18377,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,12975,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,82711,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,136315,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,137240,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,72707,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,131390,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,142274,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,141110,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,138460,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,137682,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,140348,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,123299,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,126901,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,134978,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,133858,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,137651,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,129146,0.0,0.0
2024-11-13 00:00:00+00:00,,,,0.0,135580,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,134367,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,129746,0.0,0.0
2024-11-16 00:00:00+00:00,,,,0.0,132654,0.0,0.0
2024-11-17 00:00:00+00:00,,,,0.0,135097,0.0,0.0
2024-11-18 00:00:00+00:00,,,,0.0,132839,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,136956,0.0,0.0
2024-11-20 00:00:00+00:00,,,,0.0,134205,0.0,0.0
2024-11-21 00:00:00+00:00,,,,0.0,135650,0.0,0.0
2024-11-22 00:00:00+00:00,,,,0.0,133965,0.0,0.0
2024-11-23 00:00:00+00:00,,,,0.0,140505,0.0,0.0
2024-11-24 00:00:00+00:00,,,,0.0,130439,0.0,0.0
2024-11-25 00:00:00+00:00,,,,0.0,133624,0.0,0.0
2024-11-26 00:00:00+00:00,,,,0.0,129379,0.0,0.0
2024-11-27 00:00:00+00:00,,,,0.0,137635,0.0,0.0
2024-11-28 00:00:00+00:00,,,,0.0,119004,0.0,0.0
2024-11-29 00:00:00+00:00,,,,0.0,134173,0.0,0.0
2024-11-30 00:00:00+00:00,,,,0.0,144952,0.0,0.0
2024-12-01 00:00:00+00:00,,,,0.0,133274,0.0,0.0
2024-12-02 00:00:00+00:00,,,,0.0,133272,0.0,0.0
2024-12-03 00:00:00+00:00,,,,0.0,133011,0.0,0.0
2024-12-04 00:00:00+00:00,,,,0.0,130953,0.0,0.0
2024-12-05 00:00:00+00:00,,,,0.0,129650,0.0,0.0
2024-12-06 00:00:00+00:00,,,,0.0,131482,0.0,0.0
2024-12-07 00:00:00+00:00,,,,0.0,129074,0.0,0.0
2024-12-08 00:00:00+00:00,,,,0.0,136252,0.0,0.0
2024-12-09 00:00:00+00:00,,,,0.0,129543,0.0,0.0
2024-12-10 00:00:00+00:00,,,,0.0,127465,0.0,0.0
2024-12-11 00:00:00+00:00,,,,0.0,148676,0.0,0.0
2024-12-12 00:00:00+00:00,,,,0.0,141156,0.0,0.0
2024-12-13 00:00:00+00:00,,,,0.0,135223,0.0,0.0
2024-12-14 00:00:00+00:00,,,,0.0,149725,0.0,0.0
2024-12-15 00:00:00+00:00,,,,0.0,150004,0.0,0.0
2024-12-16 00:00:00+00:00,,,,0.0,142136,0.0,0.0
2024-12-17 00:00:00+00:00,,,,0.0,135922,0.0,0.0
2024-12-18 00:00:00+00:00,,,,0.0,138905,0.0,0.0
2024-12-19 00:00:00+00:00,,,,0.0,140483,0.0,0.0
2024-12-20 00:00:00+00:00,,,,0.0,128143,0.0,0.0
2024-12-21 00:00:00+00:00,,,,0.0,129274,0.0,0.0
2024-12-22 00:00:00+00:00,,,,0.0,129311,0.0,0.0
2024-12-23 00:00:00+00:00,,,,0.0,147064,0.0,0.0
2024-12-24 00:00:00+00:00,,,,0.0,144076,0.0,0.0
2024-12-25 00:00:00+00:00,,,,0.0,146695,0.0,0.0
2024-12-26 00:00:00+00:00,,,,0.0,143781,0.0,0.0
2024-12-27 00:00:00+00:00,,,,0.0,151802,0.0,0.0
2024-12-28 00:00:00+00:00,,,,0.0,100160,0.0,0.0
2024-12-29 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-12-30 00:00:00+00:00,,,,0.0,113386,0.0,0.0
2024-12-31 00:00:00+00:00,,,,0.0,131231,0.0,0.0
2025-01-01 00:00:00+00:00,,,,0.0,129956,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,130046,0.0,0.0
2025-01-03 00:00:00+00:00,,,,0.0,137606,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,133096,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,136500,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,136149,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,140436,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,122475,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,133097,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,125960,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,126002,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,140805,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,130572,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,126752,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,132791,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,135132,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,122138,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,132819,0.0,0.0
