,XRP,Lag
DOGE,2.3702762561244593e-14,26
SC,0.0014361831148828,12
ETH,0.0069185197338187,2
QTUM,0.0078841978888453,19
XLM,0.0096996080123223,30
BTC,0.0141595215452146,2
LTC,0.0222485353896085,6
ETC,0.0230767649215954,5
XEM,0.0242604211755311,26
BTS,0.0274520995600448,2
DGB,0.0298724976370242,12
RLC,0.0348261999749237,19
MIOTA,0.0378927272393482,1
DASH,0.0417762964309136,10
ZEC,0.0564243641473047,1
BAT,0.0571884328926311,6
XMR,0.0611796161687114,4
ZEN,0.0845753935147718,29
LSK,0.1038365164462329,9
PIVX,0.1276655143944763,30
ARK,0.1473561297045147,17
WAVES,0.1698071535168182,4
DCR,0.216406933673945,7
STEEM,0.2291483956473211,2
GNO,0.24821119916857,2
ANT,0.3129578113209064,27
GAS,0.3294255046478243,2
FIRO,0.3534870943446628,1
KMD,0.362892111380346,1
SYS,0.3921428568110909,15
LUNC,0.5711628449358996,5
