,LTC
ETH,0.7475203926836737
BTC,0.697979592925699
DASH,0.6663188783126242
ETC,0.6533699225141446
ZEC,0.6509302028397201
GNO,0.6111426615813831
XMR,0.6071004858317371
QTUM,0.5869491047524062
IOTA,0.5717980170477278
BAT,0.5582233894308395
XRP,0.5523645179646389
XLM,0.5336616282158856
DCR,0.5295916466554645
DOGE,0.3915228359229384
USDT,-0.0210058251627841
