TIMESTAMP,SHIN31666_OPEN_PRICE_USD,SHIN31666_HIGH_PRICE_USD,SHIN31666_LOW_PRICE_USD,SHIN31666_CLOSE_PRICE_USD,SHIN31666_VOLUME_USD,SHIN31666_DIVIDENDS_USD,SHIN31666_STOCK_SPLITS_USD
2024-06-06 00:00:00+00:00,,,,0.0,19906711,0.0,0.0
2024-06-07 00:00:00+00:00,,,,0.0,3683869,0.0,0.0
2024-06-08 00:00:00+00:00,,,,0.0,1257845,0.0,0.0
2024-06-09 00:00:00+00:00,,,,0.0,2763168,0.0,0.0
2024-06-10 00:00:00+00:00,,,,0.0,815343,0.0,0.0
2024-06-11 00:00:00+00:00,,,,0.0,481162,0.0,0.0
2024-06-12 00:00:00+00:00,,,,0.0,280569,0.0,0.0
2024-06-13 00:00:00+00:00,,,,0.0,156025,0.0,0.0
2024-06-14 00:00:00+00:00,,,,0.0,224745,0.0,0.0
2024-06-15 00:00:00+00:00,,,,0.0,71923,0.0,0.0
2024-06-16 00:00:00+00:00,,,,0.0,220867,0.0,0.0
2024-06-17 00:00:00+00:00,,,,0.0,140029,0.0,0.0
2024-06-18 00:00:00+00:00,,,,0.0,42026,0.0,0.0
2024-06-19 00:00:00+00:00,,,,0.0,42294,0.0,0.0
2024-06-20 00:00:00+00:00,,,,0.0,38315,0.0,0.0
2024-06-21 00:00:00+00:00,,,,0.0,14950,0.0,0.0
2024-06-22 00:00:00+00:00,,,,0.0,9156,0.0,0.0
2024-06-23 00:00:00+00:00,,,,0.0,11279,0.0,0.0
2024-06-24 00:00:00+00:00,,,,0.0,5760,0.0,0.0
2024-06-25 00:00:00+00:00,,,,0.0,11725,0.0,0.0
2024-06-26 00:00:00+00:00,,,,0.0,9431,0.0,0.0
2024-06-27 00:00:00+00:00,,,,0.0,1665,0.0,0.0
2024-06-28 00:00:00+00:00,,,,0.0,23335,0.0,0.0
2024-06-29 00:00:00+00:00,,,,0.0,171801,0.0,0.0
2024-06-30 00:00:00+00:00,,,,0.0,521600,0.0,0.0
2024-07-01 00:00:00+00:00,,,,0.0,148946,0.0,0.0
2024-07-02 00:00:00+00:00,,,,0.0,58398,0.0,0.0
2024-07-03 00:00:00+00:00,,,,0.0,21482,0.0,0.0
2024-07-04 00:00:00+00:00,,,,0.0,22875,0.0,0.0
2024-07-05 00:00:00+00:00,,,,0.0,33273,0.0,0.0
2024-07-06 00:00:00+00:00,,,,0.0,6167,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,4272,0.0,0.0
2024-07-08 00:00:00+00:00,,,,0.0,27971,0.0,0.0
2024-07-09 00:00:00+00:00,,,,0.0,36746,0.0,0.0
2024-07-10 00:00:00+00:00,,,,0.0,86997,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,21684,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,22276,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,9568,0.0,0.0
2024-07-14 00:00:00+00:00,,,,0.0,21025,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,3615,0.0,0.0
2024-07-16 00:00:00+00:00,,,,0.0,3995,0.0,0.0
2024-07-17 00:00:00+00:00,,,,0.0,5311,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,3895,0.0,0.0
2024-07-19 00:00:00+00:00,,,,0.0,4850,0.0,0.0
2024-07-20 00:00:00+00:00,,,,0.0,3221,0.0,0.0
2024-07-21 00:00:00+00:00,,,,0.0,1567,0.0,0.0
2024-07-22 00:00:00+00:00,,,,0.0,2791,0.0,0.0
2024-07-23 00:00:00+00:00,,,,0.0,2015,0.0,0.0
2024-07-24 00:00:00+00:00,,,,0.0,8185,0.0,0.0
2024-07-25 00:00:00+00:00,,,,0.0,961,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,15203,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,7440,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,3514,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,5368,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,12755,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,2044,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,6788,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,586,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,873,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,955,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,3415,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,3136,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,2450,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,1537,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,338,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,730,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,1401,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,3462,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,564,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,467,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,310,0.0,0.0
2024-08-16 00:00:00+00:00,,,,0.0,169,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,2278,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,1669,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,2162,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,916,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,481,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,1384,0.0,0.0
2024-08-23 00:00:00+00:00,,,,0.0,427,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,5570,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,36062,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,1559,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,16926,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,3497,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,1564,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,250,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,2388,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,1213,0.0,0.0
2024-09-02 00:00:00+00:00,,,,0.0,1571,0.0,0.0
2024-09-03 00:00:00+00:00,,,,0.0,1699,0.0,0.0
2024-09-04 00:00:00+00:00,,,,0.0,59,0.0,0.0
2024-09-05 00:00:00+00:00,,,,0.0,62,0.0,0.0
2024-09-06 00:00:00+00:00,,,,0.0,338,0.0,0.0
2024-09-07 00:00:00+00:00,,,,0.0,712,0.0,0.0
2024-09-08 00:00:00+00:00,,,,0.0,3565,0.0,0.0
2024-09-09 00:00:00+00:00,,,,0.0,978,0.0,0.0
2024-09-10 00:00:00+00:00,,,,0.0,200,0.0,0.0
2024-09-11 00:00:00+00:00,,,,0.0,244,0.0,0.0
2024-09-12 00:00:00+00:00,,,,0.0,69,0.0,0.0
