TIMESTAMP,ETH_OPEN_PRICE_USD,ETH_HIGH_PRICE_USD,ETH_LOW_PRICE_USD,ETH_CLOSE_PRICE_USD,XRP_OPEN_PRICE_USD,XRP_HIGH_PRICE_USD,XRP_LOW_PRICE_USD,XRP_CLOSE_PRICE_USD,ZEC_OPEN_PRICE_USD,ZEC_HIGH_PRICE_USD,ZEC_LOW_PRICE_USD,ZEC_CLOSE_PRICE_USD,LTC_OPEN_PRICE_USD,LTC_HIGH_PRICE_USD,LTC_LOW_PRICE_USD,LTC_CLOSE_PRICE_USD,XLM_OPEN_PRICE_USD,XLM_HIGH_PRICE_USD,XLM_LOW_PRICE_USD,XLM_CLOSE_PRICE_USD,XMR_OPEN_PRICE_USD,XMR_HIGH_PRICE_USD,XMR_LOW_PRICE_USD,XMR_CLOSE_PRICE_USD,DASH_OPEN_PRICE_USD,DASH_HIGH_PRICE_USD,DASH_LOW_PRICE_USD,DASH_CLOSE_PRICE_USD
2017-06-01,218.34,227.32,196.0,211.4,0.2475,0.34,0.2456,0.3364,220.38,254.9,216.0,240.0,25.88,29.94,25.87,27.74,0.03322,0.043,0.03242,0.04101,40.27,44.22,40.12,42.12,131.15,144.19,125.0,131.12
2017-06-02,211.4,219.21,208.23,214.77,0.3364,0.3372,0.2759,0.2959,240.0,247.8,230.0,232.7,27.74,28.95,26.56,27.9,0.04101,0.042,0.03653,0.0391,42.12,43.11,41.22,42.59,131.12,141.97,130.01,141.93
2017-06-03,214.77,217.99,210.01,217.01,0.2959,0.307,0.2711,0.2921,232.7,235.0,216.04,220.0,27.9,28.3,26.79,27.4,0.0391,0.0397,0.0351,0.03729,42.59,43.26,41.0,41.0,141.93,145.0,138.0,140.17
2017-06-04,217.01,245.98,216.1,241.06,0.2921,0.31,0.271,0.2941,220.0,220.0,220.0,220.0,27.4,27.9,26.79,27.79,0.03729,0.03729,0.03729,0.03729,41.0,41.0,41.0,41.0,140.17,142.38,136.0,142.37
2017-06-05,241.06,244.29,231.72,242.16,0.2941,0.2979,0.2869,0.2888,233.88,265.35,230.0,240.32,27.79,31.8,27.78,30.7,0.03913,0.04208,0.03875,0.04055,42.37,48.06,42.33,47.99,142.37,144.88,137.92,142.13
2017-06-06,242.16,264.99,238.23,261.89,0.2888,0.295,0.274,0.284,240.32,264.5,231.97,256.0,30.7,31.33,28.08,30.1,0.04055,0.0455,0.03763,0.0446,47.99,55.65,45.45,55.6,142.13,146.6,129.0,144.69
2017-06-07,261.89,263.7,241.01,250.7,0.284,0.3,0.2717,0.2762,256.0,335.34,254.0,260.43,30.1,30.8,27.65,28.6,0.0446,0.0545,0.0437,0.0466,55.6,63.2,51.27,52.0,144.69,152.6,133.44,137.22
2017-06-08,250.7,258.93,242.04,256.95,0.2762,0.2973,0.27,0.2869,260.43,285.63,251.58,270.61,28.6,30.85,27.99,30.08,0.0466,0.05646,0.04475,0.05011,52.0,56.2,49.55,56.2,137.22,144.99,135.22,144.05
2017-06-09,256.95,279.9,256.95,278.41,0.2869,0.296,0.28,0.2814,270.61,280.5,268.11,280.21,30.08,30.9,29.5,29.56,0.05011,0.052,0.04614,0.0474,56.2,57.17,54.8,55.37,144.05,149.75,143.35,148.61
2017-06-10,278.41,341.94,278.26,325.88,0.2814,0.2848,0.2555,0.2598,280.21,321.0,280.0,316.5,29.56,30.25,29.0,30.13,0.0474,0.0479,0.0405,0.04196,55.37,56.4,50.9,51.03,148.61,151.92,141.29,146.8
