TIMESTAMP,GBYTE_CLOSE_PRICE_USD,GBYTE_OPEN_PRICE_USD,GBYTE_HIGH_PRICE_USD,GBYTE_LOW_PRICE_USD
2018-02-02,548.784,524.911,563.979,449.241
2018-02-03,662.463,549.288,662.463,507.849
2018-02-04,504.493,660.981,675.103,468.012
2018-02-05,413.984,504.079,516.365,353.479
2018-02-06,434.012,412.452,446.959,298.813
2018-02-07,452.02,432.472,491.07,400.114
2018-02-08,442.728,453.791,498.031,421.194
2018-02-09,531.576,441.561,541.087,408.289
2018-02-10,520.855,531.169,552.639,483.718
2018-02-11,474.301,522.143,522.498,459.328
2018-02-12,552.453,474.651,569.418,474.363
2018-02-13,574.454,553.68,583.199,545.34
2018-02-14,702.471,574.356,743.977,574.356
2018-02-15,745.213,700.86,760.884,655.937
2018-02-16,707.533,743.575,758.461,669.354
2018-02-17,713.803,707.101,735.778,685.703
2018-02-18,653.187,715.272,721.981,643.305
2018-02-19,616.409,654.279,659.436,588.979
2018-02-20,505.262,616.619,624.916,486.097
2018-02-21,444.788,505.366,505.366,382.426
2018-02-22,386.904,442.361,510.838,382.652
2018-02-23,403.576,386.638,436.013,386.638
2018-02-24,417.377,403.319,465.093,382.197
2018-02-25,435.948,416.435,463.323,411.466
2018-02-26,433.139,436.825,470.898,405.8
2018-02-27,421.41,433.899,455.035,414.713
2018-02-28,388.791,419.985,445.945,385.751
2018-03-01,441.199,388.931,515.054,382.943
2018-03-02,436.921,441.179,450.724,402.309
2018-03-03,426.133,435.368,441.187,414.84
2018-03-04,460.944,426.104,509.129,408.63
2018-03-05,462.363,461.05,523.859,437.195
2018-03-06,417.601,462.788,462.788,412.09
2018-03-07,358.899,418.096,425.631,343.183
2018-03-08,316.413,359.218,364.179,316.413
2018-03-09,277.778,316.441,328.921,253.479
2018-03-10,287.677,277.671,386.418,273.048
2018-03-11,301.426,286.234,318.219,274.995
2018-03-12,277.053,301.942,307.98,260.578
2018-03-13,262.138,273.573,282.101,243.674
2018-03-14,218.328,262.281,263.992,210.673
2018-03-15,198.968,218.094,221.134,189.546
2018-03-16,201.507,199.331,221.215,185.763
2018-03-17,187.771,200.794,217.963,182.19
2018-03-18,210.631,187.358,216.478,162.706
2018-03-19,207.672,210.76,226.748,196.285
2018-03-20,223.261,207.387,225.278,192.887
2018-03-21,220.985,222.835,237.145,214.607
2018-03-22,217.012,220.788,230.734,211.555
2018-03-23,208.306,216.529,218.111,195.978
2018-03-24,194.129,208.807,215.978,191.003
2018-03-25,196.005,194.735,202.034,189.73
2018-03-26,188.286,195.741,201.391,178.81
2018-03-27,192.601,188.809,202.902,177.693
2018-03-28,196.695,192.766,205.515,183.922
2018-03-29,158.624,197.028,197.493,158.206
2018-03-30,163.55,158.893,171.587,146.828
2018-03-31,168.635,163.315,176.84,161.652
2018-04-01,166.874,168.682,173.398,158.381
2018-04-02,172.989,166.998,176.167,165.468
2018-04-03,187.088,172.617,190.498,169.134
2018-04-04,168.249,187.199,189.8,166.889
2018-04-05,173.416,168.238,177.786,161.43
2018-04-06,168.479,173.812,179.111,165.805
2018-04-07,185.699,168.669,193.411,168.368
2018-04-08,191.324,185.995,193.974,184.731
