,Observation Count,Mean,Median,Standard Deviation,Min,1%,5%,10%,25%,50%,75%,90%,95%,99%,Max
LTC Opening Price ($),39141.0,106.51772642497637,84.96,65.33757567724743,22.75,29.674,35.66,42.79,54.27,84.96,147.87,196.93,229.08,308.95799999999997,409.84
LTC High Price ($),39141.0,107.49761068955827,85.65,66.24432460733104,22.88,30.0,36.14,43.0,54.54,85.65,149.0,198.8,231.88,314.2399999999999,413.49
LTC Low Price ($),39141.0,105.47533839196753,84.2,64.38510801393713,22.32,29.37,35.1,42.54,53.92,84.2,146.5,195.3,225.98,303.01,402.8
LTC Close Price ($),39141.0,106.51252471832605,84.96,65.33250522047135,22.75,29.674,35.66,42.79,54.27,84.96,147.87,196.91,229.03,308.95799999999997,409.84
